dataset,role,old_b1_arm,seed,status,labels_used_for_structure,b1_metric_provenance,b1_ARI_after_fit,b1_L_rec_after_fit,b1_requested_change_ratio,b1_effective_changed_coordinate_rate,b1_support_change_ratio,b1_value_change_ratio,b1_total_absolute_change,support_p_zero_to_nonzero,support_p_nonzero_to_zero,support_change_rate,cell_nnz_before_mean,cell_nnz_before_std,cell_nnz_after_mean,cell_nnz_after_std,gene_prevalence_abs_change_mean,gene_prevalence_abs_change_max,support_jaccard_mean,support_jaccard_q05,support_entropy_before,support_entropy_after,support_cooccurrence_relative_fro_distortion,value_overlap_count,value_mean_before,value_std_before,value_mean_after,value_std_after,value_total_absolute_change,value_mean_absolute_change,high_expression_coordinate_distortion,value_before_q05,value_before_q25,value_before_q50,value_before_q75,value_before_q95,value_after_q05,value_after_q25,value_after_q50,value_after_q75,value_after_q95,value_rank_spearman,cosine_knn_jaccard_mean,cosine_knn_jaccard_q05,neighbor_rank_stability_mean,local_density_relative_change,local_density_change_q95,pairwise_distance_relative_distortion
Mouse_retina,corruption_presence_case,C2_SupportOnly,123,completed_valid,False,closed_B1_post_fit_compact_summary,0.8375362078486454,0.891426988488413,0.2693497814894636,0.2693497814894636,0.2693497814894636,0.0,212740.4539677389,0.1346748907447318,0.1346748907447318,0.2693497814894636,67.4584530651341,22.596264862352758,67.4584530651341,22.596264862352758,0.03480266702586207,0.25634578544061304,0.590545044740894,0.5714285714285714,0.6685731137458233,0.6880086359332167,0.0,419438.0,0.12875785893659863,1.6823313267331772,0.12875785893659863,1.6823313267331772,212740.45397814992,0.19899841914562935,0.5730929162784049,-0.969129529595375,-0.4235790744423866,0.14878501743078232,0.44302716851234436,1.2413831472396841,-0.969129529595375,-0.4235790744423866,0.14878501743078232,0.44302716851234436,1.2413831472396841,1.0,0.05963519942233827,0.0,0.3954938974658802,1.0231178998947144,4.507577419281006,0.13127031922340393
Mouse_retina,corruption_presence_case,C2_SupportOnly,7,completed_valid,False,closed_B1_post_fit_compact_summary,0.8576452108342856,0.88798128576571,0.2693497814894636,0.2693497814894636,0.2693497814894636,0.0,212921.90514239296,0.1346748907447318,0.1346748907447318,0.2693497814894636,67.4584530651341,22.596264862352758,67.4584530651341,22.596264862352758,0.03395331956417625,0.25263409961685823,0.590545044740894,0.5714285714285714,0.6685731137458233,0.6879115630685699,0.0,419438.0,0.1283475268770709,1.68257808088986,0.1283475268770709,1.68257808088986,212921.905156767,0.19916814942974642,0.5755188912758178,-0.9719592064619064,-0.4239555150270462,0.1471312716603279,0.44224849343299866,1.2417930185794772,-0.9719592064619064,-0.4239555150270462,0.1471312716603279,0.44224849343299866,1.2417930185794772,1.0,0.060558791437683314,0.0,0.39618331301520965,1.0409150123596191,4.5886759757995605,0.12227987498044968
Mouse_retina,corruption_presence_case,C3_MixedMatched,42,completed_valid,False,closed_B1_post_fit_compact_summary,0.8198598143510667,0.8930897730977142,0.2693497814894636,0.2693497814894636,0.28094131645114945,0.0,225710.66930659115,0.13200805196360152,0.1346748907447318,0.2666829427083333,67.4584530651341,22.596264862352758,67.11709770114942,23.088699836912358,0.03387568097461686,0.2540708812260536,0.5963116024767476,0.5833333333333334,0.6685731137458233,0.6881600787331232,0.0,419438.0,0.12955487296495738,1.6894609619102599,0.12955487296495738,1.6894609619102599,225710.66932821827,0.2111308194596151,0.5708205327565856,-0.9702867448329926,-0.42451170831918716,0.14795541763305664,0.4432220757007599,1.2417992234229969,-0.9702867448329926,-0.42451170831918716,0.14795541763305664,0.4432220757007599,1.2417992234229969,1.0,0.059185614214395194,0.0,0.39274261066466526,1.0390183925628662,4.434599876403809,0.1751563549041748
Mouse_retina,corruption_presence_case,C3_MixedMatched,123,completed_valid,False,closed_B1_post_fit_compact_summary,0.8675226122067528,0.8872947674601471,0.2693497814894636,0.2693497814894636,0.28179440553160917,0.0,226870.48133230954,0.13203330789032566,0.1346748907447318,0.26670819863505746,67.4584530651341,22.596264862352758,67.12033045977012,23.085262969390065,0.03406182650862069,0.26329022988505746,0.596188786135721,0.5833333333333334,0.6685731137458233,0.6882067139716854,0.0,419438.0,0.12688655840983226,1.6868211783537228,0.12688655840983226,1.6868211783537228,226870.48132932364,0.21221571304901113,0.5740635430916762,-0.9707357764244079,-0.42366795241832733,0.14802096039056778,0.4429549276828766,1.2339785456657406,-0.9707357764244079,-0.42366795241832733,0.14802096039056778,0.4429549276828766,1.2339785456657406,1.0,0.05693891120192545,0.0,0.3896990749379399,1.0616559982299805,4.4359130859375,0.16742493212223053
Mouse_retina,corruption_presence_case,C3_MixedMatched,7,completed_valid,False,closed_B1_post_fit_compact_summary,0.8562564924758048,0.8925693521554443,0.2693497814894636,0.2693497814894636,0.2812303565014368,0.0,226607.6906575933,0.1319135760895594,0.1346748907447318,0.26658846683429116,67.4584530651341,22.596264862352758,67.10500478927203,23.108711802239885,0.033575416068007666,0.2586206896551724,0.5964673468418882,0.5833333333333334,0.6685731137458233,0.6881158710664537,0.0,419438.0,0.12672822219151977,1.689275750702667,0.12672822219151977,1.689275750702667,226607.69066130702,0.2119698974247439,0.5758085118822839,-0.9707721710205077,-0.424385204911232,0.14606652408838272,0.44237907975912094,1.2426148474216452,-0.9707721710205077,-0.424385204911232,0.14606652408838272,0.44237907975912094,1.2426148474216452,1.0,0.05489054831041185,0.0,0.3935283665001098,1.0598901510238647,4.474774360656738,0.16543790698051453
Mouse_retina,corruption_presence_case,C4_StaticHard,42,completed_valid,False,closed_B1_post_fit_compact_summary,0.8222651939830042,0.8870040194284871,0.2693497814894636,0.2693497814894636,0.16217391792385058,0.2493583123802682,294400.38337099086,0.002236552622126437,0.019960600754310345,0.022197153376436782,67.4584530651341,22.596264862352758,65.18977490421456,26.535701676328046,0.01772404813218391,0.07674808429118773,0.9143247022300484,0.5555555555555556,0.6685731137458233,0.6698868458982454,0.0,542074.0,0.13288700058775618,1.541870506694858,0.10218343516410998,1.24338225638005,294400.383312632,0.2753835003148871,1.4180262860224275,-0.8690565645694732,-0.41241778433322906,0.14723452180624008,0.43033432215452194,1.0384500026702879,-0.8026348948478699,-0.45528149604797363,0.12732093036174774,0.45528149604797363,1.0363717913627613,0.36830578688425,0.006581030627304904,0.0,0.1008528895274585,0.9643664360046387,5.464266300201416,0.31127089262008667
Mouse_retina,corruption_presence_case,C4_StaticHard,123,completed_valid,False,closed_B1_post_fit_compact_summary,0.8477235717434752,0.8850860821789709,0.2693497814894636,0.2693497814894636,0.16518311482279693,0.2485707016283525,293917.3097958723,0.002224392361111111,0.020032626915708812,0.022257019276819924,67.4584530651341,22.596264862352758,65.17899904214559,26.548867408684444,0.017813846982758626,0.07674808429118773,0.9139451788043139,0.5555555555555556,0.6685731137458233,0.6699180327226959,0.0,541997.0,0.1335311023953593,1.5450767440461284,0.1033806983480258,1.2242817513036472,293917.30973820796,0.27493163102607154,1.4112150462973458,-0.8686022162437438,-0.4123084545135498,0.1473841518163681,0.43034839630126953,1.0391981601715075,-0.7991641998291016,-0.45528149604797363,0.13333456218242645,0.45528149604797363,1.0385128974914544,0.3694663388869362,0.006346062023126508,0.0,0.0981930190658639,0.9780807495117188,5.704265594482422,0.332645982503891
Mouse_retina,corruption_presence_case,C4_StaticHard,7,completed_valid,False,closed_B1_post_fit_compact_summary,0.8489743783430955,0.8819738621912697,0.2693497814894636,0.2693497814894636,0.16282683039990423,0.2494630777059387,293857.7177085299,0.0022533899066091954,0.02000269396551724,0.022256083872126436,67.4584530651341,22.596264862352758,65.18654214559388,26.53995886559179,0.017777366199712645,0.0781848659003831,0.9137643867436043,0.5555555555555556,0.6685731137458233,0.669899977652211,0.0,542029.0,0.1331527005115771,1.542952947032256,0.10325438952805473,1.2288731111775655,293857.71762648295,0.2748758882850692,1.4149482856669913,-0.8694196701049804,-0.4125053286552429,0.14700162410736084,0.43020114302635193,1.0382998228073117,-0.8017627596855164,-0.45528149604797363,0.1373222917318344,0.45528149604797363,1.0405112266540526,0.37031441513157626,0.007099308514872285,0.0,0.11116671988080036,0.9846389293670654,5.626927852630615,0.33242690563201904
Baron Human,support_sensitive_case,C_clean_no_corruption,42,completed_valid,False,closed_B1_post_fit_compact_summary,0.10879349038689042,0.7288965282602686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.89764524908295,23.48864700359421,18.89764524908295,23.48864700359421,0.0,0.0,1.0,1.0,0.3531416134780666,0.3531416134780666,0.0,159704.0,43.727193235617264,249.53579228309607,43.727193235617264,249.53579228309607,0.0,0.0,0.0,-82.472314453125,-13.065294742584229,4.212182998657227,21.93058967590332,206.24651565551758,-82.472314453125,-13.065294742584229,4.212182998657227,21.93058967590332,206.24651565551758,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Baron Human,support_sensitive_case,C_clean_no_corruption,123,completed_valid,False,closed_B1_post_fit_compact_summary,0.17359440229115994,0.7273619924476338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.89764524908295,23.48864700359421,18.89764524908295,23.48864700359421,0.0,0.0,1.0,1.0,0.3531416134780666,0.3531416134780666,0.0,159704.0,43.727193235617264,249.53579228309607,43.727193235617264,249.53579228309607,0.0,0.0,0.0,-82.472314453125,-13.065294742584229,4.212182998657227,21.93058967590332,206.24651565551758,-82.472314453125,-13.065294742584229,4.212182998657227,21.93058967590332,206.24651565551758,1.0,1.0,1.0,1.0,0.0,0.0,0.0
