dataset,method,status,seed,n_samples,n_features,n_clusters,ACC,NMI,ARI,AMI,RI,FMI,elapsed_seconds,error_type,error
blood_transfusion_service_center,AHDPC,completed,42,748,4,2,0.6082887700534759,0.07514659377580374,0.04481027784309193,0.07414504885420402,0.5228149675350242,0.5849740199280604,0.02890187595039606,,
blood_transfusion_service_center,HDPC,completed,42,748,4,2,0.6270053475935828,0.07745094870323505,0.06359567094817575,0.07645369201727278,0.5316345596288898,0.5921289132460045,0.02042838791385293,,
blood_transfusion_service_center,V9,completed,42,748,4,2,0.5668449197860963,0.022747141807226458,0.01684905917807105,0.021690668385946844,0.5082791057277237,0.5714513925572592,4.779264688491821,,
boston,AHDPC,completed,42,154,13,3,0.6948051948051948,0.5578893065666901,0.48338428745850337,0.551515992108201,0.7510398098633393,0.6911496996754306,0.0033960631117224693,,
boston,HDPC,completed,42,154,13,3,0.7532467532467533,0.5880355901466705,0.5560552686410234,0.581728723942044,0.781682369917664,0.7450012323793349,0.002191015053540468,,
boston,V9,completed,42,154,13,3,0.8701298701298701,0.634274216590757,0.615485013369745,0.6294268278655482,0.8197945845004668,0.7596067366890764,1.5139973163604736,,
breast_cancer_coimbra,AHDPC,completed,42,116,9,2,0.5603448275862069,0.02254173619141869,0.0057391890400699105,0.015980963579900587,0.5029985007496252,0.5332450477434246,0.002156090922653675,,
breast_cancer_coimbra,HDPC,completed,42,116,9,2,0.5603448275862069,0.02254173619141869,0.0057391890400699105,0.015980963579900587,0.5029985007496252,0.5332450477434246,0.0015743640251457691,,
breast_cancer_coimbra,V9,completed,42,116,9,2,0.5431034482758621,0.009455095465811275,-0.0012876256210523193,0.0030242294978761273,0.49940029985007495,0.5102922290522591,1.3334918022155762,,
breast_cancer_wisconsin_original,AHDPC,completed,42,683,9,2,0.7862371888726208,0.36318734937344055,0.3263193790419075,0.36248708377461375,0.6633705877554175,0.6792756358410249,0.0246483669616282,,
breast_cancer_wisconsin_original,HDPC,completed,42,683,9,2,0.5285505124450952,0.1559761380564622,-0.036112869369701775,0.15486265667387575,0.5008995161075641,0.605974175765659,0.01685247616842389,,
breast_cancer_wisconsin_original,V9,completed,42,683,9,2,0.9619326500732065,0.7793945563821635,0.8526035237201478,0.7791475265639126,0.926656161577996,0.9316694941718577,4.833894968032837,,
breast_cancer_wisconsin_prognostic,AHDPC,completed,42,569,30,2,0.6045694200351494,0.028100988093071273,-0.016528617786023058,0.025762423959366752,0.5210277482115894,0.707183650482158,0.030162132810801268,,
breast_cancer_wisconsin_prognostic,HDPC,completed,42,569,30,2,0.5957820738137083,0.026108051746810048,-0.020830810999004308,0.02393319277688525,0.517500433179039,0.6969404861660565,0.020402201917022467,,
breast_cancer_wisconsin_prognostic,V9,completed,42,569,30,2,0.9156414762741653,0.5775041632499884,0.688151993189131,0.5769268199287223,0.8452436941508453,0.8583998305525636,4.73966908454895,,
breast_tissue,AHDPC,completed,42,106,9,6,0.5094339622641509,0.4302259717987634,0.31839461043689754,0.3801980966901457,0.7852650494159928,0.45326181133233717,0.001745149027556181,,
breast_tissue,HDPC,completed,42,106,9,6,0.3867924528301887,0.31354771300088324,0.18317177886956137,0.24809404823227557,0.687151841868823,0.3828301133006712,0.0014768154360353947,,
breast_tissue,V9,completed,42,106,9,6,0.5188679245283019,0.5342516945054937,0.32118066220283803,0.49469747721604945,0.8001796945193171,0.44342313688466106,1.4105720520019531,,
cardiovascular_study,AHDPC,completed,42,2927,15,2,0.5138366928595832,0.0009700707981768491,0.0005736489835720918,0.0006645404785747747,0.5002121572527772,0.6094650429151395,0.7846603579819202,,
cardiovascular_study,HDPC,completed,42,2927,15,2,0.580116159890673,0.0020733006325992748,-0.012006673704078746,0.001757133590935012,0.5126707036871926,0.6275027517123261,0.4024074850603938,,
cardiovascular_study,V9,completed,42,2927,15,2,0.5835326272634096,0.02228607093577536,0.02484370431591253,0.02198623997951979,0.5137892873314447,0.6212175900329115,20.326385259628296,,
cifar10,AHDPC,completed,42,3250,1024,10,0.10153846153846154,0.005483868747794936,1.019070749443605e-06,1.9802348299771166e-06,0.10415228354286526,0.31491629467017823,10.227072910871357,,
cifar10,HDPC,completed,42,3250,1024,10,0.10123076923076924,0.005485505729475421,1.8647823369128955e-06,3.626239743758903e-06,0.10415304117243175,0.3149174975819782,6.889580555725843,,
cifar10,V9,completed,42,3250,1024,10,0.22338461538461538,0.07875757554908643,0.04031114261246032,0.07369424914573526,0.8253459289248763,0.13746650125650262,24.896809816360474,,
classification_in_asteroseismology,AHDPC,completed,42,1001,3,2,0.9040959040959041,0.581500190341839,0.6489888012391813,0.5811679331371846,0.8264135864135864,0.8462233223458069,0.061827225144952536,,
classification_in_asteroseismology,HDPC,completed,42,1001,3,2,0.9070929070929071,0.5889353968800579,0.6586435952040034,0.5886086401165616,0.8312807192807192,0.8507143089544794,0.035491395741701126,,
classification_in_asteroseismology,V9,completed,42,1001,3,2,0.9040959040959041,0.581500190341839,0.6489888012391813,0.5811679331371846,0.8264135864135864,0.8462233223458069,6.234525680541992,,
cnae9,AHDPC,completed,42,1080,856,9,0.125,0.03894400528349961,0.00017932835855057186,0.015962892444717908,0.1446778567260495,0.3249558050981275,0.9196117729879916,,
