dataset,n_samples,n_features,n_clusters,AHDPC_ACC,AHDPC_NMI,AHDPC_ARI,AHDPC_AMI,AHDPC_RI,AHDPC_FMI,HDPC_ACC,HDPC_NMI,HDPC_ARI,HDPC_AMI,HDPC_RI,HDPC_FMI,V9_ACC,V9_NMI,V9_ARI,V9_AMI,V9_RI,V9_FMI,delta_ACC_V9_minus_AHDPC,delta_NMI_V9_minus_AHDPC,delta_ARI_V9_minus_AHDPC,delta_AMI_V9_minus_AHDPC,delta_RI_V9_minus_AHDPC,delta_FMI_V9_minus_AHDPC,delta_ACC_V9_minus_HDPC,delta_NMI_V9_minus_HDPC,delta_ARI_V9_minus_HDPC,delta_AMI_V9_minus_HDPC,delta_RI_V9_minus_HDPC,delta_FMI_V9_minus_HDPC
MNIST_CLIP,9996,512,10,0.3431372549019608,0.43723327004862217,0.22348023311062917,0.4362526236885066,0.7043983776602186,0.41436666949390444,0.3081232492997199,0.3832507710363883,0.18301814524559348,0.3821280659800279,0.6519403359142556,0.39500169947714464,0.6723689475790317,0.6589390917551728,0.471480960179267,0.6583188706725932,0.8912122928210804,0.5367991044071276,0.32923169267707086,0.22170582170655068,0.24800072706863782,0.2220662469840866,0.18681391516086177,0.1224324349132232,0.36424569827931175,0.2756883207187845,0.28846281493367354,0.2761908046925653,0.2392719569068248,0.141797404929983
Mouse_retina,8352,6198,5,0.803639846743295,0.0002711207668805532,-0.0008229922797954892,-0.0006817083744461256,0.6556314119813123,0.8095073838952133,0.803639846743295,0.0002711207668805532,-0.0008229922797954892,-0.0006817083744461256,0.6556314119813123,0.8095073838952133,0.9810823754789272,0.876497699808664,0.9303650248618819,0.8763390850914468,0.9688551936561157,0.9765391138084983,0.17744252873563215,0.8762265790417835,0.9311880171416774,0.8770207934658929,0.31322378167480347,0.16703172991328508,0.17744252873563215,0.8762265790417835,0.9311880171416774,0.8770207934658929,0.31322378167480347,0.16703172991328508
PCam,4000,27648,2,0.506,0.000506785419044321,1.1633789938598144e-05,8.370289521105311e-06,0.4999469867466867,0.7068924651732807,0.506,0.000506785419044321,1.1633789938598144e-05,8.370289521105311e-06,0.4999469867466867,0.7068924651732807,0.608,0.06610206662998039,0.04645634976399346,0.06590766794347724,0.5232088022005501,0.599865712665683,0.10199999999999998,0.06559528121093607,0.04644471597405486,0.06589929765395613,0.02326181545386341,-0.10702675250759774,0.10199999999999998,0.06559528121093607,0.04644471597405486,0.06589929765395613,0.02326181545386341,-0.10702675250759774
Waveform,5000,21,3,0.5844,0.2426770999041668,0.24801090747833643,0.24239574157167187,0.6584803360672135,0.5096102704871436,0.4506,0.06018327129692701,0.05762162318571465,0.05976558058554674,0.5238924584916983,0.4496516742864959,0.5028,0.36605356493270225,0.25438261064502266,0.36582187092629126,0.6676608921784357,0.5043515228999406,-0.0816,0.12337646502853544,0.006371703166686227,0.12342612935461938,0.00918055611122226,-0.0052587475872030165,0.052200000000000024,0.3058702936357752,0.196760987459308,0.3060562903407445,0.14376843368673742,0.05469984861344468
banknote_authentication,1372,4,2,0.9905247813411079,0.931676018604076,0.9624275145419924,0.9316397655826222,0.9812154308425465,0.9813964155745356,0.8950437317784257,0.6093659753109124,0.6239245668637312,0.6091585973817567,0.8119820607205057,0.8139047466495641,0.5794460641399417,0.02332033481601393,0.024309009513123855,0.0227997369288971,0.5122678643198448,0.5198743640213919,-0.4110787172011662,-0.9083556837880621,-0.9381185050288685,-0.908840028653725,-0.46894756652270164,-0.46152205155314374,-0.31559766763848396,-0.5860456404948985,-0.5996155573506073,-0.5863588604528596,-0.2997141964006609,-0.29403038262817227
birds_bones_and_living_habits,413,10,6,0.4648910411622276,0.291529345539516,0.20871910715053632,0.2760574293308839,0.6502621124144903,0.4505546264498812,0.46731234866828086,0.31141761290160414,0.20742023633048573,0.29617392790329145,0.6422224311807988,0.45573303035869733,0.4358353510895884,0.2624190767417444,0.24835300306874053,0.24741011648725927,0.7391217471026588,0.41630421107063653,-0.02905569007263925,-0.029110268797771566,0.03963389591820421,-0.028647312843624623,0.08885963468816849,-0.03425041537924467,-0.03147699757869249,-0.04899853615985972,0.0409327667382548,-0.04876381141603217,0.09689931592185996,-0.0394288192880608
blood_transfusion_service_center,748,4,2,0.6082887700534759,0.07514659377580374,0.04481027784309193,0.07414504885420402,0.5228149675350242,0.5849740199280604,0.6270053475935828,0.07745094870323505,0.06359567094817575,0.07645369201727278,0.5316345596288898,0.5921289132460045,0.5668449197860963,0.022747141807226458,0.01684905917807105,0.021690668385946844,0.5082791057277237,0.5714513925572592,-0.04144385026737962,-0.05239945196857728,-0.02796121866502088,-0.05245438046825718,-0.014535861807300487,-0.013522627370801232,-0.06016042780748654,-0.05470380689600859,-0.0467466117701047,-0.054763023631325944,-0.023355453901166112,-0.020677520688745288
boston,154,13,3,0.6948051948051948,0.5578893065666901,0.48338428745850337,0.551515992108201,0.7510398098633393,0.6911496996754306,0.7532467532467533,0.5880355901466705,0.5560552686410234,0.581728723942044,0.781682369917664,0.7450012323793349,0.8701298701298701,0.634274216590757,0.615485013369745,0.6294268278655482,0.8197945845004668,0.7596067366890764,0.17532467532467533,0.07638491002406689,0.13210072591124167,0.07791083575734714,0.06875477463712754,0.0684570370136458,0.11688311688311681,0.046238626444086495,0.059429744728721645,0.047698103923504154,0.038112214582802784,0.014605504309741502
breast_cancer_coimbra,116,9,2,0.5603448275862069,0.02254173619141869,0.0057391890400699105,0.015980963579900587,0.5029985007496252,0.5332450477434246,0.5603448275862069,0.02254173619141869,0.0057391890400699105,0.015980963579900587,0.5029985007496252,0.5332450477434246,0.5431034482758621,0.009455095465811275,-0.0012876256210523193,0.0030242294978761273,0.49940029985007495,0.5102922290522591,-0.01724137931034475,-0.013086640725607415,-0.00702681466112223,-0.01295673408202446,-0.003598200899550208,-0.0229528186911655,-0.01724137931034475,-0.013086640725607415,-0.00702681466112223,-0.01295673408202446,-0.003598200899550208,-0.0229528186911655
breast_cancer_wisconsin_original,683,9,2,0.7862371888726208,0.36318734937344055,0.3263193790419075,0.36248708377461375,0.6633705877554175,0.6792756358410249,0.5285505124450952,0.1559761380564622,-0.036112869369701775,0.15486265667387575,0.5008995161075641,0.605974175765659,0.9619326500732065,0.7793945563821635,0.8526035237201478,0.7791475265639126,0.926656161577996,0.9316694941718577,0.17569546120058566,0.41620720700872293,0.5262841446782403,0.41666044278929887,0.26328557382257856,0.25239385833083283,0.4333821376281113,0.6234184183257012,0.8887163930898496,0.6242848698900368,0.4257566454704319,0.3256953184061987
