dataset_name,panel_candidate,record_count,protocol_count,ready_to_reuse,missing_metadata
music_genre_classification,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
olivetti_faces,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
optical_recognition_of_handwritten_digits,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
orbit_classification_for_prediction_nasa,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
paris_housing_classification,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
parkinsons,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
patient_treatment_classification,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
pen_based_recognition_of_handwritten_digits,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
ph_recognition,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
pima_indians_diabetes_database,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
pistachio,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
planning_relax,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
poker-hand,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
predicting_pulsar_star,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
pumpkin_seeds,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
raisin,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
reuters,clubench,67,7,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
rice_dataset_cammeo_and_osmancik,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
rice_seed_gonen_jasmine,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
rmftsa_sleepdata,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
satellite_image,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
