ACC_mean,ACC_std,ARI_mean,ARI_std,NMI_mean,NMI_std,dataset_id,n_seeds,parameterization
0.5788640595903165,0.0699491575173831,0.038315415103587325,0.05949946095280573,0.03112456624547897,0.0469476723990381,pistachio,5,topology
0.5263736263736264,0.024387187935354007,-0.0010496401738558266,0.006985198764777782,0.0020437073712170927,0.00276496854043196,planning_relax,5,topology
0.5038400000000001,0.002987139099539881,-1.4072366407230928e-05,0.00011233431105711283,6.393785011220692e-05,6.853587448193908e-05,poker-hand,5,topology
0.9211689852259248,0.032124093975730246,0.5716302688571956,0.126909074195236,0.4115180588428237,0.12788647989828622,predicting_pulsar_star,5,topology
0.67968,0.13754283696361652,0.18933022815809317,0.19499356449013094,0.15032291362230082,0.15815895363835963,pumpkin_seeds,5,topology
0.7793333333333332,0.027762217864225842,0.31392998748476114,0.05973968794762264,0.33168423478902564,0.04973064654038869,raisin,5,topology
0.5329379562043796,0.005141836906966522,0.202319094360418,0.009051257439949301,0.2973700748671895,0.008690215551464566,reuters,5,topology
0.9076640419947507,0.012589399654178662,0.6650965943044759,0.04059902697674992,0.556501960945611,0.042108855486118646,rice_dataset_cammeo_and_osmancik,5,topology
0.9788978897889787,0.0062460229082437835,0.9174754799024581,0.023816892708025363,0.861936184093705,0.02678185363172608,rice_seed_gonen_jasmine,5,topology
0.35625,0.006637752135924386,0.05680657692730998,0.003084217028643124,0.05623110840070304,0.003026985981252815,rmftsa_sleepdata,5,topology
0.6539549339549341,0.006281127414492052,0.5180309589120556,0.013031100244016738,0.6201971595154536,0.005640166677520894,satellite_image,5,topology
0.5081046585832801,0.009219178590826356,-0.0018562962282253897,0.0016379140610871166,0.006060731194727545,0.001149157837936593,secom,5,topology
0.9047619047619048,0.003367175148507357,0.7430659786019777,0.007163881564465292,0.7063808895940401,0.0033340424307192707,seeds,5,topology
0.6312693498452012,0.07208870463509544,0.035477925443980894,0.02590906800052011,0.02104405547982783,0.009550862597586257,seismic_bumps,5,topology
0.5556040756914118,0.007499363455193486,0.012206827043205516,0.0032517140881413577,0.009543996197729655,0.0018807710106614314,sentiment_labeld_sentences,5,topology
0.77088,0.09534619551927596,0.23924165081077606,0.1565243005275287,0.12235264812737792,0.09162454671451445,shuttle,5,topology
0.2598436389481166,0.016258529746823545,0.019974557724164618,0.006446444928290971,0.09041369906545829,0.007293871543465794,siberian_weather_stats,5,topology
0.28761731759006964,0.006553091378114852,0.060163253520789384,0.006139317370391369,0.12829679764496627,0.005982044850614632,skillcraft1_master_table_dataset,5,topology
0.9905138339920947,0.0016534783133084932,0.9623193484646091,0.006504552654593966,0.9209973803099384,0.011067943312919978,smoker_condition,5,topology
0.9700598802395209,0.002395209580838331,0.8317558368809251,0.012319797197237754,0.6927057734935096,0.02216701393393583,sms_spam_collection,5,topology
0.8898500326016083,0.010456711416456533,0.6077977120863778,0.03301021077639707,0.49678167920234734,0.028878481802213807,spambase,5,topology
0.68,0.006846531968814552,0.1232007114476342,0.009807772935941535,0.24850893408021682,0.008862036867836494,spectf_heart,5,topology
0.6195999999999999,0.02766405610173608,0.036194525980640505,0.022024511517359995,0.01050237933452085,0.006183604114391142,statlog_german_credit,5,topology
0.6464069264069263,0.012729775646931642,0.5596125468306994,0.013880702470059564,0.6572459678422822,0.020404199597332234,statlog_image_segmentation,5,topology
0.5107676455435343,0.005925900931276886,-0.03546299171270255,0.001808745423713837,0.08027666829777111,0.017731789907935835,steel-plates-fault,5,topology
0.16038251366120218,0.007267451408890916,0.0030603304114624878,0.0024505123170623314,0.039691961473658166,0.004005041621832516,street_view_house_numbers,5,topology
0.769113924050633,0.017667186149233304,0.2859075240985741,0.0406038151557019,0.24916023019104214,0.07490201620105838,student_grade,5,topology
0.5690000000000001,0.0014907119849998447,0.6094075011650814,0.002915381209244391,0.7887277518522458,0.004750927399168186,synthetic_control,5,topology
0.06642,0.000563027530410368,-1.4381056134117262e-05,9.90119934120113e-05,0.006049242149382893,0.0003030208326978335,tamilnadu-electricity,5,topology
0.2973372781065089,0.033028274499654,0.10440376687043414,0.02633287194469983,0.22824144081887893,0.02920881371927111,tr45.wc,5,topology
0.583,0.012918010682763834,0.29451235959723127,0.011456494444678245,0.32516227413711174,0.012278460778426216,turkish_music_emotion,5,topology
0.43488372093023253,0.027461999354912173,0.14536957235360498,0.033693822166060025,0.2102352786424136,0.05081354199756729,user_knowledge_modeling,5,topology
0.38108747044917257,0.02172498371519177,0.08443618980481553,0.006380173978829585,0.1101180380458808,0.0056908731142203735,vehicle,5,topology
0.4233870967741936,0.004500743826176197,0.05324772836427362,0.0021977015001304117,0.09981987685564764,0.0011445406393548545,wall-robot-navigation,5,topology
0.5103928393833913,0.005532841788444003,-8.512017937773826e-05,0.0004227196641181096,0.0004152468902546673,0.0002961779503847802,water_quality,5,topology
1.0,0.0,1.0,0.0,1.0,0.0,weather,5,topology
0.6450849963045086,0.04789733362342679,0.3118353790917336,0.047788015240854145,0.25326693651861476,0.0342036043918762,website_phishing,5,topology
0.9595505617977528,0.008332807288871551,0.8778869013396797,0.025012988034931138,0.8484329386154552,0.028677548674256655,wine,5,topology
0.9595505617977528,0.008332807288871551,0.8778869013396797,0.025012988034931138,0.8484329386154552,0.028677548674256655,wine_customer,5,topology
0.34110404268417815,0.030993662177300825,0.04519300810631457,0.009187777674094795,0.07241797358825838,0.013787912294724109,wine_quality,5,topology
0.9359999999999999,0.004821825380496459,0.83623855395188,0.012474621440042499,0.8347961944913977,0.011164948470244905,wireless_indoor_localization,5,topology
0.7493333333333333,0.016055459438389735,0.6780251699340527,0.008695722829602681,0.7031216902553629,0.00816916199460566,world12d,5,topology
0.619684663162924,0.032357240030422826,0.37881915542346706,0.035404357843473906,0.6417976067269477,0.03224501327029414,worm_neuron_cell,5,topology
0.4933480044013203,0.024818834164397417,0.26025092950076073,0.01979368635880716,0.352744359381172,0.007376733341745106,wos,5,topology
0.4397532556545579,0.013609999104976053,0.1678723173922132,0.017630248069207984,0.26947572260070213,0.022235174683150123,yeast,5,topology
0.8732673267326734,0.010845991237726072,0.8447165707239019,0.010348450460783119,0.881476612545988,0.004972742927469843,zoo,5,topology
