dataset,variant,seed,gpu,status,attempt,started_utc,finished_utc,returncode
PRJNA895163,topology_full,42,6,success,1,2026-07-11T12:15:53.878350+00:00,2026-07-11T12:23:08.792966+00:00,0
TabulaSapiens_Pancreas,nomix,2024,2,success,1,2026-07-11T12:23:03.559541+00:00,2026-07-11T12:23:57.880924+00:00,0
TabulaSapiens_Pancreas,nomix,3407,6,success,1,2026-07-11T12:23:08.794457+00:00,2026-07-11T12:24:04.108399+00:00,0
TabulaSapiens_Pancreas,clean_pair,42,2,success,1,2026-07-11T12:23:57.883235+00:00,2026-07-11T12:25:14.770865+00:00,0
TabulaSapiens_Pancreas,clean_pair,2024,6,success,1,2026-07-11T12:24:04.110597+00:00,2026-07-11T12:25:24.705928+00:00,0
PRJNA895163,topology_full,2024,4,success,1,2026-07-11T12:18:57.826593+00:00,2026-07-11T12:26:00.308052+00:00,0
TabulaSapiens_Pancreas,clean_pair,3407,2,success,1,2026-07-11T12:25:14.773241+00:00,2026-07-11T12:26:35.003220+00:00,0
TabulaSapiens_Pancreas,fixed,42,6,success,1,2026-07-11T12:25:24.707807+00:00,2026-07-11T12:27:09.878428+00:00,0
PRJNA895163,topology_full,3407,3,success,1,2026-07-11T12:20:21.932252+00:00,2026-07-11T12:27:38.377767+00:00,0
TabulaSapiens_Pancreas,fixed,2024,4,success,1,2026-07-11T12:26:00.310048+00:00,2026-07-11T12:27:39.812597+00:00,0
TabulaSapiens_Pancreas,fixed,3407,2,success,1,2026-07-11T12:26:35.005511+00:00,2026-07-11T12:28:24.874850+00:00,0
TabulaSapiens_Pancreas,adaptive_mix_only,42,6,success,1,2026-07-11T12:27:09.880751+00:00,2026-07-11T12:28:59.738995+00:00,0
TabulaSapiens_Pancreas,adaptive_mix_only,2024,3,success,1,2026-07-11T12:27:38.379921+00:00,2026-07-11T12:29:24.101387+00:00,0
TabulaSapiens_Pancreas,adaptive_mix_only,3407,4,success,1,2026-07-11T12:27:39.814831+00:00,2026-07-11T12:29:33.280434+00:00,0
TabulaSapiens_Pancreas,adaptive_weight_only,42,2,success,1,2026-07-11T12:28:24.877251+00:00,2026-07-11T12:30:10.626524+00:00,0
TabulaSapiens_Pancreas,adaptive_weight_only,2024,6,success,1,2026-07-11T12:28:59.741324+00:00,2026-07-11T12:30:43.823224+00:00,0
TabulaSapiens_Pancreas,adaptive_weight_only,3407,3,success,1,2026-07-11T12:29:24.103650+00:00,2026-07-11T12:31:18.511616+00:00,0
TabulaSapiens_Pancreas,gate_coupled,42,4,success,1,2026-07-11T12:29:33.283009+00:00,2026-07-11T12:31:45.577064+00:00,0
TabulaSapiens_Pancreas,gate_coupled,2024,2,success,1,2026-07-11T12:30:10.628899+00:00,2026-07-11T12:32:07.311672+00:00,0
TabulaSapiens_Pancreas,gate_coupled,3407,6,success,1,2026-07-11T12:30:43.824474+00:00,2026-07-11T12:32:42.935707+00:00,0
TabulaSapiens_Pancreas,topology_full,42,3,success,1,2026-07-11T12:31:18.512893+00:00,2026-07-11T12:33:02.954310+00:00,0
TabulaSapiens_Pancreas,topology_full,2024,4,success,1,2026-07-11T12:31:45.579467+00:00,2026-07-11T12:33:41.758295+00:00,0
TabulaSapiens_Pancreas,topology_full,3407,2,success,1,2026-07-11T12:32:07.314013+00:00,2026-07-11T12:33:53.566235+00:00,0
