acc,ari,dataset,f1_macro,nmi,seed,variant
0.7796246648793566,0.8115675211363281,Mouse_Pancreas_1,0.7120413370006433,0.8062914048414407,3407,topology_full
0.4811234616911473,0.17838477934844668,PRJNA895163,0.4662377578840709,0.3873521866042487,42,adaptive_mix_only
0.4654823342596268,0.17453597381958824,PRJNA895163,0.4208597765297362,0.37874740244410154,2024,adaptive_mix_only
0.4726081778483525,0.17216607255154234,PRJNA895163,0.5127719020548447,0.38008274540073606,3407,adaptive_mix_only
0.48038904327113935,0.19214754036758386,PRJNA895163,0.4901476110814686,0.3980360905099165,42,adaptive_weight_only
0.4721317983326717,0.18049993432625783,PRJNA895163,0.4251810601053851,0.37503714343546296,2024,adaptive_weight_only
0.480408892417626,0.17783260879322707,PRJNA895163,0.45572122007422533,0.37470263385910535,3407,adaptive_weight_only
0.482870186581977,0.19553126320290865,PRJNA895163,0.49507812852008154,0.40056517766889943,42,clean_pair
0.5003572846367607,0.19009972249747195,PRJNA895163,0.46784346222790246,0.3982751718127533,2024,clean_pair
0.49333068678046843,0.18682479174685745,PRJNA895163,0.4637874305243211,0.388923155081736,3407,clean_pair
0.4756252481143311,0.18484112873825398,PRJNA895163,0.4653854525762809,0.38214165537847167,42,fixed
0.45246129416435094,0.1815601170245273,PRJNA895163,0.4351580365687607,0.3768750308660127,2024,fixed
0.48834855101230645,0.1859585302352105,PRJNA895163,0.46287568775221266,0.38487379926135684,3407,fixed
0.42530766177054385,0.13736673224052356,PRJNA895163,0.39129959221586336,0.3326039345000113,42,gate_coupled
0.46923382294561333,0.17282769178567875,PRJNA895163,0.446826178981649,0.3810499078112109,2024,gate_coupled
0.45303691941246527,0.1628214076984622,PRJNA895163,0.4743203975811113,0.3542747402932378,3407,gate_coupled
0.4978562921794363,0.20513015226610765,PRJNA895163,0.4580331320206868,0.38789579342946107,42,nomix
0.45202461294164353,0.17436478652533977,PRJNA895163,0.4247477640250858,0.3264096334264599,2024,nomix
0.467129813418023,0.1753187675384272,PRJNA895163,0.4480180333009423,0.38036390000006937,3407,nomix
0.4754664549424375,0.17852638210839844,PRJNA895163,0.4522515591461785,0.38512014967674996,42,topology_full
0.4779277491067884,0.1785099140704995,PRJNA895163,0.46044931618458657,0.38452753043816645,2024,topology_full
0.4332274712187376,0.15028457762596983,PRJNA895163,0.41308605505461987,0.3143706700608468,3407,topology_full
0.6991357325021252,0.5840657977129414,TabulaSapiens_Pancreas,0.5608704172114811,0.7427163458911503,42,adaptive_mix_only
0.6445877018985549,0.49874562588949084,TabulaSapiens_Pancreas,0.4461688333123199,0.7191651495048287,2024,adaptive_mix_only
0.6952394446018703,0.5765729871990458,TabulaSapiens_Pancreas,0.5119732694123493,0.7429689681069552,3407,adaptive_mix_only
0.6088835364125814,0.49050249351501773,TabulaSapiens_Pancreas,0.48814431487389603,0.7276411355043186,42,adaptive_weight_only
0.5849390762255596,0.4848022703179159,TabulaSapiens_Pancreas,0.4606626822550489,0.7299154280155471,2024,adaptive_weight_only
0.5952111079625957,0.49654186843760656,TabulaSapiens_Pancreas,0.46290976768700554,0.7329362840848279,3407,adaptive_weight_only
0.6428875035420799,0.48990423175781883,TabulaSapiens_Pancreas,0.5036171900985871,0.7246326348583194,42,clean_pair
0.6345281949560783,0.4826175867403699,TabulaSapiens_Pancreas,0.5063547538430904,0.7234105567610584,2024,clean_pair
0.5903230376877302,0.49058646232640873,TabulaSapiens_Pancreas,0.4609489958467641,0.730908787890883,3407,clean_pair
0.6093085860017002,0.49030597518762276,TabulaSapiens_Pancreas,0.48743314543763633,0.727409485456893,42,fixed
0.6317653726268064,0.4793468645458261,TabulaSapiens_Pancreas,0.5021745870423846,0.7223198555893603,2024,fixed
