contrast,treatment,reference,dataset,metric,delta
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,Mouse_Pancreas_1,acc,-0.06666666666666676
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,PRJNA895163,acc,0.0009262935027127273
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,TabulaSapiens_Pancreas,acc,0.06796070652687258
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,Blood_BoneMarrow,nmi,0.0012366079857198953
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,Human_Pancreas_1,nmi,0.0028758865635799546
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,Human_Pancreas_3,nmi,0.030157407771676747
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,Mouse_Pancreas_1,nmi,-0.02860877109508031
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,PRJNA895163,nmi,0.000763949647748341
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,TabulaSapiens_Pancreas,nmi,0.007800903359504119
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,Blood_BoneMarrow,ari,-0.016722822636868195
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,Human_Pancreas_1,ari,0.002238142269769372
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,Human_Pancreas_3,ari,0.08758142240499489
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,Mouse_Pancreas_1,ari,-0.042697507065740714
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,PRJNA895163,ari,-0.009090983426138177
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,TabulaSapiens_Pancreas,ari,0.06501058164107743
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,Blood_BoneMarrow,f1_macro,-0.010517786033445109
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,Human_Pancreas_1,f1_macro,0.0008916266892960989
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,Human_Pancreas_3,f1_macro,0.012227263999706084
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,Mouse_Pancreas_1,f1_macro,-0.08008606347498803
