dataset,role,principle,seed,status,ARI,NMI,ACC,L_rec,effective_changed_coordinate_rate,support_change_rate,value_change_rate,total_absolute_change,exact_budget_all_epochs,physical_gpu
Campbell,difficulty_sensitive_case,P0_Random,7,completed_valid,0.030621800132568863,0.0927813973506215,0.19693785649954967,0.7735539674758911,0.09043517962573805,0.07183346050568733,0.018601719120050705,173948.36279999663,True,5
Campbell,difficulty_sensitive_case,P1_SupportPreserve,42,completed_valid,0.05319311996743491,0.05122441872148584,0.19463624537176022,0.7513971924781799,0.09043517962573805,0.0,0.09043517962573805,262013.95372726122,True,6
Campbell,difficulty_sensitive_case,P1_SupportPreserve,123,completed_valid,0.05179129695603586,0.045904518276587966,0.17842489742819975,0.7574021816253662,0.09043517962573805,0.0,0.09043517962573805,262350.4558014939,True,2
Campbell,difficulty_sensitive_case,P1_SupportPreserve,7,completed_valid,0.055194437346494186,0.04790374983566777,0.19113379365555888,0.7530103921890259,0.09043517962573805,0.0,0.09043517962573805,262061.57249794703,True,3
Campbell,difficulty_sensitive_case,P2_SupportTarget,42,completed_valid,0.22469056358499132,0.2580942596309877,0.38476933853697587,0.7824136018753052,0.09043517962573805,0.09043517962573805,0.0,403367.85938242474,True,4
Campbell,difficulty_sensitive_case,P2_SupportTarget,123,completed_valid,0.157992716150677,0.23701243485313714,0.33213249274492146,0.7739119529724121,0.09043517962573805,0.09043517962573805,0.0,404150.5173042665,True,5
Campbell,difficulty_sensitive_case,P2_SupportTarget,7,completed_valid,0.12847773334599327,0.2259527836088522,0.31421995396777747,0.7871357798576355,0.09043517962573805,0.09043517962573805,0.0,402726.52663413086,True,6
Campbell,difficulty_sensitive_case,P3_FrequencyAware,42,completed_valid,0.05771063905046866,0.06935415212799032,0.20634444110877614,0.7451249361038208,0.09043517962573805,0.0,0.09043517962573805,61251.848963774246,True,2
Campbell,difficulty_sensitive_case,P3_FrequencyAware,123,completed_valid,0.0766220306017784,0.06271959591354895,0.22605824076853798,0.7444188594818115,0.09043517962573805,0.0,0.09043517962573805,61323.393263272446,True,3
Campbell,difficulty_sensitive_case,P3_FrequencyAware,7,completed_valid,0.07452994152181014,0.08559583538461715,0.23096167317121985,0.7470253705978394,0.09043517962573805,0.0,0.09043517962573805,61379.474021610615,True,4
Campbell,difficulty_sensitive_case,P4_ResidualHard,42,completed_valid,0.1011793061000358,0.08580080352258566,0.2190533373361353,0.7530842423439026,0.09043517962573805,0.0,0.09043517962573805,145956.6221714119,True,5
Campbell,difficulty_sensitive_case,P4_ResidualHard,123,completed_valid,0.11927026558591984,0.08633150264943934,0.22936055238667066,0.754248321056366,0.09043517962573805,0.0,0.09043517962573805,153322.3863121122,True,6
Campbell,difficulty_sensitive_case,P4_ResidualHard,7,completed_valid,0.09792569444804532,0.07169003748293973,0.21194836385469829,0.7522755265235901,0.09043517962573805,0.0,0.09043517962573805,151386.4861153712,True,2
Campbell,difficulty_sensitive_case,P5_GeometryHard,42,completed_valid,0.04381987840481086,0.06927542408423604,0.19433603522465726,0.7558885216712952,0.09043517962573805,0.0,0.09043517962573805,367572.7922534863,True,3
Campbell,difficulty_sensitive_case,P5_GeometryHard,123,completed_valid,0.034741049154123134,0.04700148129015641,0.16891824276993897,0.7580704689025879,0.09043517962573805,0.0,0.09043517962573805,367414.6002733976,True,4
Campbell,difficulty_sensitive_case,P5_GeometryHard,7,completed_valid,0.03511315766560051,0.045680924785856315,0.1795256679675773,0.7580096125602722,0.09043517962573805,0.0,0.09043517962573805,366990.5667116016,True,5
