dataset,method,required_seeds,completed_seeds,n_seeds,status,ARI_mean,ARI_std,NMI_mean,NMI_std,ACC_mean,ACC_std,labels_used_during_fit,evaluation_protocol,failure_count,failure_types,source_root
ISOLET,KMeans,5,"42,123,7,2025,3407",5,completed,0.4951914991,0.0242054527,0.7320740827,0.0097155539,0.5583173015,0.0153949162,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
ISOLET,GMM,5,"42,123,7,2025,3407",5,completed,0.4201576319,0.0270564913,0.6604427617,0.0125085074,0.4972681801,0.0296967095,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
ISOLET,Spectral clustering,5,"42,123,7,2025,3407",5,completed,0.4482591917,0.0202361661,0.6519565000,0.0192172630,0.5239451071,0.0276023436,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
ISOLET,Agglomerative,5,"42,123,7,2025,3407",5,completed,0.5406211621,0.0000000000,0.7571997100,0.0000000000,0.6001026036,0.0000000000,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
ISOLET,EDESC,5,"42,123,7,2025,3407",5,completed,0.1664781083,0.0435668162,0.4515912629,0.0354139214,0.2761318456,0.0580195861,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
Mouse_retina,ZEUS,5,"42,123,7,2025,3407",5,completed,0.2900169533,0.0048290021,0.4922639510,0.0174543512,0.5569923372,0.0068566713,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
Mouse_retina,TableDC,5,"42,123,7,2025,3407",5,completed,0.3922272512,0.1599375560,0.3469201099,0.0633118665,0.6283285441,0.1581410853,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
Mouse_retina,IDC,5,"42,123,7,2025,3407",5,completed,0.6601835639,0.0959317432,0.6165884962,0.0737693379,0.9051724138,0.0156347452,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
Mouse_retina,GCEALS,5,"42,123,7,2025,3407",5,completed,0.6766117574,0.0962283944,0.5946757939,0.0940161350,0.8946599617,0.0215617660,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
Mouse_retina,KMeans,5,"42,123,7,2025,3407",5,completed,0.8499636927,0.0008706853,0.7687018343,0.0025185633,0.9551724138,0.0007787171,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
Mouse_retina,GMM,5,"42,123,7,2025,3407",5,completed,0.2305762507,0.0471547783,0.4337779332,0.0371959215,0.5361350575,0.0295046465,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
Mouse_retina,Spectral clustering,5,"42,123,7,2025,3407",5,completed,0.0012727517,0.0000000000,0.0019852259,0.0000000000,0.8039990421,0.0000000000,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
Mouse_retina,Agglomerative,5,"42,123,7,2025,3407",5,completed,0.8968128627,0.0000000000,0.8438395016,0.0000000000,0.9713840996,0.0000000000,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
Mouse_retina,EDESC,5,"42,123,7,2025,3407",5,completed,0.4384760430,0.2568820037,0.5356127529,0.1544457465,0.7072796935,0.1831784133,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
breast_cancer_wisconsin_original,ToPoGate V0,5,"42,123,7,2025,3407",5,completed,0.89433347627884,0.008482568281549002,0.8192313783841794,0.015469948262750086,0.973060029282577,0.002220461330615405,false,oracle-K downstream clustering; labels read after fit_predict,0,,ToPoGate five-seed summary
spambase,ToPoGate V0,5,"42,123,7,2025,3407",5,completed,0.6077977120863778,0.03301021077639707,0.49678167920234734,0.028878481802213807,0.8898500326016083,0.010456711416456533,false,oracle-K downstream clustering; labels read after fit_predict,0,,ToPoGate five-seed summary
sms_spam_collection,ToPoGate V0,5,"42,123,7,2025,3407",5,completed,0.8317558368809251,0.012319797197237754,0.6927057734935096,0.02216701393393583,0.9700598802395209,0.002395209580838331,false,oracle-K downstream clustering; labels read after fit_predict,0,,ToPoGate five-seed summary
ISOLET,ToPoGate V0,5,"42,123,7,2025,3407",5,completed,0.5217737065967405,0.03848647810800234,0.7416148714808878,0.021887579735656176,0.5846864178530204,0.03776766026789061,false,oracle-K downstream clustering; labels read after fit_predict,0,,ToPoGate five-seed summary
Mouse_retina,ToPoGate V0,5,"42,123,7,2025,3407",5,completed,0.9675539289124593,0.004299573305739216,0.938309561329371,0.004759797207070778,0.9908285440613028,0.001216913404911129,false,oracle-K downstream clustering; labels read after fit_predict,0,,ToPoGate five-seed summary
