dataset,parameterization,candidate,constraint_met,eval_mask_loss,latent_view_cosine_mean,input_neighbor_overlap,latent_mean_feature_std
letter_recognition.npz,topology,T_simpler_reliability,True,0.5202024057507515,0.6007079482078552,0.719019019019019,0.412774920463562
mnist64.npz,fixed,F_anchor,True,0.4095322787761688,0.9480221271514893,0.710185185185185,0.4737411141395569
mnist64.npz,fixed,F_conservative,True,0.40954113006591797,0.9501389265060425,0.7037037037037037,0.46773800253868103
mnist64.npz,fixed,F_wider_graph,True,0.40964245796203613,0.9481204748153687,0.7097222222222223,0.4734954833984375
mnist64.npz,fixed,F_stronger_mix,True,0.41028305888175964,0.9446026682853699,0.7111111111111111,0.4753437936306
mnist64.npz,fixed,F_tau_0p3,True,0.40957143902778625,0.9479084610939026,0.7097222222222223,0.4735385775566101
mnist64.npz,topology,T_anchor,True,0.41209644079208374,0.9339410066604614,0.7134259259259259,0.47692519426345825
mnist64.npz,topology,T_conservative,True,0.4101726710796356,0.941979169845581,0.7050925925925926,0.4719703495502472
mnist64.npz,topology,T_wider_graph,True,0.4122626483440399,0.9334220886230469,0.7148148148148148,0.476542592048645
mnist64.npz,topology,T_stronger_mix,True,0.4145786762237549,0.9286720752716064,0.7199074074074074,0.47940683364868164
mnist64.npz,topology,T_simpler_reliability,True,0.412101686000824,0.9338427186012268,0.7138888888888888,0.47703826427459717
cnae9.npz,fixed,F_anchor,True,66523888.0,0.9962043166160583,0.05416666666666666,0.12057073414325714
cnae9.npz,fixed,F_conservative,True,66523888.0,0.9966351389884949,0.046296296296296294,0.11736960709095001
cnae9.npz,fixed,F_wider_graph,True,66523888.0,0.9962053894996643,0.05555555555555555,0.12033136188983917
cnae9.npz,fixed,F_stronger_mix,True,66523884.0,0.9960179924964905,0.05092592592592592,0.12127506732940674
cnae9.npz,fixed,F_tau_0p3,True,66523888.0,0.9962337613105774,0.05370370370370371,0.11997272074222565
cnae9.npz,topology,T_anchor,True,66523888.0,0.9953709244728088,0.050462962962962966,0.12043223530054092
cnae9.npz,topology,T_conservative,True,66523884.0,0.9953257441520691,0.044444444444444446,0.1241135522723198
cnae9.npz,topology,T_wider_graph,True,66523880.0,0.9953669905662537,0.05185185185185185,0.1206139326095581
cnae9.npz,topology,T_stronger_mix,True,66523888.0,0.9955962896347046,0.05601851851851852,0.12042880058288574
cnae9.npz,topology,T_simpler_reliability,True,66523888.0,0.9953643083572388,0.05092592592592592,0.12070557475090027
