dataset_id,ARI_mean,ARI_std,NMI_mean,NMI_std,ACC_mean,ACC_std,n,status,source,selected
Mouse_retina,0.9675539289124593,0.004299573305739216,0.9383095613293708,0.004759797207070778,0.9908285440613026,0.001216913404911129,5,completed,_t_full_comparison.json::frozen,False
Mouse_retina,0.9671,0.0047,0.9377,0.0051,0.9907,0.0013,,,_t_full_comparison.json::mine_v0t_ablation_20260905,False
Pollen,0.9594050425050111,0.003692328199196882,0.9574901036968312,0.00588858615592107,0.9388704318936878,0.002971518906976484,5,completed,v0_t_ablation_eswa_20260906\ablation_summary.csv,True
Pollen,0.9594050425050111,0.003692328199196882,0.9574901036968312,0.00588858615592107,0.9388704318936878,0.002971518906976484,5,completed,_t_full_comparison.json::eswa,False
Pollen,0.9594,0.0037,0.9575,0.0059,0.9389,0.003,,,_t_full_comparison.json::mine_v0t_ablation_20260905,False
Pollen,0.95881419244786,0.0021418146609968507,0.955980409246467,0.004161129560427152,0.9375415282392027,0.001485759453488242,5,completed,v0_t_frozen_ablation_20260906\frozen_ablation_summary.csv,False
Pollen,0.95881419244786,0.0021418146609968507,0.955980409246467,0.004161129560427152,0.9375415282392027,0.001485759453488242,5,completed,_t_full_comparison.json::frozen,False
Pollen,0.95881419244786,0.0021418146609968507,0.9559804092464669,0.004161129560427152,0.9375415282392027,0.001485759453488242,5,completed,v0_t_plus_ablation_20260906\ablation_summary.csv,False
Pollen,0.95881419244786,0.0021418146609968507,0.9559804092464669,0.004161129560427152,0.9375415282392027,0.001485759453488242,5,completed,_t_full_comparison.json::plus,False
Wang,0.944340931048621,0.013656906075184189,0.8897789009812758,0.020841768647615895,0.987162517071121,0.0032212082046858058,5,completed,v0_t_ablation_eswa_20260906\ablation_summary.csv,True
Wang,0.944340931048621,0.013656906075184189,0.8897789009812758,0.020841768647615895,0.987162517071121,0.0032212082046858058,5,completed,_t_full_comparison.json::eswa,False
Wang,0.9437,0.0139,0.8889,0.0212,0.987,0.0033,,,_t_full_comparison.json::mine_v0t_ablation_20260905,False
Wang,0.9234252315040539,0.033068500824535524,0.859443842758815,0.04255911454108265,0.9821199705851456,0.008042015248422456,5,completed,v0_t_frozen_ablation_20260906\frozen_ablation_summary.csv,False
Wang,0.9234252315040539,0.033068500824535524,0.859443842758815,0.04255911454108265,0.9821199705851456,0.008042015248422456,5,completed,v0_t_plus_ablation_20260906\ablation_summary.csv,False
Wang,0.9234252315040539,0.033068500824535524,0.859443842758815,0.04255911454108265,0.9821199705851456,0.008042015248422456,5,completed,_t_full_comparison.json::plus,False
Wang,0.9234252315040539,0.033068500824535524,0.859443842758815,0.04255911454108265,0.9821199705851456,0.008042015248422456,5,completed,_t_full_comparison.json::frozen,False
breast_cancer_wisconsin_original,0.891,0.0056,0.8162,0.0111,0.9722,0.0015,,,_t_full_comparison.json::mine_v0t_ablation_20260905,True
breast_cancer_wisconsin_original,0.8909994051380741,0.005596267220883634,0.8162412137186525,0.011093961498690389,0.972181551976574,0.0014641288433382416,5,completed,v0_t_ablation_eswa_20260906\ablation_summary.csv,False
breast_cancer_wisconsin_original,0.8909994051380741,0.005596267220883634,0.8162412137186525,0.01109396149869039,0.972181551976574,0.0014641288433382416,5,completed,v0_t_frozen_ablation_20260906\frozen_ablation_summary.csv,False
breast_cancer_wisconsin_original,0.8909994051380741,0.005596267220883634,0.8162412137186525,0.011093961498690389,0.972181551976574,0.0014641288433382416,5,completed,v0_t_plus_ablation_20260906\ablation_summary.csv,False
breast_cancer_wisconsin_original,0.8909994051380741,0.005596267220883634,0.8162412137186525,0.011093961498690389,0.972181551976574,0.0014641288433382416,5,completed,_t_full_comparison.json::eswa,False
breast_cancer_wisconsin_original,0.8909994051380741,0.005596267220883634,0.8162412137186525,0.011093961498690389,0.972181551976574,0.0014641288433382416,5,completed,_t_full_comparison.json::plus,False
breast_cancer_wisconsin_original,0.8909994051380741,0.005596267220883634,0.8162412137186525,0.01109396149869039,0.972181551976574,0.0014641288433382416,5,completed,_t_full_comparison.json::frozen,False
reuters,0.2025369880140845,0.008878596057129613,0.2975937011621148,0.0082814826908851,0.5332420924574208,0.005755130705966398,5,completed,v0_t_frozen_ablation_20260906\frozen_ablation_summary.csv,True
reuters,0.2025369880140845,0.008878596057129613,0.2975937011621148,0.0082814826908851,0.5332420924574208,0.005755130705966398,5,completed,v0_t_plus_ablation_20260906\ablation_summary.csv,False
reuters,0.2025369880140845,0.008878596057129613,0.2975937011621148,0.0082814826908851,0.5332420924574208,0.005755130705966398,5,completed,_t_full_comparison.json::plus,False
reuters,0.2025369880140845,0.008878596057129613,0.2975937011621148,0.0082814826908851,0.5332420924574208,0.005755130705966398,5,completed,_t_full_comparison.json::frozen,False
reuters,0.20249096148073154,0.009041112390373366,0.2976005616886097,0.008496121323491077,0.5329379562043796,0.00529472304469132,5,completed,v0_t_ablation_eswa_20260906\ablation_summary.csv,False
reuters,0.20249096148073154,0.009041112390373366,0.2976005616886097,0.008496121323491077,0.5329379562043796,0.00529472304469132,5,completed,_t_full_comparison.json::eswa,False
sms_spam_collection,0.8266,0.0286,0.6847,0.0443,0.9691,0.0055,,,_t_full_comparison.json::mine_v0t_ablation_20260905,True
sms_spam_collection,0.8264162202853221,0.019556656036266388,0.6799005483355807,0.030447105087221964,0.9688622754491018,0.0037871588744531524,5,completed,v0_t_ablation_eswa_20260906\ablation_summary.csv,False
sms_spam_collection,0.8264162202853221,0.019556656036266388,0.6799005483355807,0.030447105087221964,0.9688622754491018,0.0037871588744531524,5,completed,_t_full_comparison.json::eswa,False
sms_spam_collection,0.8148423009775432,0.026269304728546577,0.6732284068111041,0.03260523731870467,0.9674251497005988,0.004351114281337742,5,completed,v0_t_frozen_ablation_20260906\frozen_ablation_summary.csv,False
sms_spam_collection,0.8148423009775432,0.026269304728546577,0.6732284068111041,0.03260523731870467,0.9674251497005988,0.004351114281337742,5,completed,v0_t_plus_ablation_20260906\ablation_summary.csv,False
sms_spam_collection,0.8148423009775432,0.026269304728546577,0.6732284068111041,0.03260523731870467,0.9674251497005988,0.004351114281337742,5,completed,_t_full_comparison.json::plus,False
sms_spam_collection,0.8148423009775432,0.026269304728546577,0.6732284068111041,0.03260523731870467,0.9674251497005988,0.004351114281337742,5,completed,_t_full_comparison.json::frozen,False
spambase,0.6374,0.0141,0.518,0.0139,0.8994,0.0044,,,_t_full_comparison.json::mine_v0t_ablation_20260905,True
spambase,0.6118021277538854,0.030822154377093593,0.4995528202799321,0.02733241268233157,0.8911540969354487,0.009732549353816271,5,completed,v0_t_frozen_ablation_20260906\frozen_ablation_summary.csv,False
spambase,0.6118021277538854,0.030822154377093593,0.4995528202799321,0.02733241268233157,0.8911540969354487,0.009732549353816271,5,completed,_t_full_comparison.json::frozen,False
spambase,0.6118021277538854,0.030822154377093593,0.499552820279932,0.027332412682331567,0.8911540969354487,0.009732549353816271,5,completed,v0_t_plus_ablation_20260906\ablation_summary.csv,False
spambase,0.6118021277538854,0.030822154377093593,0.499552820279932,0.027332412682331567,0.8911540969354487,0.009732549353816271,5,completed,_t_full_comparison.json::plus,False
spambase,0.609948896478995,0.03259379906697698,0.49843217992483513,0.028696630012184855,0.8905455335796567,0.010298760411506817,5,completed,v0_t_ablation_eswa_20260906\ablation_summary.csv,False
spambase,0.609948896478995,0.03259379906697698,0.49843217992483513,0.028696630012184855,0.8905455335796567,0.010298760411506817,5,completed,_t_full_comparison.json::eswa,False
