dataset_id,variant,metric,full_minus_variant_mean,full_mean,variant_mean,full_n,variant_n,weights_frozen,training_enabled
Mouse_retina,T_fixed_mean_gate,NMI,0.40285348769035123,0.9383095613293708,0.5354560736390196,5,5,True,False
Mouse_retina,T_fixed_mean_gate,ACC,0.14856321839080444,0.9908285440613026,0.8422653256704982,5,5,True,False
Mouse_retina,T_random_neighbor,ARI,0.42324406318995766,0.9675539289124593,0.5443098657225016,5,5,True,False
Mouse_retina,T_random_neighbor,NMI,0.403146202489985,0.9383095613293708,0.5351633588393858,5,5,True,False
Mouse_retina,T_random_neighbor,ACC,0.1484674329501915,0.9908285440613026,0.8423611111111111,5,5,True,False
Mouse_retina,T_no_vicinal,ARI,0.42246884378580074,0.9675539289124593,0.5450850851266585,5,5,True,False
Mouse_retina,T_no_vicinal,NMI,0.40114652147909935,0.9383095613293708,0.5371630398502715,5,5,True,False
Mouse_retina,T_no_vicinal,ACC,0.14784482758620676,0.9908285440613026,0.8429837164750958,5,5,True,False
Pollen,F_matched_total_mix,ARI,-0.0044866149329332305,0.95881419244786,0.9633008073807933,5,5,True,False
Pollen,F_matched_total_mix,NMI,-0.005125851202973708,0.955980409246467,0.9611062604494407,5,5,True,False
Pollen,F_matched_total_mix,ACC,-0.005980066445182786,0.9375415282392027,0.9435215946843855,5,5,True,False
Pollen,T_shuffled_gate,ARI,-0.004424675520619092,0.95881419244786,0.9632388679684791,5,5,True,False
Pollen,T_shuffled_gate,NMI,-0.0054563250731715085,0.955980409246467,0.9614367343196385,5,5,True,False
Pollen,T_shuffled_gate,ACC,-0.0053156146179401675,0.9375415282392027,0.9428571428571428,5,5,True,False
Pollen,T_fixed_mean_gate,ARI,-0.004398685102174782,0.95881419244786,0.9632128775500348,5,5,True,False
Pollen,T_fixed_mean_gate,NMI,-0.005346491932147424,0.955980409246467,0.9613269011786144,5,5,True,False
Pollen,T_fixed_mean_gate,ACC,-0.005980066445182786,0.9375415282392027,0.9435215946843855,5,5,True,False
