ACC_mean,ACC_std,ARI_mean,ARI_std,NMI_mean,NMI_std,dataset_id,n_completed,n_requested,status,training_enabled,variant,weights_frozen
0.9428571428571428,0.0043316959503007365,0.9632388679684791,0.002779978169559015,0.9614367343196385,0.006968747477873914,Pollen,5,5,completed,False,T_shuffled_gate,True
0.9435215946843855,0.005252952923867721,0.9632128775500348,0.0026324450450170324,0.9613269011786144,0.006105345380155855,Pollen,5,5,completed,False,T_fixed_mean_gate,True
0.9421926910299003,0.0050384554445525075,0.9619823810837099,0.003072133834182242,0.9589709324708607,0.007635029684525859,Pollen,5,5,completed,False,T_random_neighbor,True
0.9388704318936878,0.006889183173863025,0.9578174104330974,0.004303548753597685,0.9525367996664057,0.008274962011321373,Pollen,5,5,completed,False,T_no_vicinal,True
0.9435215946843855,0.006644518272425237,0.9632684089223872,0.0024533364384915074,0.9604769555218903,0.005170419403618472,Pollen,5,5,completed,False,T_uniform_pseudo_loss,True
0.9435215946843855,0.006644518272425237,0.9634559835841514,0.0023588749269748224,0.9598774638484832,0.004417692803882685,Pollen,5,5,completed,False,T_edge_none,True
0.9435215946843855,0.006644518272425237,0.9633100108957974,0.0022938704011235406,0.9599766907960129,0.0045712197392870565,Pollen,5,5,completed,False,T_edge_sim,True
0.9455149501661129,0.005559202834113452,0.9647640661636986,0.0026497857920846765,0.9627706155873976,0.0065939219893824015,Pollen,5,5,completed,False,T_edge_sim_mutual,True
0.9435215946843855,0.006644518272425237,0.9632684089223872,0.0024533364384915074,0.9604769555218903,0.005170419403618472,Pollen,5,5,completed,False,T_edge_sim_mutual_snn,True
0.9435215946843855,0.006644518272425237,0.9632684089223874,0.0024533364384915074,0.9604769555218903,0.005170419403618472,Pollen,5,5,completed,False,T_edge_sim_mutual_snn_distance,True
0.9435215946843855,0.004698383928149809,0.963093752272778,0.003863965800291967,0.9604925508435456,0.008823926352836676,Pollen,5,5,completed,False,T_beta_no_mutual,True
0.9435215946843855,0.006644518272425237,0.9627178830916028,0.002185417097267265,0.959968310568447,0.005550185511183213,Pollen,5,5,completed,False,T_beta_no_snn,True
0.9421926910299003,0.004457278360464669,0.963168982545119,0.002401505131394253,0.9614025243718111,0.006960333482840852,Pollen,5,5,completed,False,T_beta_no_perturb,True
0.9821199705851456,0.008042015248422456,0.9234252315040539,0.033068500824535524,0.859443842758815,0.04255911454108265,Wang,5,5,completed,False,T_full,True
0.9978359071331022,0.0004241334013696097,0.9904271376791236,0.0018682698810877914,0.9721620497446924,0.004337064813087354,Wang,5,5,completed,False,F_matched_total_mix,True
