dataset_id,seed,K_registry,K_offset,K_readout,labels_read_after_fit,ARI,NMI,ACC
Mouse_retina,123,5,-1,4,True,0.957034419089397,0.8921481408853852,0.9477969348659003
Mouse_retina,123,5,0,5,True,0.9697570785217894,0.9415977373228935,0.9914990421455939
Mouse_retina,123,5,1,6,True,0.6407908178911768,0.7671162038820809,0.8648227969348659
Mouse_retina,7,5,-1,4,True,0.9344012723600517,0.8628283801596619,0.9376197318007663
Mouse_retina,7,5,0,5,True,0.9605585768652329,0.9322246715003726,0.9889846743295019
Mouse_retina,7,5,1,6,True,0.6299725497457529,0.7671508765905264,0.8585967432950191
Mouse_retina,2025,5,-1,4,True,0.9301914733873728,0.8585145625838974,0.936661877394636
Mouse_retina,2025,5,0,5,True,0.9692670362441955,0.9379283666751367,0.9912595785440613
Mouse_retina,2025,5,1,6,True,0.6404554877472637,0.769590430046282,0.8632662835249042
Mouse_retina,3407,5,-1,4,True,0.9401953118347665,0.8730910271921072,0.9388170498084292
Mouse_retina,3407,5,0,5,True,0.9657656530460118,0.935265015949114,0.9901819923371648
Mouse_retina,3407,5,1,6,True,0.6347963369442634,0.7671106983438564,0.8611111111111112
breast_cancer_wisconsin_original,42,2,0,2,True,0.896606689978286,0.8287411626113679,0.9736456808199122
breast_cancer_wisconsin_original,42,2,1,3,True,0.7399995056964795,0.6671349963657837,0.8814055636896047
breast_cancer_wisconsin_original,123,2,0,2,True,0.8910118610659804,0.8178227522988699,0.972181551976574
breast_cancer_wisconsin_original,123,2,1,3,True,0.7282722832990379,0.6559353196078039,0.8740849194729137
breast_cancer_wisconsin_original,7,2,0,2,True,0.8853675598326123,0.8024318015041162,0.9707174231332357
breast_cancer_wisconsin_original,7,2,1,3,True,0.6832815282679706,0.6339851073164215,0.8521229868228404
breast_cancer_wisconsin_original,2025,2,0,2,True,0.896578305601169,0.8245555329503326,0.9736456808199122
breast_cancer_wisconsin_original,2025,2,1,3,True,0.6504219009502323,0.6349770721445137,0.8374816983894583
breast_cancer_wisconsin_original,3407,2,0,2,True,0.8854326092123226,0.807654819228576,0.9707174231332357
breast_cancer_wisconsin_original,3407,2,1,3,True,0.7200995847416156,0.6539623686299174,0.8711566617862372
spambase,42,2,0,2,True,0.6026145454964855,0.49266001407727555,0.8882851554009998
spambase,42,2,1,3,True,0.38952788907981867,0.4055305616837723,0.6520321669202347
spambase,123,2,0,2,True,0.5930980098338097,0.4796966989840457,0.8852423386220387
spambase,123,2,1,3,True,0.3759287412913332,0.3976369114388,0.6311671375787872
spambase,7,2,0,2,True,0.6661338104902873,0.5477475345960833,0.908280808519887
spambase,7,2,1,3,True,0.383729100388468,0.4013676373207127,0.6520321669202347
spambase,2025,2,0,2,True,0.5852519885799905,0.47960397949008593,0.8826342099543577
spambase,2025,2,1,3,True,0.3535245613507359,0.3709666761149343,0.6124755487937404
spambase,3407,2,0,2,True,0.6026056343922406,0.49223730034211843,0.8882851554009998
spambase,3407,2,1,3,True,0.38106238722069163,0.39152844440095524,0.6324712019126277
sms_spam_collection,42,2,0,2,True,0.7956624642466589,0.6318033048828154,0.962874251497006
sms_spam_collection,42,2,1,3,True,0.2808923670656112,0.3866487643642829,0.644311377245509
sms_spam_collection,123,2,0,2,True,0.838190738034659,0.6987211961423118,0.9712574850299401
sms_spam_collection,123,2,1,3,True,0.26989297583622,0.40285496628740763,0.5712574850299401
sms_spam_collection,7,2,0,2,True,0.8221151202466035,0.6682591512195697,0.9676646706586827
sms_spam_collection,7,2,1,3,True,0.2685574442491488,0.38745810533390496,0.6107784431137725
sms_spam_collection,2025,2,0,2,True,0.8292265574947976,0.6945337388281573,0.9700598802395209
sms_spam_collection,2025,2,1,3,True,0.26831368810678197,0.38702141673586443,0.6119760479041916
sms_spam_collection,3407,2,0,2,True,0.8468862214038918,0.7061853506050494,0.9724550898203593
sms_spam_collection,3407,2,1,3,True,0.29679039419284226,0.3812554918101447,0.6778443113772455
ISOLET,42,26,-1,25,True,0.4883791241119652,0.7238781437094949,0.5703475695780429
ISOLET,42,26,0,26,True,0.5087578088697867,0.7352392926637751,0.6021546748749519
ISOLET,42,26,1,27,True,0.5024978581096415,0.7382039466219966,0.5745799666538413
ISOLET,123,26,-1,25,True,0.4974304422552663,0.7317301105096342,0.56047197640118
ISOLET,123,26,0,26,True,0.555006411908941,0.7590687538078136,0.6298576375529049
ISOLET,123,26,1,27,True,0.5455049491893608,0.7562031064993241,0.6298576375529049
ISOLET,7,26,-1,25,True,0.5477352699807801,0.759442398390244,0.62203411568552
ISOLET,7,26,0,26,True,0.49624300731100013,0.7284593648069406,0.5788123637296396
