dataset,role_class,arm,seed,status,ARI,NMI,L_rec,effective_changed_coordinate_rate_mean,epochs_audited,requested_change_ratio_mean,support_change_ratio_mean,total_absolute_change_mean,value_change_ratio_mean
hate_speech,sparse_text,C2_SupportOnly,123,completed_valid,0.0005366744076473014,0.0021490730206504454,0.8270881696910971,0.22061659751818097,30,0.22061659751818097,0.22061659751818097,7481.974476294002,0.0
hate_speech,sparse_text,C2_SupportOnly,7,completed_valid,0.0008486890498116548,0.008101579612722648,0.8165843389264473,0.22061659751818097,30,0.22061659751818097,0.22061659751818097,7485.560753781876,0.0
hate_speech,sparse_text,C3_MixedMatched,42,completed_valid,0.010788706723196841,0.009055929440069438,0.8283066415557281,0.22061659751818097,30,0.22061659751818097,0.23088088794391184,8012.791126751589,0.0
hate_speech,sparse_text,C3_MixedMatched,123,completed_valid,-0.0010885506640780668,0.0015194773508029767,0.8310417318077644,0.22061659751818097,30,0.22061659751818097,0.23104145041431595,8021.085961045822,0.0
hate_speech,sparse_text,C3_MixedMatched,7,completed_valid,0.0006436809877722551,0.00790187131496082,0.820301932268578,0.22061659751818097,30,0.22061659751818097,0.23101646706117368,8020.3530091924285,0.0
hate_speech,sparse_text,C4_StaticHard,42,completed_valid,-6.671675061736823e-05,0.0036152388798253296,0.9519815232138648,0.22061659751818097,30,0.22061659751818097,0.15348800015052735,12153.011611924407,0.2197855612944094
hate_speech,sparse_text,C4_StaticHard,123,completed_valid,0.009208162730136254,0.0026873340228955596,0.955425575852061,0.22061659751818097,30,0.22061659751818097,0.1584580149001136,12137.392045667822,0.21955349834890356
hate_speech,sparse_text,C4_StaticHard,7,completed_valid,0.015209793298505806,0.006935814270434177,0.9556721594532762,0.22061659751818097,30,0.22061659751818097,0.1562818498552742,12174.932608743935,0.2197479294654085
Mouse_retina,registered_scrna_count,C_clean_no_corruption,42,completed_valid,0.7615543925786881,0.4930632718914215,0.7516445111040868,0.0,30,0.0,0.0,0.0,0.0
Mouse_retina,registered_scrna_count,C_clean_no_corruption,123,completed_valid,0.7113760991821355,0.4746697413866286,0.7515434097512929,0.0,30,0.0,0.0,0.0,0.0
Mouse_retina,registered_scrna_count,C_clean_no_corruption,7,completed_valid,0.7904372441076783,0.512881927572701,0.7431944757129041,0.0,30,0.0,0.0,0.0,0.0
Mouse_retina,registered_scrna_count,C0_MatchedRandom,42,completed_valid,0.8223948002667691,0.552130039904706,0.848094666826314,0.26934978148946354,30,0.26934978148946354,0.12766434436861432,180535.01508743363,0.1401080953663793
Mouse_retina,registered_scrna_count,C0_MatchedRandom,123,completed_valid,0.818740291400219,0.5527230772348888,0.8429803117481685,0.26934978148946354,30,0.26934978148946354,0.12729620026141442,180215.610174392,0.14026767540708815
Mouse_retina,registered_scrna_count,C0_MatchedRandom,7,completed_valid,0.8447774406089364,0.5662204066406916,0.8420075388247026,0.26934978148946354,30,0.26934978148946354,0.1271928068626277,179966.0421157957,0.14028027219029374
Mouse_retina,registered_scrna_count,C1_ValueOnly,42,completed_valid,0.7917853984311912,0.5197417023922797,0.9033861779161797,0.26934978148946354,30,0.26934978148946354,0.15393964394755746,268872.34254629514,0.21608949079062897
Mouse_retina,registered_scrna_count,C1_ValueOnly,123,completed_valid,0.7844947339810506,0.5178595144500624,0.9054911312472318,0.26934978148946354,30,0.26934978148946354,0.15487891498044382,269405.7520886719,0.21548590532207854
Mouse_retina,registered_scrna_count,C1_ValueOnly,7,completed_valid,0.7913648723560843,0.5166530848283915,0.9033980319326408,0.26934978148946354,30,0.26934978148946354,0.1543130575011973,269497.05253528606,0.21592919360632182
Mouse_retina,registered_scrna_count,C2_SupportOnly,42,completed_valid,0.7971011339067874,0.6088623882106875,0.8896183661574149,0.26934978148946354,30,0.26934978148946354,0.26934978148946354,212676.4955978011,0.0
Mouse_retina,registered_scrna_count,C2_SupportOnly,123,completed_valid,0.8375362078486454,0.6664118598469807,0.891426988488413,0.26934978148946354,30,0.26934978148946354,0.26934978148946354,212309.5383837634,0.0
Mouse_retina,registered_scrna_count,C2_SupportOnly,7,completed_valid,0.8576452108342856,0.6912127061486869,0.88798128576571,0.26934978148946354,30,0.26934978148946354,0.26934978148946354,212464.552282671,0.0
Mouse_retina,registered_scrna_count,C3_MixedMatched,42,completed_valid,0.8198598143510667,0.6336368557839487,0.8930897730977142,0.26934978148946354,30,0.26934978148946354,0.2814739982439336,225863.0174756984,0.0
Mouse_retina,registered_scrna_count,C3_MixedMatched,123,completed_valid,0.8675226122067528,0.7470210520894859,0.8872947674601471,0.26934978148946354,30,0.26934978148946354,0.28160663862947,226067.9228564605,0.0
Mouse_retina,registered_scrna_count,C3_MixedMatched,7,completed_valid,0.8562564924758048,0.6821239545737561,0.8925693521554443,0.26934978148946354,30,0.26934978148946354,0.2815271915908365,226058.79381564484,0.0
Mouse_retina,registered_scrna_count,C4_StaticHard,42,completed_valid,0.8222651939830042,0.5783636985779143,0.8870040194284871,0.26934978148946354,30,0.26934978148946354,0.07824959590517241,243232.08933495864,0.2281344475874042
Mouse_retina,registered_scrna_count,C4_StaticHard,123,completed_valid,0.8477235717434752,0.6145786604984916,0.8850860821789709,0.26934978148946354,30,0.26934978148946354,0.07506529124760536,243246.38687231095,0.22869254120769475
Mouse_retina,registered_scrna_count,C4_StaticHard,7,completed_valid,0.8489743783430955,0.6224595629438403,0.8819738621912697,0.26934978148946354,30,0.26934978148946354,0.055531609195402294,239809.5954007152,0.23516236131066412
Baron Human,registered_scrna_count,C_clean_no_corruption,42,completed_valid,0.10879349038689042,0.14825702930389537,0.7288965282602686,0.0,30,0.0,0.0,0.0,0.0
Baron Human,registered_scrna_count,C_clean_no_corruption,123,completed_valid,0.17359440229115994,0.2571492879750455,0.7273619924476338,0.0,30,0.0,0.0,0.0,0.0
Baron Human,registered_scrna_count,C_clean_no_corruption,7,completed_valid,0.15095366077298253,0.17564924362169457,0.7355285237885244,0.0,30,0.0,0.0,0.0,0.0
Baron Human,registered_scrna_count,C0_MatchedRandom,42,completed_valid,0.1253812658991943,0.19881856598979886,0.7818394366163797,0.07884791740622411,30,0.07884791740622411,0.04278493915907388,2108424.9117312003,0.02282083234725674
Baron Human,registered_scrna_count,C0_MatchedRandom,123,completed_valid,0.14204769807603712,0.261255536285355,0.784506837816129,0.07884791740622411,30,0.07884791740622411,0.042742876829172084,2113742.0563734523,0.022802959708910185
