dataset,seed,config,stage2_baseline,ari_current,ari_stage2,ari_delta,nmi_current,nmi_stage2,nmi_delta,acc_current,acc_stage2,acc_delta,fmi_current,fmi_stage2,fmi_delta,edge_entropy_current,edge_entropy_stage2,edge_entropy_delta,effective_neighbor_count_current,effective_neighbor_count_stage2,effective_neighbor_count_delta,rank_loss_current,rank_loss_stage2,rank_loss_delta
balance_scale,7,self_null_lam0.3_rm1.0_si0.5,self_null_lambda01,0.10075152751085649,0.10378565787077622,-0.003034130359919729,0.09615221973624487,0.0926778644132324,0.0034743553230124624,0.48,0.4864,-0.006400000000000017,0.4455316293328598,0.4448936171601296,0.0006380121727301846,1.3856303691864014,1.566122055053711,-0.18049168586730957,4.056119441986084,4.7910943031311035,-0.7349748611450195,0.3926738701760769,0.02021766297596817,0.37245620720010875
balance_scale,42,self_null_lam0.3_rm1.0_si0.5,self_null_lambda01,0.1476683730433495,0.09091740285674416,0.056750970186605354,0.1305174552132089,0.08007512694328028,0.050442328269928616,0.5152,0.4848,0.030399999999999983,0.4721998534305234,0.4375979104612536,0.03460194296926977,1.401503324508667,1.5730772018432617,-0.17157387733459473,4.112308025360107,4.823913097381592,-0.7116050720214844,0.398754129682978,0.021147530413387967,0.37760659926959006
balance_scale,123,self_null_lam0.3_rm1.0_si0.5,self_null_lambda01,0.17801171995395157,0.11023000206492983,0.06778171788902174,0.15490553218033964,0.09005176512151221,0.06485376705882744,0.5712,0.488,0.08320000000000005,0.4965924004324493,0.44825129143294634,0.048341108999502946,1.4069119691848755,1.5800169706344604,-0.17310500144958496,4.131990432739258,4.856882572174072,-0.7248921394348145,0.38989617998401327,0.018128925344596307,0.37176725463941696
balance_scale,7,self_null_lam0.5_rm0.5_si0.3,self_null_lambda01,0.09374381387802716,0.10378565787077622,-0.010041843992749058,0.08859121983864311,0.0926778644132324,-0.004086644574589293,0.4624,0.4864,-0.02400000000000002,0.4398083640578174,0.4448936171601296,-0.0050852531023121705,1.469731330871582,1.566122055053711,-0.0963907241821289,4.373296737670898,4.7910943031311035,-0.4177975654602051,0.16633199596156678,0.02021766297596817,0.14611433298559862
balance_scale,42,self_null_lam0.5_rm0.5_si0.3,self_null_lambda01,0.15536035027120643,0.09091740285674416,0.06444294741446227,0.13720962050760963,0.08007512694328028,0.05713449356432934,0.52,0.4848,0.03520000000000001,0.4768630323050696,0.4375979104612536,0.039265121843815975,1.4897212982177734,1.5730772018432617,-0.08335590362548828,4.454023361206055,4.823913097381592,-0.3698897361755371,0.17069298637410008,0.021147530413387967,0.14954545596071211
balance_scale,123,self_null_lam0.5_rm0.5_si0.3,self_null_lambda01,0.1780831784962723,0.11023000206492983,0.06785317643134248,0.15241741175272217,0.09005176512151221,0.062365646631209956,0.5712,0.488,0.08320000000000005,0.4959221652683821,0.44825129143294634,0.04767087383543578,1.482040524482727,1.5800169706344604,-0.0979764461517334,4.423344135284424,4.856882572174072,-0.43353843688964844,0.16298925438895823,0.018128925344596307,0.1448603290443619
balance_scale,7,self_null_lam0.5_rm0.5_si0.5,self_null_lambda01,0.09570815865220583,0.10378565787077622,-0.008077499218570386,0.09021101427762629,0.0926778644132324,-0.002466850135606116,0.464,0.4864,-0.022399999999999975,0.44095492539883535,0.4448936171601296,-0.003938691761294244,1.4698883295059204,1.566122055053711,-0.09623372554779053,4.3739333152771,4.7910943031311035,-0.4171609878540039,0.1663303063561519,0.02021766297596817,0.14611264338018373
balance_scale,42,self_null_lam0.5_rm0.5_si0.5,self_null_lambda01,0.16148347379867947,0.09091740285674416,0.07056607094193532,0.14146536421250083,0.08007512694328028,0.06139023726922055,0.5248,0.4848,0.040000000000000036,0.48069896708280047,0.4375979104612536,0.04310105662154684,1.4897382259368896,1.5730772018432617,-0.08333897590637207,4.454098224639893,4.823913097381592,-0.3698148727416992,0.17070196646576127,0.021147530413387967,0.1495544360523733
balance_scale,123,self_null_lam0.5_rm0.5_si0.5,self_null_lambda01,0.1780831784962723,0.11023000206492983,0.06785317643134248,0.15241741175272217,0.09005176512151221,0.062365646631209956,0.5712,0.488,0.08320000000000005,0.4959221652683821,0.44825129143294634,0.04767087383543578,1.4821027517318726,1.5800169706344604,-0.09791421890258789,4.423606872558594,4.856882572174072,-0.4332756996154785,0.16296357282747825,0.018128925344596307,0.14483464748288194
balance_scale,7,self_null_lam0.5_rm1.0_si0.3,self_null_lambda01,0.09570815865220583,0.10378565787077622,-0.008077499218570386,0.09021101427762629,0.0926778644132324,-0.002466850135606116,0.464,0.4864,-0.022399999999999975,0.44095492539883535,0.4448936171601296,-0.003938691761294244,1.385694980621338,1.566122055053711,-0.18042707443237305,4.056351661682129,4.7910943031311035,-0.7347426414489746,0.39267319204906626,0.02021766297596817,0.3724555290730981
