dataset,config,edge_entropy_mean,effective_neighbor_count_mean,rank_loss_mean,below_log5,below_target_1.0,effective_neighbors_below_3
spect_heart,edge_only_lam0.3_rm0.5,1.530788779258728,4.633780638376872,0.19175297973367075,yes,no,no
spect_heart,edge_only_lam0.3_rm1.0,1.4665779670079548,4.369101365407308,0.43889695511509974,yes,no,no
spect_heart,edge_only_lam0.5_rm0.5,1.5302920738855998,4.631555716196696,0.19202062274950246,yes,no,no
spect_heart,edge_only_lam0.5_rm1.0,1.4695663452148438,4.38065242767334,0.4392596599956354,yes,no,no
spect_heart,self_null_lam0.3_rm0.5_si0.3,1.5305887858072917,4.633002281188965,0.19144637825277944,yes,no,no
spect_heart,self_null_lam0.3_rm0.5_si0.5,1.5306255022684734,4.63312832514445,0.1914775598794222,yes,no,no
spect_heart,self_null_lam0.3_rm1.0_si0.3,1.459225098292033,4.340938091278076,0.43827300565317273,yes,no,no
spect_heart,self_null_lam0.3_rm1.0_si0.5,1.4588230053583782,4.339395523071289,0.43835875603059926,yes,no,no
spect_heart,self_null_lam0.5_rm0.5_si0.3,1.5303762356440227,4.632043520609538,0.1916086065582931,yes,no,no
spect_heart,self_null_lam0.5_rm0.5_si0.5,1.5308087666829426,4.63391908009847,0.19155127732083202,yes,no,no
spect_heart,self_null_lam0.5_rm1.0_si0.3,1.460317571957906,4.34511121114095,0.43840188002213837,yes,no,no
spect_heart,self_null_lam0.5_rm1.0_si0.5,1.4595280090967815,4.342082500457764,0.43843278974915545,yes,no,no
vehicle,edge_only_lam0.3_rm0.5,1.2521761655807495,3.5912327766418457,0.17834299243986607,yes,no,no
vehicle,edge_only_lam0.3_rm1.0,1.2329143285751343,3.5258797804514566,0.43357715709134936,yes,no,no
vehicle,edge_only_lam0.5_rm0.5,1.1970400015513103,3.432570219039917,0.17786364186710368,yes,no,no
vehicle,edge_only_lam0.5_rm1.0,1.1956332524617512,3.4164629777272544,0.43270019159341855,yes,no,no
vehicle,self_null_lam0.3_rm0.5_si0.3,1.3235793908437092,3.8208391666412354,0.1793387173054119,yes,no,no
vehicle,self_null_lam0.3_rm0.5_si0.5,1.3232510884602864,3.819700082143148,0.17927262929733842,yes,no,no
vehicle,self_null_lam0.3_rm1.0_si0.3,1.257728377978007,3.602400223414103,0.43401246452704073,yes,no,no
vehicle,self_null_lam0.3_rm1.0_si0.5,1.257188359896342,3.6006588141123452,0.4339469695463777,yes,no,no
vehicle,self_null_lam0.5_rm0.5_si0.3,1.322778344154358,3.818148692448934,0.17943315501324833,yes,no,no
vehicle,self_null_lam0.5_rm0.5_si0.5,1.3211593627929688,3.8126677672068277,0.17924072537571192,yes,no,no
vehicle,self_null_lam0.5_rm1.0_si0.3,1.2571810086568196,3.6006882985432944,0.4340785527291397,yes,no,no
vehicle,self_null_lam0.5_rm1.0_si0.5,1.2563001314798992,3.597862958908081,0.4339283036378523,yes,no,no
