panel,dataset,model_a,model_b,ARI_delta,NMI_delta,ACC_delta
CLUBench,heart_disease,PCA+KMeans,KMeans,-0.1311228254532535,-0.1452962281121525,-0.027777777777777846
CLUBench,hepatitis,PCA+KMeans,KMeans,-0.5223880597014925,-0.5666441988062152,-0.125
CLUBench,htru2,PCA+KMeans,KMeans,-0.6950291033149931,-0.37624319903826675,-0.17049999999999998
CLUBench,human_stress_detection,PCA+KMeans,KMeans,-0.09471109221536111,-0.12379487252274324,-0.07481296758104716
CLUBench,image_segmentation,PCA+KMeans,KMeans,-0.22734413803468173,-0.17856384297146244,-0.1507936507936508
CLUBench,imdb,PCA+KMeans,KMeans,-0.07618799415791695,-0.056075403247227415,-0.11128205128205138
CLUBench,insurance_company_benchmark,PCA+KMeans,KMeans,-0.009477645843063516,-0.006676925586691831,0.01716738197424894
CLUBench,ionosphere,PCA+KMeans,KMeans,0.0,0.0,0.0
CLUBench,iris,PCA+KMeans,KMeans,0.08485332943344037,0.05707699906906871,0.03333333333333344
CLUBench,labeled_faces_in_the_wild,PCA+KMeans,KMeans,-0.000476758927310271,-0.00041088310999061115,-0.0007575757575757347
CLUBench,letter_recognition,PCA+KMeans,KMeans,-0.022654317923854167,-0.018614121333526357,-0.043521760880440186
CLUBench,magic_gamma_telescope,PCA+KMeans,KMeans,0.05640900096446855,0.0190609758617727,0.10816666666666663
CLUBench,mammographic_mass,PCA+KMeans,KMeans,-0.2335308233759965,-0.17615540645785582,-0.1204819277108432
CLUBench,mfeat-factors,PCA+KMeans,KMeans,-0.10508660873717857,-0.07389310293395268,-0.07166666666666655
CLUBench,mfeat-fourier,PCA+KMeans,KMeans,0.1843777395001281,0.16248972009908869,0.16666666666666663
CLUBench,mfeat-karhunen,PCA+KMeans,KMeans,0.06652468332087713,0.0650449533483497,0.03833333333333322
