analysis_d,analysis_feature_sampled,analysis_n,analysis_pca_dim,analysis_sampled,category,components_at_1nn_scale,components_at_median_knn_scale,components_at_p90_knn_scale,cv_knn_cosine_distance,cycle_rank_at_1nn_scale,cycle_rank_at_median_knn_scale,cycle_rank_at_p90_knn_scale,d,dataset,dataset_key,effective_neighbor_proxy,feature_error,log_nd,manifest,mean_knn_cosine_distance,mean_mutual_ratio,mean_snn,median_1nn_cosine_distance,metadata_k,n,p95_knn_cosine_distance,source_path,sparse_graph_components,sparse_graph_cycle_rank,sparse_graph_edge_count,sparse_graph_largest_component_fraction,staticgate_full_nomix_ari,tda_h0_merge_count,tda_h0_mst_edge_count,tda_h0_q50_death_norm,tda_h0_q90_death_norm,tda_h0_sparse_components,tda_h0_tail10_share,tda_h0_total_persistence_norm,v11_full_nomix_ari,v12_full_nomix_ari,v13_full_nomix_ari,v14_full_nomix_ari,v9_ari_vs_ahdpc,v9_ari_vs_hdpc,v9_full_ari,v9_full_nomix_ari,v9_full_random_ari,v9_full_static_ari,v9_nomix_ari,v9_paper_protocol,v9_random_ari,v9_static_ari
19,False,210,19,False,uci,132,43,2,1.2106192966164198,64.0,688.0,1586.0,19,image_segment,imagesegment,0.3988117898033682,,3.6009728956867484,datasets/AHDPC/MANIFEST.json,0.09479402292342413,0.6647619047619048,0.3719349962207105,0.015603065490722656,7,210,0.3581777513027185,datasets/AHDPC/processed/image_segment.npz,1,1864.0,2073,1.0,,209,209,1.8935234704480166,12.52358963388547,1,0.3990982877057487,884.6887300592872,,,,,-0.14841970271697486,-0.14855341368552405,0.2728147343853067,0.021354645028687447,0.020501241183596974,0.007567991114209249,0.25146008935661923,True,0.2523134932017097,0.26524674327109743
19,False,210,19,False,related_manifest,132,43,2,1.2106192913720881,64.0,688.0,1586.0,19,image_segmentation,imagesegmentation,0.39881231063666706,,3.6009728956867484,datasets/AHDPC_related_advantage/MANIFEST.json,0.09479402456964765,0.6647619047619048,0.3719349962207105,0.015603065490722656,7,210,0.3581777513027185,datasets/AHDPC_related_advantage/image_segmentation.npz,1,1864.0,2073,1.0,,209,209,1.8935234704480166,12.52358657783755,1,0.39909831527846507,884.688668938329,,-0.00455477186715178,-0.0013216384694306749,,,,,,,,,,,
34,False,351,34,False,related_manifest,179,148,3,0.988444548959187,1035.0,1561.0,3238.0,34,ionosphere,ionosphere,0.4217372458704889,,4.076786033508079,datasets/AHDPC_related_advantage/MANIFEST.json,0.20362637477722603,0.3663817663817664,0.2686677520010853,0.0926513671875,2,351,0.5635480046272278,datasets/AHDPC_related_advantage/ionosphere.npz,1,3722.0,4072,1.0,,350,349,1.0258531733777998,4.861543316143775,1,0.2885780609351209,665.6377692945076,,-0.007887719693271456,-0.0028947126048706473,,,,,,,,,,,
4,False,150,4,False,result_dataset_pool,93,15,2,1.2142518562444637,31.0,463.0,1024.0,4,iris,iris,0.39255696689751174,,2.7781512503836434,dataset_root_scan,0.02381158685684204,0.7266666666666667,0.3066878306878307,0.006119579076766968,,150,0.08406565785408011,datasets/iris.npz,1,1225.0,1374,1.0,-0.1317814815031768,149,146,1.3394435543174945,4.845322125850423,1,0.42634832431449754,344.17276795932577,,,,,,,,,,,,,,
512,True,4000,50,True,result_dataset_pool,2341,601,41,0.35388331706680176,1705.0,14980.0,32948.0,617,ISOLET,isolet,0.3722320318494483,,6.682212698253917,dataset_root_scan,0.2017764200091362,0.5369,0.13032599206349205,0.15010866522789001,,7797,0.33508288860321045,datasets/ISOLET.npz,1,38437.0,42436,1.0,-0.07758945524082728,3999,3999,1.0826195384341402,1.6876338619813211,1,0.1740629159875836,4521.9544040862365,,,,,,,,,,,,,,
36,False,4000,36,True,uci,2054,1517,149,1.0491071308615636,14649.0,20284.0,38192.0,36,landsat,landsat,0.3718387120481557,,5.203196124935032,datasets/AHDPC/MANIFEST.json,0.04817336964607239,0.3974,0.13614007936507938,0.02435201406478882,6,4435,0.152131813764572,datasets/AHDPC/processed/landsat.npz,1,43460.0,47459,1.0,,3999,3999,1.0306222601876351,3.6582877870760413,1,0.3474771453261179,6600.8815691246555,,,,0.0316447879347278,0.02479245845124356,0.06817447107416208,0.5379230057771865,0.005500697072558625,-0.0012970485208623206,0.002335783358867305,0.5324223087046279,True,0.5392200542980489,0.5355872224183192
90,False,360,50,False,uci,244,25,2,0.76972632048463,77.0,1101.0,2597.0,90,libras_movement,librasmovement,0.4160067698234538,,4.510545010206612,datasets/AHDPC/MANIFEST.json,0.10866065975692538,0.6694444444444444,0.3522178130511464,0.032942116260528564,15,360,0.26566008031368255,datasets/AHDPC/processed/libras_movement.npz,1,3053.0,3412,1.0,,359,338,1.8715777931775703,4.856117044856218,1,0.2939430191642819,811.9835563991264,,,,,-0.0636692709480142,-0.056574649301341345,,,,,,True,,
5,False,830,5,False,result_dataset_pool,555,208,11,2.304987445240574,478.0,2937.0,6234.0,5,mammographic_mass,mammographicmass,0.4320905997444522,,3.6180480967120925,dataset_root_scan,0.015417265432426728,0.652289156626506,0.5138707209791548,0.0,,830,0.08039206266403198,datasets/mammographic_mass.npz,2,7329.0,8157,0.9192771084337349,-0.017644386862154304,828,553,54618.7162399292,3286443.948745728,2,0.6811813928063996,842911678.5526276,,,,,,,,,,,,,,
512,True,4000,50,True,result_dataset_pool,2085,1315,65,0.5195026779459894,13971.0,22924.0,42870.0,6198,Mouse_retina,mouseretina,0.3804096313320281,,7.714042057561451,dataset_root_scan,0.21479128365814687,0.2614,0.10803988095238094,0.16426882147789001,,8352,0.424987244606018,datasets/Mouse_retina.npz,1,48440.0,52439,1.0,-0.004019778232264071,3999,3999,1.0386315398170556,2.0199918468011395,1,0.204088578233568,4595.394430679395,0.0006088646954117705,,,,,,,,,,,,,
512,True,400,50,False,att_faces,275,15,1,0.5782894386538916,34.0,1202.0,2827.0,4096,olivetti_faces,olivettifaces,0.40210329395466105,,6.214419939295737,datasets/AHDPC/MANIFEST.json,0.2151246469914913,0.745,0.34849404761904756,0.0836130678653717,40,400,0.4366351813077926,datasets/AHDPC/processed/olivetti_faces.npz,1,3379.0,3778,1.0,,399,399,1.5655529017258052,3.91052360128301,1,0.24150793242210647,747.9585299200987,,,,,-0.38958376824774416,-0.45948360845074393,,,,,,True,,
