dataset,n_samples,n_features,n_clusters,variant,seed,gpu,epochs,mask_ratio,neighbor_k,hidden_size,runtime_seconds,acc,nmi,ari
reuters.npz,6576,4096,3,topogate_opt,42,4,40,0.3,10,128,31.412437438964844,0.520529197080292,0.2885911814403764,0.1879913907274018
rice_dataset_cammeo_and_osmancik.npz,3810,7,2,topogate_opt,42,5,40,0.3,10,128,13.566372394561768,0.9139107611548556,0.5718721561769569,0.6850801918459493
rice_seed_gonen_jasmine.npz,9999,10,2,topogate_opt,42,5,40,0.3,10,128,39.340274810791016,0.968996899689969,0.8243298992795839,0.8797921195753169
rmftsa_sleepdata.npz,1024,2,4,topogate_opt,42,4,40,0.3,10,128,3.9797611236572266,0.3642578125,0.047685476491136705,0.047108051860269944
satellite_image.npz,6435,36,6,topogate_opt,42,4,40,0.3,10,128,25.00422716140747,0.6680652680652681,0.6233694644408295,0.5136100856423931
secom.npz,1567,590,2,topogate_opt,42,5,40,0.3,10,128,6.424236536026001,0.5149968091895342,0.0064812535122494306,-0.003910601337124063
seeds.npz,210,7,3,topogate_opt,42,5,40,0.3,10,128,1.025508165359497,0.9,0.6967800481665898,0.732112757291007
seismic_bumps.npz,646,24,2,topogate_opt,42,4,40,0.3,10,128,3.1831061840057373,0.5123839009287926,0.013143951139178628,-0.0006437855503124772
sentiment_labeld_sentences.npz,2748,200,2,topogate_opt,42,4,40,0.3,10,128,9.774121522903442,0.5571324599708879,0.009991980666559585,0.012716704687508632
shuttle.npz,10000,9,2,topogate_opt,42,5,40,0.3,10,128,40.177732944488525,0.7894,0.11833295827410488,0.24547954039313458
siberian_weather_stats.npz,1407,11,7,topogate_opt,42,4,40,0.3,10,128,5.353906154632568,0.26936744847192606,0.08513309229923174,0.022124673091131263
skillcraft1_master_table_dataset.npz,3303,18,6,topogate_opt,42,5,40,0.3,10,128,12.384578704833984,0.2976082349379352,0.1385579481627419,0.06326731655072246
smoker_condition.npz,1012,7,2,topogate_opt,42,4,40,0.3,10,128,3.6455070972442627,0.9901185770750988,0.9180742712288686,0.9607592604151062
sms_spam_collection.npz,835,500,2,topogate_opt,42,5,40,0.3,10,128,3.791153907775879,0.9736526946107784,0.7219727470192775,0.8504619301280238
spambase.npz,4601,57,2,topogate_opt,42,5,40,0.3,10,128,16.583969593048096,0.8958921973484025,0.5057732818329077,0.6257797557508603
spectf_heart.npz,80,44,2,topogate_opt,42,4,40,0.3,10,128,1.012699842453003,0.675,0.24203701741627512,0.11603812681309573
statlog_german_credit.npz,1000,24,2,topogate_opt,42,4,40,0.3,10,128,4.07351279258728,0.587,0.0005541049844777534,-0.008483654979226025
statlog_image_segmentation.npz,2310,19,7,topogate_opt,42,7,40,0.3,10,128,8.056325197219849,0.5896103896103896,0.6071926025185436,0.4709865676178826
steel-plates-fault.npz,1941,33,2,topogate_opt,42,5,40,0.3,10,128,6.987043142318726,0.5105615662029882,0.08840544674305328,-0.03768147179174479
street_view_house_numbers.npz,732,1024,10,topogate_opt,42,5,40,0.3,10,128,3.2677574157714844,0.1557377049180328,0.034370505458238436,4.8984128040516616e-05
student_grade.npz,395,29,2,topogate_opt,42,5,40,0.3,10,128,2.4025914669036865,0.7417721518987341,0.13214139185660104,0.22101742490423723
