version,batch,dataset,full_variant,nomix_variant,metric,n_runs_full,n_runs_nomix,seeds,full_ari_mean,nomix_ari_mean,full_ari_std,nomix_ari_std,delta_ari,seed_delta_mean,seed_delta_min,seed_delta_max,seed_positive_count,seed_negative_count,seed_neutral_count,seed_pattern,direction,n_samples,n_features,n_clusters,source_sha256,source_sha256_count,source_path,k_source,labels_used_during_fit,provenance_status,evidence_tier
V11,v11_minimum_5x3,har,V11_full,V11_nomix,ari,3.0,3.0,123|42|7,0.3815046607896364,0.3813926205450821,0.0047598528714754,0.0045981380330996,0.00011204024455430117,0.00011204024455419015,-0.0005246914262960756,0.0007212999421665756,0,0,3,near_neutral,near_neutral,735.0,561.0,6.0,d721df683494b0b820863c166038634f0ca7922b87d51820b15c6bcc9b6aa9f6,1,external-result-storage/datasets/har.npz,benchmark_oracle_from_y,code_audit_false; field absent,source_hash_and_k_protocol_present; explicit label flag absent,5-dataset x 3-seed paired candidate
V11,v11_minimum_5x3,spambase,V11_full,V11_nomix,ari,3.0,3.0,123|42|7,0.4678475454232684,0.4631509140174805,0.0607152754271925,0.0559350901627675,0.00469663140578791,0.004696631405787892,0.0008368042053857883,0.010307733294722787,2,0,1,mixed_seed,positive,4601.0,57.0,2.0,28ecfe66283f4220b62aa7a5afeb3c5e17d04eb9b5f17c99c2fb3cfcbe371bbc,1,external-result-storage/datasets/spambase.npz,benchmark_oracle_from_y,code_audit_false; field absent,source_hash_and_k_protocol_present; explicit label flag absent,5-dataset x 3-seed paired candidate
V12,v12_advantage,banknote_authentication,v12_full,v12_nomix,ari,3.0,3.0,123|42|7,0.041147479401328,0.0219089169652559,0.0100873593844717,0.0019194244633279,0.0192385624360721,0.01923856243607203,0.010527953928768,0.030440848781951697,3,0,0,stable_positive,positive,1372.0,4.0,2.0,cc9c529e27bf88969c356f4843b63766030d20c731245a828cda0ed1f17aef7a,1,source-repository/datasets/AHDPC_related_advantage/banknote_authentication.npz,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV contains source hash,3-seed paired mechanism comparison
V12,v12_advantage,glass_identification,v12_full,v12_nomix,ari,3.0,3.0,123|42|7,0.2568058862245718,0.2516899830936658,0.0089465291855013,0.0122129106160889,0.0051159031309059855,0.005115903130906013,0.0,0.009990510739738917,2,0,1,mixed_seed,positive,214.0,9.0,6.0,bd1e797ec7e193469b008935e0c0540e20bf0367cde44ef2f3854f5dbc9df92d,1,source-repository/datasets/AHDPC_related_advantage/glass_identification.npz,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV contains source hash,3-seed paired mechanism comparison
V12,v12_advantage,image_segmentation,v12_full,v12_nomix,ari,3.0,3.0,123|42|7,0.2461563303386995,0.2507111022058513,0.0374927330319948,0.0093014101116935,-0.004554771867151808,-0.004554771867151836,-0.03998207282589658,0.04743767406635219,1,2,0,mixed_seed,negative,210.0,19.0,7.0,fa7e9febb8b33ed322453d237ee9aa4787219c66f42d53e3c54b37a67c722f4a,1,source-repository/datasets/AHDPC_related_advantage/image_segmentation.npz,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV contains source hash,3-seed paired mechanism comparison
V12,v12_advantage,ionosphere,v12_full,v12_nomix,ari,3.0,3.0,123|42|7,0.1709806677685822,0.1788683874618537,0.0141474753255102,0.0025323296470541,-0.007887719693271511,-0.007887719693271428,-0.018978663723783207,0.009837675842817722,1,2,0,mixed_seed,negative,351.0,34.0,2.0,8a1cce5b11f2699fe6da2f6a0379d605b42cf6290ec312e6fbd6f220c2c736b7,1,source-repository/datasets/AHDPC_related_advantage/ionosphere.npz,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV contains source hash,3-seed paired mechanism comparison
V12,v12_advantage,rice_dataset_cammeo_and_osmancik,v12_full,v12_nomix,ari,3.0,3.0,123|42|7,0.2702621630819356,0.3099526538260252,0.0101345941994686,0.0388410916242632,-0.03969049074408959,-0.03969049074408961,-0.062252197524724884,-0.00611696859945432,0,3,0,stable_negative,negative,3810.0,7.0,2.0,67bc38e177b997cda847b19c565ccb4bc52f10a6656ba03bd126e3bb2218e7c5,1,source-repository/datasets/AHDPC_related_advantage/rice_dataset_cammeo_and_osmancik.npz,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV contains source hash,3-seed paired mechanism comparison
V12,v12_advantage,satellite_image,v12_full,v12_nomix,ari,3.0,3.0,123|42|7,0.5296278353807805,0.5328399326896979,0.0072483780727378,0.0040166363284051,-0.003212097308917361,-0.003212097308917435,-0.012351864937042434,0.007086120935459572,1,2,0,mixed_seed,negative,6435.0,36.0,6.0,173f3f03a97f62105fe8539de98b08841da0e206032b83fa40eb21c1bf5b8cdd,1,source-repository/datasets/AHDPC_related_advantage/satellite_image.npz,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV contains source hash,3-seed paired mechanism comparison
V12,v12_advantage,seeds,v12_full,v12_nomix,ari,3.0,3.0,123|42|7,0.3740373773835144,0.3838503645153979,0.0223486426309713,0.0176563102269758,-0.0098129871318835,-0.00981298713188348,-0.021836266063835708,-0.002546673709562519,0,3,0,stable_negative,negative,210.0,7.0,3.0,9c1375865055e07edb6daad3abc6896e1aba52f1473428297b1767991d5627a6,1,source-repository/datasets/AHDPC_related_advantage/seeds.npz,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV contains source hash,3-seed paired mechanism comparison
V12,v12_advantage,spectf_heart,v12_full,v12_nomix,ari,3.0,3.0,123|42|7,0.0795570623175268,0.0462489025695698,0.0172061680188934,0.033797684472136,0.03330815974795699,0.033308159747957,-0.014046314238640098,0.0803649847807052,2,1,0,mixed_seed,positive,80.0,44.0,2.0,8fa734ef46443d2fb8728d2cd316cc40997063bc56abe05edab1ed722ea36db1,1,source-repository/datasets/AHDPC_related_advantage/spectf_heart.npz,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV contains source hash,3-seed paired mechanism comparison
V12,v12_advantage,statlog_image_segmentation,v12_full,v12_nomix,ari,3.0,3.0,123|42|7,0.4229794001430149,0.4095131830077602,0.0142179364867818,0.0159707066345739,0.013466217135254699,0.013466217135254754,0.011456946543439095,0.015855736543196663,3,0,0,stable_positive,positive,2310.0,19.0,7.0,91e660327f9bf4d975b85f2f6976112be7f6f6a8e9d4b3da73dd802e9373e110,1,source-repository/datasets/AHDPC_related_advantage/statlog_image_segmentation.npz,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV contains source hash,3-seed paired mechanism comparison
V12,v12_advantage,vehicle,v12_full,v12_nomix,ari,3.0,3.0,123|42|7,0.0742820212835342,0.0781156175760679,0.0099125480528736,0.0139790237541616,-0.0038335962925337003,-0.0038335962925337003,-0.009621132331459406,-0.0002693204186847986,0,2,1,mixed_seed,negative,846.0,18.0,4.0,2e8709f54a322f2d93b142a820062d2be1f6b154682a12954cfe804224fe65ef,1,source-repository/datasets/AHDPC_related_advantage/vehicle.npz,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV contains source hash,3-seed paired mechanism comparison
V12,v12_advantage,vertebral_column,v12_full,v12_nomix,ari,3.0,3.0,123|42|7,0.2407818486178939,0.2445404734058966,0.0295270712303027,0.0001793173466365,-0.003758624788002707,-0.00375862478800267,-0.03716426119853669,0.019429981473225305,2,1,0,mixed_seed,negative,310.0,6.0,2.0,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,1,source-repository/datasets/AHDPC_related_advantage/vertebral_column.npz,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV contains source hash,3-seed paired mechanism comparison
V12,v12_advantage,wine,v12_full,v12_nomix,ari,3.0,3.0,123|42|7,0.3681304631118421,0.3814342768952903,0.0500616201966922,0.0138166885938503,-0.013303813783448193,-0.013303813783448101,-0.05525676403419327,0.015171624803853367,1,1,1,mixed_seed,negative,178.0,13.0,3.0,a594c68a514ba87162d48f25a27fc61c1f11301d50222770836c5796769f77a5,1,source-repository/datasets/AHDPC_related_advantage/wine.npz,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV contains source hash,3-seed paired mechanism comparison
V13,v13_advantage,banknote_authentication,v13_full,v13_nomix,ari,3.0,3.0,123|42|7,0.1169524751969729,0.1155553332330945,0.0489343716608722,0.0463398140893977,0.0013971419638783983,0.0013971419638783983,-0.0025041521454372967,0.004251914116226496,2,1,0,mixed_seed,positive,1372.0,4.0,2.0,cc9c529e27bf88969c356f4843b63766030d20c731245a828cda0ed1f17aef7a,1,source-repository/datasets/AHDPC_related_advantage/banknote_authentication.npz,runner_code:np.unique(y),code_audit_false,source_hash_and_k_in_runs_csv; explicit label flag absent,3-seed paired mechanism comparison
V13,v13_advantage,glass_identification,v13_full,v13_nomix,ari,3.0,3.0,123|42|7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,near_neutral,near_neutral,214.0,9.0,6.0,bd1e797ec7e193469b008935e0c0540e20bf0367cde44ef2f3854f5dbc9df92d,1,source-repository/datasets/AHDPC_related_advantage/glass_identification.npz,runner_code:np.unique(y),code_audit_false,source_hash_and_k_in_runs_csv; explicit label flag absent,3-seed paired mechanism comparison
V13,v13_advantage,image_segmentation,v13_full,v13_nomix,ari,3.0,3.0,123|42|7,0.2585085098035256,0.2598301482729563,0.0116422348305715,0.0072062154052526,-0.0013216384694307304,-0.0013216384694306471,-0.006525431782703012,0.0017884869392002511,1,1,1,mixed_seed,negative,210.0,19.0,7.0,fa7e9febb8b33ed322453d237ee9aa4787219c66f42d53e3c54b37a67c722f4a,1,source-repository/datasets/AHDPC_related_advantage/image_segmentation.npz,runner_code:np.unique(y),code_audit_false,source_hash_and_k_in_runs_csv; explicit label flag absent,3-seed paired mechanism comparison
V13,v13_advantage,ionosphere,v13_full,v13_nomix,ari,3.0,3.0,123|42|7,0.1578277191650783,0.1607224317699489,0.0131983987024551,0.0045562397059309,-0.0028947126048706195,-0.002894712604870638,-0.013592665392666708,0.004908527578054794,1,1,1,mixed_seed,negative,351.0,34.0,2.0,8a1cce5b11f2699fe6da2f6a0379d605b42cf6290ec312e6fbd6f220c2c736b7,1,source-repository/datasets/AHDPC_related_advantage/ionosphere.npz,runner_code:np.unique(y),code_audit_false,source_hash_and_k_in_runs_csv; explicit label flag absent,3-seed paired mechanism comparison
V13,v13_advantage,rice_dataset_cammeo_and_osmancik,v13_full,v13_nomix,ari,3.0,3.0,123|42|7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,near_neutral,near_neutral,3810.0,7.0,2.0,67bc38e177b997cda847b19c565ccb4bc52f10a6656ba03bd126e3bb2218e7c5,1,source-repository/datasets/AHDPC_related_advantage/rice_dataset_cammeo_and_osmancik.npz,runner_code:np.unique(y),code_audit_false,source_hash_and_k_in_runs_csv; explicit label flag absent,3-seed paired mechanism comparison
V13,v13_advantage,satellite_image,v13_full,v13_nomix,ari,3.0,3.0,123|42|7,0.4546998751078151,0.4566156673592915,0.0212153974435412,0.0194272807207188,-0.001915792251476367,-0.001915792251476367,-0.006467907416446372,0.006617017948005177,1,2,0,mixed_seed,negative,6435.0,36.0,6.0,173f3f03a97f62105fe8539de98b08841da0e206032b83fa40eb21c1bf5b8cdd,1,source-repository/datasets/AHDPC_related_advantage/satellite_image.npz,runner_code:np.unique(y),code_audit_false,source_hash_and_k_in_runs_csv; explicit label flag absent,3-seed paired mechanism comparison
V13,v13_advantage,seeds,v13_full,v13_nomix,ari,3.0,3.0,123|42|7,0.2336163059436252,0.2451784000779042,0.1121748705350665,0.100912973299388,-0.011562094134279,-0.011562094134279036,-0.0230072788101382,0.0,0,2,1,mixed_seed,negative,210.0,7.0,3.0,9c1375865055e07edb6daad3abc6896e1aba52f1473428297b1767991d5627a6,1,source-repository/datasets/AHDPC_related_advantage/seeds.npz,runner_code:np.unique(y),code_audit_false,source_hash_and_k_in_runs_csv; explicit label flag absent,3-seed paired mechanism comparison
V13,v13_advantage,spectf_heart,v13_full,v13_nomix,ari,3.0,3.0,123|42|7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,near_neutral,near_neutral,80.0,44.0,2.0,8fa734ef46443d2fb8728d2cd316cc40997063bc56abe05edab1ed722ea36db1,1,source-repository/datasets/AHDPC_related_advantage/spectf_heart.npz,runner_code:np.unique(y),code_audit_false,source_hash_and_k_in_runs_csv; explicit label flag absent,3-seed paired mechanism comparison
V13,v13_advantage,statlog_image_segmentation,v13_full,v13_nomix,ari,3.0,3.0,123|42|7,0.4785540176207176,0.4698704100210173,0.0375022280338512,0.0358216629215391,0.008683607599700272,0.008683607599700327,-0.00269916786434371,0.025177193641514994,2,1,0,mixed_seed,positive,2310.0,19.0,7.0,91e660327f9bf4d975b85f2f6976112be7f6f6a8e9d4b3da73dd802e9373e110,1,source-repository/datasets/AHDPC_related_advantage/statlog_image_segmentation.npz,runner_code:np.unique(y),code_audit_false,source_hash_and_k_in_runs_csv; explicit label flag absent,3-seed paired mechanism comparison
V13,v13_advantage,vehicle,v13_full,v13_nomix,ari,3.0,3.0,123|42|7,0.132369104276167,0.1265307365060701,0.033845588637515,0.0450699726394622,0.005838367770096886,0.0058383677700969,-0.0019923318715220073,0.018710125586810608,1,1,1,mixed_seed,positive,846.0,18.0,4.0,2e8709f54a322f2d93b142a820062d2be1f6b154682a12954cfe804224fe65ef,1,source-repository/datasets/AHDPC_related_advantage/vehicle.npz,runner_code:np.unique(y),code_audit_false,source_hash_and_k_in_runs_csv; explicit label flag absent,3-seed paired mechanism comparison
V13,v13_advantage,vertebral_column,v13_full,v13_nomix,ari,3.0,3.0,123|42|7,0.2055082729372122,0.2073819968228284,0.0091245175533463,0.0,-0.001873723885616213,-0.0018737238856162315,-0.011822817030334803,0.006103901070603601,1,1,1,mixed_seed,negative,310.0,6.0,2.0,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,1,source-repository/datasets/AHDPC_related_advantage/vertebral_column.npz,runner_code:np.unique(y),code_audit_false,source_hash_and_k_in_runs_csv; explicit label flag absent,3-seed paired mechanism comparison
V13,v13_advantage,wine,v13_full,v13_nomix,ari,3.0,3.0,123|42|7,-0.0016539011567666,-0.0024510250733384,0.0028646408342167,0.0042452999576473,0.0007971239165717999,0.0007971239165717667,0.0,0.0023913717497153,1,0,2,mixed_seed,near_neutral,178.0,13.0,3.0,a594c68a514ba87162d48f25a27fc61c1f11301d50222770836c5796769f77a5,1,source-repository/datasets/AHDPC_related_advantage/wine.npz,runner_code:np.unique(y),code_audit_false,source_hash_and_k_in_runs_csv; explicit label flag absent,3-seed paired mechanism comparison
V14,v14_advantage_5ds,balance_scale,v14_full,v14_nomix,head_ari,3.0,3.0,123|42|7,0.1690279140425694,0.1661811309023077,0.0375660631368625,0.0382556827790642,0.0028467831402616828,0.0028467831402617014,0.002258292954767399,0.0036396616990239106,3,0,0,stable_positive,positive,625.0,4.0,3.0,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,1,source-repository/datasets/AHDPC/processed/balance_scale.npz,runner_code:np.unique(y),code_audit_false,source_hash_and_k_in_runs_csv; explicit label flag absent,3-seed paired mechanism comparison
V14,v14_advantage_5ds,landsat,v14_full,v14_nomix,head_ari,3.0,3.0,123|42|7,0.2906284197988985,0.2589836318641707,0.1242031196033066,0.1751930549511211,0.03164478793472775,0.03164478793472778,-0.036486451896905525,0.1316261077204724,1,1,1,mixed_seed,positive,4435.0,36.0,6.0,22ab32bfc065ff8a82b79a2912a3fd7f3dc2965b89d1a8fe7f8d7748a6d4d5b3,1,source-repository/datasets/AHDPC/processed/landsat.npz,runner_code:np.unique(y),code_audit_false,source_hash_and_k_in_runs_csv; explicit label flag absent,3-seed paired mechanism comparison
V14,v14_advantage_5ds,spectf_heart,v14_full,v14_nomix,head_ari,3.0,3.0,123|42|7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,near_neutral,near_neutral,80.0,44.0,2.0,8fa734ef46443d2fb8728d2cd316cc40997063bc56abe05edab1ed722ea36db1,1,source-repository/datasets/AHDPC_related_advantage/spectf_heart.npz,runner_code:np.unique(y),code_audit_false,source_hash_and_k_in_runs_csv; explicit label flag absent,3-seed paired mechanism comparison
V14,v14_advantage_5ds,vehicle,v14_full,v14_nomix,head_ari,3.0,3.0,123|42|7,0.0844670188133508,0.0832548101828281,0.0023402651903023,0.0031433318824758,0.001212208630522696,0.0012122086305226727,-0.0034203666342076944,0.004248534299802903,2,1,0,mixed_seed,positive,846.0,18.0,4.0,2e8709f54a322f2d93b142a820062d2be1f6b154682a12954cfe804224fe65ef,1,source-repository/datasets/AHDPC_related_advantage/vehicle.npz,runner_code:np.unique(y),code_audit_false,source_hash_and_k_in_runs_csv; explicit label flag absent,3-seed paired mechanism comparison
V14,v14_advantage_5ds,vertebral_column,v14_full,v14_nomix,head_ari,3.0,3.0,123|42|7,0.1240233140121591,0.137861597177379,0.0285560990023048,0.0198102429168229,-0.0138382831652199,-0.013838283165219937,-0.03571820666857031,0.0050039248395473135,1,2,0,mixed_seed,negative,310.0,6.0,2.0,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,1,source-repository/datasets/AHDPC_related_advantage/vertebral_column.npz,runner_code:np.unique(y),code_audit_false,source_hash_and_k_in_runs_csv; explicit label flag absent,3-seed paired mechanism comparison
StaticGate,static_gate_legacy_table,Campbell,static_gate_full,static_gate_nomix,ari,1.0,1.0,42,0.0861812880703494,0.0557157325395879,0.0,0.0,0.030465555530761503,0.030465555530761503,0.030465555530761503,0.030465555530761503,1,0,0,single_seed_positive,positive,9993.0,26774.0,14.0,,0,,table_only,,metrics_table_without_source_hash_or_label_flag,multi-seed legacy ablation table
StaticGate,static_gate_legacy_table,ISOLET,static_gate_full,static_gate_nomix,ari,1.0,1.0,42,0.4696532541760504,0.5472427094168777,0.0,0.0,-0.07758945524082728,-0.07758945524082728,-0.07758945524082728,-0.07758945524082728,0,1,0,single_seed_negative,negative,7797.0,617.0,26.0,,0,,table_only,,metrics_table_without_source_hash_or_label_flag,multi-seed legacy ablation table
StaticGate,static_gate_legacy_table,Mouse_retina,static_gate_full,static_gate_nomix,ari,1.0,1.0,42,0.94162495445075,0.945644732683014,0.0,0.0,-0.00401977823226396,-0.00401977823226396,-0.00401977823226396,-0.00401977823226396,0,1,0,single_seed_negative,negative,8352.0,6198.0,5.0,,0,,table_only,,metrics_table_without_source_hash_or_label_flag,multi-seed legacy ablation table
StaticGate,static_gate_legacy_table,Quake_Smart-seq2_Lung,static_gate_full,static_gate_nomix,ari,1.0,1.0,42,0.1463858199220555,0.1897700055943287,0.0,0.0,-0.0433841856722732,-0.0433841856722732,-0.0433841856722732,-0.0433841856722732,0,1,0,single_seed_negative,negative,1676.0,23341.0,11.0,,0,,table_only,,metrics_table_without_source_hash_or_label_flag,multi-seed legacy ablation table
StaticGate,static_gate_legacy_table,breast_cancer_wisconsin_original,static_gate_full,static_gate_nomix,ari,1.0,1.0,42,0.9021072608540192,0.8910118610659804,0.0,0.0,0.011095399788038751,0.011095399788038751,0.011095399788038751,0.011095399788038751,1,0,0,single_seed_positive,positive,683.0,9.0,2.0,,0,,table_only,,metrics_table_without_source_hash_or_label_flag,multi-seed legacy ablation table
StaticGate,static_gate_legacy_table,cnae9,static_gate_full,static_gate_nomix,ari,1.0,1.0,42,0.2862820977082759,0.2704491718224381,0.0,0.0,0.01583292588583779,0.01583292588583779,0.01583292588583779,0.01583292588583779,1,0,0,single_seed_positive,positive,1080.0,856.0,9.0,,0,,table_only,,metrics_table_without_source_hash_or_label_flag,multi-seed legacy ablation table
StaticGate,static_gate_legacy_table,enron,static_gate_full,static_gate_nomix,ari,1.0,1.0,42,0.7676817464279653,0.8753228708767389,0.0,0.0,-0.1076411244487736,-0.1076411244487736,-0.1076411244487736,-0.1076411244487736,0,1,0,single_seed_negative,negative,9999.0,4096.0,2.0,,0,,table_only,,metrics_table_without_source_hash_or_label_flag,multi-seed legacy ablation table
StaticGate,static_gate_legacy_table,first-order-theorem-proving,static_gate_full,static_gate_nomix,ari,1.0,1.0,42,0.0244339925753807,0.0271514102124084,0.0,0.0,-0.002717417637027701,-0.002717417637027701,-0.002717417637027701,-0.002717417637027701,0,1,0,single_seed_negative,negative,6118.0,51.0,6.0,,0,,table_only,,metrics_table_without_source_hash_or_label_flag,multi-seed legacy ablation table
StaticGate,static_gate_legacy_table,har,static_gate_full,static_gate_nomix,ari,1.0,1.0,42,0.5579147729331243,0.458198363054462,0.0,0.0,0.09971640987866232,0.09971640987866232,0.09971640987866232,0.09971640987866232,1,0,0,single_seed_positive,positive,735.0,561.0,6.0,,0,,table_only,,metrics_table_without_source_hash_or_label_flag,multi-seed legacy ablation table
StaticGate,static_gate_legacy_table,hrvatin_filtered,static_gate_full,static_gate_nomix,ari,1.0,1.0,42,0.002261213728494,0.0017795068969532,0.0,0.0,0.0004817068315408001,0.0004817068315408001,0.0004817068315408001,0.0004817068315408001,0,0,1,near_neutral,near_neutral,48266.0,500.0,8.0,,0,,table_only,,metrics_table_without_source_hash_or_label_flag,multi-seed legacy ablation table
StaticGate,static_gate_legacy_table,iris,static_gate_full,static_gate_nomix,ari,1.0,1.0,42,0.6402223987291501,0.7720038802323269,0.0,0.0,-0.1317814815031768,-0.1317814815031768,-0.1317814815031768,-0.1317814815031768,0,1,0,single_seed_negative,negative,150.0,4.0,3.0,,0,,table_only,,metrics_table_without_source_hash_or_label_flag,multi-seed legacy ablation table
StaticGate,static_gate_legacy_table,mammographic_mass,static_gate_full,static_gate_nomix,ari,1.0,1.0,42,0.3621414485548155,0.3797858354169698,0.0,0.0,-0.017644386862154304,-0.017644386862154304,-0.017644386862154304,-0.017644386862154304,0,1,0,single_seed_negative,negative,830.0,5.0,2.0,,0,,table_only,,metrics_table_without_source_hash_or_label_flag,multi-seed legacy ablation table
