feature,n,outcome,p_value_exploratory,spearman_rho
sparse_graph_cycle_rank,7,v9_full_nomix_ari,0.7016579425162727,-0.1785714285714286
cycle_rank_at_median_knn_scale,7,v9_full_nomix_ari,0.7016579425162727,-0.1785714285714286
cycle_rank_at_p90_knn_scale,7,v9_full_nomix_ari,0.7016579425162727,-0.1785714285714286
components_at_1nn_scale,7,v9_full_nomix_ari,0.7016579425162727,-0.1785714285714286
mean_snn,7,v9_full_nomix_ari,0.7599453002180927,-0.14285714285714288
tda_h0_merge_count,7,v9_full_nomix_ari,0.7599453002180927,-0.14285714285714288
tda_h0_total_persistence_norm,7,v9_full_nomix_ari,0.7599453002180927,0.14285714285714288
tda_h0_mst_edge_count,7,v9_full_nomix_ari,0.7599453002180927,-0.14285714285714288
components_at_p90_knn_scale,7,v9_full_nomix_ari,0.7751616962381483,-0.1336306209562122
median_1nn_cosine_distance,7,v9_full_nomix_ari,0.8191508555699912,-0.10714285714285716
tda_h0_q90_death_norm,7,v9_full_nomix_ari,0.8191508555699912,0.10714285714285716
cycle_rank_at_1nn_scale,7,v9_full_nomix_ari,0.8191508555699912,-0.10714285714285716
effective_neighbor_proxy,7,v9_full_nomix_ari,0.879048193148154,-0.07142857142857144
tda_h0_q50_death_norm,7,v9_full_nomix_ari,0.9394082054712856,-0.03571428571428572
