algorithm,dataset_idx,dataset_name,dataset_type,acc,nmi,ari,time
agglo,120,imdb.npz,text,0.780192,0.043808,0.110821,0.382497
agglo,121,hate_speech.npz,text,0.525837,0.004765,0.002478,0.490126
agglo,122,sentiment_labeld_sentences.npz,text,0.940120,0.491445,0.685849,0.114963
agglo,123,sms_spam_collection.npz,text,0.446434,0.354011,0.257971,171.064403
agglo,124,wos.npz,text,0.940194,0.722852,0.775061,178.807673
agglo,125,enron.npz,text,0.860554,0.567853,0.634224,73.613876
agglo,126,reuters.npz,text,0.145431,0.128311,0.039841,172.163475
agglo,127,20newsgroups.npz,text,0.829861,0.537680,0.774280,176.737620
agglo,128,Mouse_retina.npz,bioinfo,0.403182,0.154091,0.170001,1190.027870
agglo,129,Campbell.npz,bioinfo,0.578000,0.032944,0.024129,186.350750
agglo,130,Baron Human.npz,bioinfo,0.452727,0.522990,0.321339,600.573301
autosc,0,echocardiogram.npz,tabular,0.803279,0.318378,0.357761,1.111616
autosc,1,skillcraft1_master_table_dataset.npz,tabular,0.251892,0.073405,0.037607,59.030817
autosc,2,breast_cancer_wisconsin_original.npz,tabular,0.635432,0.009830,-0.012676,4.648761
autosc,3,smoker_condition.npz,tabular,0.991107,0.924378,0.964647,7.639700
autosc,4,glass_identification.npz,tabular,0.448598,0.344754,0.224558,1.380668
autosc,5,statlog_image_segmentation.npz,tabular,0.625541,0.622464,0.529755,36.841518
autosc,6,planning_relax.npz,tabular,0.692308,0.008079,0.045281,0.951424
autosc,7,customer_classification.npz,tabular,0.282000,0.007838,0.000538,6.932093
autosc,8,pima_indians_diabetes_database.npz,tabular,0.571615,0.001117,0.007627,4.821816
autosc,9,mobile_price_classification.npz,tabular,0.274000,0.003923,0.001924,24.944212
autosc,10,spambase.npz,tabular,0.578787,0.020664,-0.015993,133.915366
autosc,11,rice_seed_gonen_jasmine.npz,tabular,0.984898,0.890685,0.940492,413.826248
autosc,12,heart_attack_analysis_prediction_dataset.npz,tabular,0.623762,0.091331,0.057052,1.209393
autosc,13,user_knowledge_modeling.npz,tabular,0.492248,0.292617,0.214853,1.234342
autosc,14,world12d.npz,tabular,0.746667,0.626353,0.601927,0.761243
autosc,15,pumpkin_seeds.npz,tabular,0.618800,0.080948,0.055431,38.161932
autosc,16,iris.npz,tabular,0.813333,0.620156,0.584297,0.857738
autosc,17,wine.npz,tabular,0.960674,0.861291,0.883710,1.064579
autosc,18,letter_recognition.npz,tabular,0.327962,0.448706,0.164972,549.459120
autosc,19,mammographic_mass.npz,tabular,0.510843,0.005228,-0.000476,7.171159
autosc,20,breast_tissue.npz,tabular,0.575472,0.487610,0.312718,0.777680
autosc,21,hepatitis.npz,tabular,0.737500,0.139659,0.197591,0.686149
autosc,22,predicting_pulsar_star.npz,tabular,0.875876,0.246219,0.424877,415.643338
autosc,23,breast_cancer_wisconsin_prognostic.npz,tabular,0.910369,0.554405,0.672338,3.327805
autosc,24,wireless_indoor_localization.npz,tabular,0.824500,0.651555,0.634411,34.547024
autosc,25,date_fruit.npz,tabular,0.631403,0.639723,0.567305,6.962913
autosc,26,zoo.npz,tabular,0.544554,0.559888,0.315595,0.820955
autosc,27,htru2.npz,tabular,0.836384,0.199745,0.333538,459.068658
autosc,28,ionosphere.npz,tabular,0.515670,0.118934,-0.039446,1.253085
autosc,29,music_genre_classification.npz,tabular,0.253000,0.157945,0.067716,8.802028
autosc,30,spectf_heart.npz,tabular,0.750000,0.241705,0.241940,0.763117
autosc,31,rice_dataset_cammeo_and_osmancik.npz,tabular,0.908661,0.554845,0.667841,83.622138
autosc,32,ph_recognition.npz,tabular,0.560490,0.622370,0.412272,4.629131
autosc,33,banknote_authentication.npz,tabular,0.577259,0.026244,0.012734,16.729329
autosc,34,wine_quality.npz,tabular,0.451057,0.008614,0.005526,152.685321
autosc,35,cardiovascular_study.npz,tabular,0.837035,0.007074,0.050114,54.172123
autosc,36,statlog_german_credit.npz,tabular,0.692000,0.000029,0.001352,6.808077
autosc,37,boston.npz,tabular,0.948052,0.793451,0.839630,0.829438
autosc,38,seismic_bumps.npz,tabular,0.917957,0.004394,-0.023549,4.872162
autosc,39,dry_bean.npz,tabular,0.529959,0.426686,0.238132,468.968436
autosc,40,credit_risk_classification.npz,tabular,0.760246,0.000234,-0.009046,6.933708
autosc,41,epileptic_seizure_recognition.npz,tabular,0.429043,0.220267,0.164477,166.433393
autosc,42,website_phishing.npz,tabular,0.491500,0.017783,-0.014092,14.691636
autosc,43,optical_recognition_of_handwritten_digits.npz,tabular,0.776877,0.776794,0.671250,95.100882
autosc,44,siberian_weather_stats.npz,tabular,0.243781,0.069890,0.017688,14.251537
autosc,45,orbit_classification_for_prediction_nasa.npz,tabular,0.590592,0.064161,0.087954,20.847444
autosc,46,magic_gamma_telescope.npz,tabular,0.528653,0.000671,0.002389,466.722493
autosc,47,raisin.npz,tabular,0.844444,0.393435,0.473997,5.583528
autosc,48,patient_treatment_classification.npz,tabular,0.520852,0.001777,0.001473,110.257329
autosc,49,fetal_health_classification.npz,tabular,0.774224,0.011077,0.005604,28.504336
autosc,50,dermatology.npz,tabular,0.955307,0.909540,0.920785,1.637414
autosc,51,secom.npz,tabular,0.927888,0.001620,-0.009869,17.466643
autosc,52,paris_housing_classification.npz,tabular,0.516700,0.000794,0.000943,471.389469
autosc,53,seeds.npz,tabular,0.895238,0.676059,0.718321,0.848986
autosc,54,wine_customer.npz,tabular,0.960674,0.861291,0.883710,0.860059
autosc,55,crowdsourced_mapping.npz,tabular,0.406822,0.252028,0.130575,487.303119
autosc,56,durum_wheat_features.npz,tabular,0.337556,0.006450,0.000052,561.690542
autosc,57,classification_in_asteroseismology.npz,tabular,0.902098,0.549316,0.642596,7.111572
autosc,58,birds_bones_and_living_habits.npz,tabular,0.457627,0.328231,0.252472,2.254536
autosc,59,microbes.npz,tabular,0.206203,0.043947,0.007346,500.959310
autosc,60,image_segmentation.npz,tabular,0.604762,0.568225,0.411955,1.425415
autosc,61,water_quality.npz,tabular,0.527101,0.001191,0.002252,28.193796
autosc,62,insurance_company_benchmark.npz,tabular,0.934387,0.010859,0.062688,219.181785
autosc,63,harbermans_survival.npz,tabular,0.522876,0.000007,-0.002302,1.251896
autosc,64,yeast.npz,tabular,0.379027,0.226877,0.142388,17.045676
