algorithm,dataset_idx,dataset_name,dataset_type,acc,nmi,ari,time
dbscan,80,mfeat-factors.npz,tabular,0.446500,0.650687,0.444598,0.040854
dbscan,81,wall-robot-navigation.npz,tabular,0.415323,0.174421,0.061394,0.445389
dbscan,82,Waveform.npz,tabular,0.440200,0.212972,0.114684,0.300264
dbscan,83,gas-drift.npz,tabular,0.267100,0.352268,0.073772,1.116598
dbscan,84,mfeat-morphological.npz,tabular,0.558000,0.613743,0.417856,0.040168
dbscan,85,JapaneseVowels.npz,tabular,0.313121,0.489283,0.227090,1.415719
dbscan,86,rmftsa_sleepdata.npz,tabular,0.417969,0.030760,0.029400,0.013664
dbscan,87,first-order-theorem-proving.npz,tabular,0.421706,0.054353,0.022227,0.587710
dbscan,88,gina_prior2.npz,tabular,0.243656,0.341757,0.057478,0.139164
dbscan,89,fabert.npz,tabular,0.160253,0.176574,0.011316,0.752791
dbscan,90,dilbert.npz,tabular,0.333900,0.155041,0.099976,2.067146
dbscan,91,synthetic_control.npz,tabular,0.666667,0.851959,0.682397,0.007332
dbscan,92,Drug Consumption.npz,tabular,0.430532,0.008854,0.008315,0.033350
dbscan,93,shuttle.npz,tabular,0.915000,0.483139,0.623746,1.451128
dbscan,94,tr45.wc.npz,tabular,0.241124,0.184538,0.011757,0.010990
dbscan,95,steel-plates-fault.npz,tabular,0.655332,0.013721,0.018446,0.058872
dbscan,96,fbis.wc.npz,tabular,0.349727,0.139445,0.085558,0.046385
dbscan,97,mfeat-fourier.npz,tabular,0.314000,0.376126,0.074127,0.044814
dbscan,98,vehicle.npz,tabular,0.407801,0.256740,0.075553,0.011574
dbscan,99,micro-mass.npz,tabular,0.513889,0.645392,0.408490,0.004512
dbscan,100,ISOLET.npz,tabular,0.126715,0.209589,0.007084,0.652612
dbscan,101,poker-hand.npz,tabular,0.549800,0.002734,0.004984,1.150852
dbscan,102,tamilnadu-electricity.npz,tabular,0.048600,0.195367,-0.000455,1.181499
dbscan,103,mnist64.npz,image,0.699630,0.701883,0.552781,0.014326
dbscan,104,MNIST_CLIP.npz,image,0.318327,0.329074,0.102959,1.134891
dbscan,105,fashion_mnist.npz,image,0.235667,0.270221,0.035048,0.111630
dbscan,106,FashionMNIST_CLIP.npz,image,0.384600,0.468599,0.172451,1.154066
dbscan,107,cifar10.npz,image,0.148615,0.063346,0.021222,0.143126
dbscan,108,CIFAR10_CLIP.npz,image,0.146400,0.108732,0.001194,1.045110
dbscan,109,coil20.npz,image,0.822917,0.917202,0.787788,0.022891
dbscan,110,COIL20_CLIP.npz,image,0.846528,0.948965,0.826832,0.023115
dbscan,111,labeled_faces_in_the_wild.npz,image,0.516364,0.008452,0.001407,0.053562
dbscan,112,flickr_material_database.npz,image,0.161484,0.074701,0.021985,0.013456
dbscan,113,street_view_house_numbers.npz,image,0.191257,0.008886,0.003411,0.007578
dbscan,114,har.npz,image,0.357823,0.532915,0.327055,0.009719
dbscan,115,Indian_pines.npz,image,0.656130,0.612402,0.464002,1.256069
dbscan,116,satellite_image.npz,image,0.523232,0.494104,0.345541,0.626584
dbscan,117,olivetti_faces.npz,image,0.427500,0.675946,0.071520,0.006618
dbscan,118,PCam.npz,image,0.322222,0.361279,0.060261,0.013401
dbscan,119,cnae9.npz,text,0.525846,0.001999,0.002373,0.130697
dbscan,120,imdb.npz,text,0.780503,0.043782,0.111359,0.157985
dbscan,121,hate_speech.npz,text,0.525473,0.005207,0.002434,0.076268
dbscan,122,sentiment_labeld_sentences.npz,text,0.891018,0.279769,0.477954,0.013155
dbscan,123,sms_spam_collection.npz,text,0.280684,0.171481,0.018971,1.128627
dbscan,124,wos.npz,text,0.518352,0.174972,0.028041,2.933552
dbscan,125,enron.npz,text,0.506083,0.139568,0.136642,0.545377
dbscan,126,reuters.npz,text,0.073866,0.030140,0.002153,1.174502
dbscan,127,20newsgroups.npz,text,0.832974,0.521203,0.764528,3.325326
dbscan,128,Mouse_retina.npz,bioinfo,0.457420,0.021644,0.058033,14.068804
dbscan,129,Campbell.npz,bioinfo,0.601000,0.081179,0.040618,2.205005
dbscan,130,Baron Human.npz,bioinfo,0.324932,0.095279,0.049688,0.987798
dec,0,echocardiogram.npz,tabular,0.927869,0.645353,0.722620,22.177159
dec,1,skillcraft1_master_table_dataset.npz,tabular,0.371662,0.179926,0.108278,89.232934
dec,2,breast_cancer_wisconsin_original.npz,tabular,0.968960,0.789169,0.878551,41.494729
dec,3,smoker_condition.npz,tabular,0.990514,0.921274,0.962322,30.110377
dec,4,glass_identification.npz,tabular,0.495327,0.334722,0.195898,17.822456
dec,5,statlog_image_segmentation.npz,tabular,0.590216,0.602710,0.479849,102.748551
dec,6,planning_relax.npz,tabular,0.591575,0.001434,0.007835,18.024636
dec,7,customer_classification.npz,tabular,0.317000,0.018148,0.012825,42.128959
dec,8,pima_indians_diabetes_database.npz,tabular,0.720486,0.103711,0.180080,40.602290
dec,9,mobile_price_classification.npz,tabular,0.278000,0.006325,0.002986,84.918554
dec,10,spambase.npz,tabular,0.550750,0.009837,0.009938,134.520614
dec,11,rice_seed_gonen_jasmine.npz,tabular,0.974057,0.842842,0.899508,337.317389
dec,12,heart_attack_analysis_prediction_dataset.npz,tabular,0.701870,0.165074,0.211903,11.490263
dec,13,user_knowledge_modeling.npz,tabular,0.475452,0.293895,0.203476,21.024072
dec,14,world12d.npz,tabular,0.808889,0.740916,0.734892,15.199967
dec,15,pumpkin_seeds.npz,tabular,0.663840,0.112245,0.140501,100.508764
dec,16,iris.npz,tabular,0.916000,0.796817,0.789263,23.719914
dec,17,wine.npz,tabular,0.925094,0.757700,0.785101,7.139154
dec,18,letter_recognition.npz,tabular,0.203163,0.274123,0.086609,463.212439
dec,19,mammographic_mass.npz,tabular,0.794779,0.282451,0.347018,23.408917
dec,20,breast_tissue.npz,tabular,0.503145,0.554973,0.284375,6.340388
dec,21,hepatitis.npz,tabular,0.754167,0.129805,0.215181,11.406587
dec,22,predicting_pulsar_star.npz,tabular,0.925590,0.372543,0.564087,236.222309
dec,23,breast_cancer_wisconsin_prognostic.npz,tabular,0.876977,0.491299,0.569666,17.985897
dec,24,wireless_indoor_localization.npz,tabular,0.831000,0.650578,0.631210,50.327870
dec,25,date_fruit.npz,tabular,0.676837,0.631673,0.575477,50.357988
dec,26,zoo.npz,tabular,0.745875,0.700653,0.639011,10.957668
dec,27,htru2.npz,tabular,0.913725,0.335824,0.519750,246.572785
dec,28,ionosphere.npz,tabular,0.903704,0.529380,0.647321,30.201833
dec,29,music_genre_classification.npz,tabular,0.361600,0.290703,0.171644,47.940611
dec,30,spectf_heart.npz,tabular,0.637500,0.072249,0.073045,22.378773
dec,31,rice_dataset_cammeo_and_osmancik.npz,tabular,0.830184,0.416907,0.436542,97.529101
dec,32,ph_recognition.npz,tabular,0.565084,0.599423,0.382427,46.032608
dec,33,banknote_authentication.npz,tabular,0.630321,0.071529,0.094262,67.063175
dec,34,wine_quality.npz,tabular,0.309118,0.047357,0.032273,121.388581
dec,35,cardiovascular_study.npz,tabular,0.621455,0.014817,0.044073,75.709352
dec,36,statlog_german_credit.npz,tabular,0.644000,0.002616,0.017345,45.573109
dec,37,boston.npz,tabular,0.740260,0.455108,0.467804,18.561036
dec,38,seismic_bumps.npz,tabular,0.931889,0.000833,-0.002822,35.038112
dec,39,dry_bean.npz,tabular,0.708979,0.578048,0.505318,248.320964
dec,40,credit_risk_classification.npz,tabular,0.612705,0.002521,-0.005294,47.662278
dec,41,epileptic_seizure_recognition.npz,tabular,0.388209,0.265769,0.149770,276.379173
dec,42,website_phishing.npz,tabular,0.678788,0.219961,0.303070,71.719817
dec,43,optical_recognition_of_handwritten_digits.npz,tabular,0.564635,0.538846,0.402854,184.010069
dec,44,siberian_weather_stats.npz,tabular,0.303483,0.097931,0.030659,49.474461
dec,45,orbit_classification_for_prediction_nasa.npz,tabular,0.657259,0.149167,0.105652,67.109253
dec,46,magic_gamma_telescope.npz,tabular,0.675601,0.067750,0.096660,309.811778
dec,47,raisin.npz,tabular,0.790222,0.334734,0.339252,25.832957
dec,48,patient_treatment_classification.npz,tabular,0.629949,0.036671,0.065257,111.812367
dec,49,fetal_health_classification.npz,tabular,0.663844,0.190742,0.223733,61.056872
dec,50,dermatology.npz,tabular,0.855680,0.816841,0.782032,12.099099
dec,51,secom.npz,tabular,0.897043,0.007307,0.052821,56.285911
dec,52,paris_housing_classification.npz,tabular,0.591433,0.100599,0.036618,265.373981
dec,53,seeds.npz,tabular,0.862857,0.639773,0.645691,22.498217
dec,54,wine_customer.npz,tabular,0.915730,0.718572,0.760829,7.097982
dec,55,crowdsourced_mapping.npz,tabular,0.460478,0.186013,0.110998,315.048086
dec,56,durum_wheat_features.npz,tabular,0.780074,0.530483,0.520726,228.719956
dec,57,classification_in_asteroseismology.npz,tabular,0.923876,0.612926,0.714036,53.465124
dec,58,birds_bones_and_living_habits.npz,tabular,0.472639,0.256666,0.238761,30.853065
dec,59,microbes.npz,tabular,0.210065,0.084813,0.034792,315.096602
dec,60,image_segmentation.npz,tabular,0.538095,0.588261,0.396327,20.917969
dec,61,water_quality.npz,tabular,0.537212,0.002356,0.005021,52.617826
dec,62,insurance_company_benchmark.npz,tabular,0.582847,0.002466,0.006690,149.846125
dec,63,harbermans_survival.npz,tabular,0.669935,0.032950,0.081317,11.096975
dec,64,yeast.npz,tabular,0.417409,0.241076,0.143845,61.824335
dec,65,heart_disease.npz,tabular,0.397306,0.179748,0.169792,8.972368
dec,66,ecoli.npz,tabular,0.805301,0.652651,0.712116,10.785712
dec,67,extyaleb.npz,tabular,0.748589,0.580941,0.530214,31.459641
dec,68,breast_cancer_coimbra.npz,tabular,0.543103,0.060552,-0.001125,6.831237
dec,69,student_grade.npz,tabular,0.684388,0.063065,0.122430,12.242632
dec,70,human_stress_detection.npz,tabular,0.800200,0.662113,0.573459,80.754417
dec,71,fraud_detection_bank.npz,tabular,0.740507,0.082615,0.181825,256.691742
dec,72,pen_based_recognition_of_handwritten_digits.npz,tabular,0.702082,0.678364,0.560461,308.577677
dec,73,diabetic_retinopathy_debrecen.npz,tabular,0.575731,0.015634,0.022134,31.358509
dec,74,pistachio.npz,tabular,0.707076,0.166184,0.188534,87.545095
dec,75,turkish_music_emotion.npz,tabular,0.553500,0.252628,0.232178,29.006401
dec,76,parkinsons.npz,tabular,0.673504,0.056525,-0.074041,7.070278
dec,77,weather.npz,tabular,1.000000,1.000000,1.000000,13.211521
dec,78,blood_transfusion_service_center.npz,tabular,0.700089,0.004674,0.032146,20.748863
dec,79,mfeat-karhunen.npz,tabular,0.770000,0.726580,0.664634,52.324037
dec,80,mfeat-factors.npz,tabular,0.677100,0.671372,0.560920,62.261806
dec,81,wall-robot-navigation.npz,tabular,0.403482,0.095826,0.059865,176.123004
dec,82,Waveform.npz,tabular,0.641200,0.337176,0.342029,156.066003
dec,83,gas-drift.npz,tabular,0.340880,0.160775,0.102979,314.354701
dec,84,mfeat-morphological.npz,tabular,0.642300,0.662026,0.529144,77.939897
dec,85,JapaneseVowels.npz,tabular,0.351692,0.286773,0.166328,434.524292
dec,86,rmftsa_sleepdata.npz,tabular,0.351172,0.039821,0.034221,50.578624
dec,87,first-order-theorem-proving.npz,tabular,0.314940,0.032591,0.038989,227.376774
dec,88,gina_prior2.npz,tabular,0.336121,0.219281,0.143215,93.301666
dec,89,fabert.npz,tabular,0.200194,0.018658,0.009229,366.631892
dec,90,dilbert.npz,tabular,0.322333,0.069123,0.049590,310.702242
dec,91,synthetic_control.npz,tabular,0.614667,0.711269,0.542075,18.846618
dec,92,Drug Consumption.npz,tabular,0.340080,0.005681,0.003479,75.340158
dec,93,shuttle.npz,tabular,0.776000,0.091121,0.210025,248.321677
dec,94,tr45.wc.npz,tabular,0.226627,0.060776,-0.006611,48.621586
dec,95,steel-plates-fault.npz,tabular,0.529006,0.004557,-0.000042,52.851681
dec,96,fbis.wc.npz,tabular,0.255556,0.102332,0.054249,94.291058
dec,97,mfeat-fourier.npz,tabular,0.566800,0.541332,0.412367,84.625779
dec,98,vehicle.npz,tabular,0.403467,0.138308,0.108670,27.826332
dec,99,micro-mass.npz,tabular,0.395556,0.423683,0.202097,12.359667
dec,100,ISOLET.npz,tabular,0.457843,0.623165,0.360388,221.483282
dec,101,poker-hand.npz,tabular,0.513420,0.000315,0.000674,324.942735
dec,102,tamilnadu-electricity.npz,tabular,0.068460,0.006162,-0.000044,442.397913
dec,103,mnist64.npz,image,0.585767,0.533632,0.445060,55.323725
dec,104,MNIST_CLIP.npz,image,0.612865,0.567625,0.459360,278.293413
dec,105,fashion_mnist.npz,image,0.436600,0.431091,0.295869,132.795847
dec,106,FashionMNIST_CLIP.npz,image,0.635300,0.661157,0.528398,384.618201
dec,107,cifar10.npz,image,0.171487,0.043980,0.017296,93.914714
dec,108,CIFAR10_CLIP.npz,image,0.748980,0.709883,0.614974,276.363809
dec,109,coil20.npz,image,0.607639,0.744018,0.536065,39.370113
dec,110,COIL20_CLIP.npz,image,0.760417,0.897773,0.726413,39.651419
dec,111,labeled_faces_in_the_wild.npz,image,0.522000,0.001729,0.001881,81.698127
dec,112,flickr_material_database.npz,image,0.175326,0.049552,0.014991,50.690999
dec,113,street_view_house_numbers.npz,image,0.155464,0.030063,-0.000404,23.461458
dec,114,har.npz,image,0.559184,0.591915,0.496335,22.214734
dec,115,Indian_pines.npz,image,0.510800,0.456060,0.265553,228.342542
dec,116,satellite_image.npz,image,0.590210,0.443043,0.385163,172.417065
dec,117,olivetti_faces.npz,image,0.390500,0.629627,0.210479,34.350138
dec,118,PCam.npz,image,0.225556,0.126643,0.055318,55.559766
dec,119,cnae9.npz,text,0.586523,0.033199,0.044880,145.417284
dec,120,imdb.npz,text,0.497920,0.005156,0.001889,90.691459
dec,121,hate_speech.npz,text,0.538210,0.005050,0.006293,75.012743
dec,122,sentiment_labeld_sentences.npz,text,0.926148,0.410708,0.590280,25.544764
dec,123,sms_spam_collection.npz,text,0.483112,0.382709,0.273731,322.937295
dec,124,wos.npz,text,0.898290,0.630390,0.676693,398.814229
dec,125,enron.npz,text,0.695833,0.404754,0.353310,270.643985
dec,126,reuters.npz,text,0.109098,0.079838,0.022028,307.261808
dec,127,20newsgroups.npz,text,0.579334,0.393965,0.384196,328.224411
dec,128,Mouse_retina.npz,bioinfo,0.184229,0.038786,0.061404,1247.323945
dec,129,Campbell.npz,bioinfo,0.630900,0.065283,0.071562,572.407701
dec,130,Baron Human.npz,bioinfo,0.221796,0.066785,0.037106,1052.914806
divc,0,echocardiogram.npz,tabular,0.803279,0.312176,0.360856,2.888024
divc,1,skillcraft1_master_table_dataset.npz,tabular,0.295792,0.144812,0.080537,74.775888
divc,2,breast_cancer_wisconsin_original.npz,tabular,0.970717,0.802757,0.885372,19.132884
divc,3,smoker_condition.npz,tabular,0.993083,0.938814,0.972446,23.432762
divc,4,glass_identification.npz,tabular,0.453271,0.382189,0.241049,6.725561
divc,5,statlog_image_segmentation.npz,tabular,0.646320,0.644326,0.520985,50.470078
divc,6,planning_relax.npz,tabular,0.549451,0.006833,0.005101,4.399829
divc,7,customer_classification.npz,tabular,0.331400,0.022002,0.018731,30.541229
divc,8,pima_indians_diabetes_database.npz,tabular,0.688802,0.116752,0.141525,16.829216
divc,9,mobile_price_classification.npz,tabular,0.323500,0.039933,0.033500,42.735676
divc,10,spambase.npz,tabular,0.628776,0.050670,0.066134,101.928307
divc,11,rice_seed_gonen_jasmine.npz,tabular,0.978358,0.854241,0.915468,309.376322
divc,12,heart_attack_analysis_prediction_dataset.npz,tabular,0.782178,0.240626,0.316188,8.792619
divc,13,user_knowledge_modeling.npz,tabular,0.422481,0.282975,0.193090,6.971612
divc,14,world12d.npz,tabular,0.840000,0.734180,0.749428,4.383220
divc,15,pumpkin_seeds.npz,tabular,0.852800,0.397789,0.497666,54.756143
divc,16,iris.npz,tabular,0.840000,0.685151,0.633486,4.684356
divc,17,wine.npz,tabular,0.977528,0.910853,0.929490,4.984206
divc,18,letter_recognition.npz,tabular,0.259508,0.341210,0.138555,296.739438
divc,19,mammographic_mass.npz,tabular,0.795181,0.286423,0.347746,19.588474
divc,20,breast_tissue.npz,tabular,0.650943,0.540239,0.415036,4.203039
divc,21,hepatitis.npz,tabular,0.725000,0.201352,0.185698,2.320253
divc,22,predicting_pulsar_star.npz,tabular,0.699105,0.143813,0.132359,219.316703
divc,23,breast_cancer_wisconsin_prognostic.npz,tabular,0.927944,0.612076,0.731025,13.173841
divc,24,wireless_indoor_localization.npz,tabular,0.956600,0.872853,0.891090,45.233079
divc,25,date_fruit.npz,tabular,0.630512,0.603691,0.533725,22.293208
divc,26,zoo.npz,tabular,0.762376,0.796877,0.671131,4.304888
divc,27,htru2.npz,tabular,0.651645,0.111911,0.078148,234.520945
divc,28,ionosphere.npz,tabular,0.730484,0.189912,0.214881,9.928585
divc,29,music_genre_classification.npz,tabular,0.332000,0.278018,0.146851,22.122124
divc,30,spectf_heart.npz,tabular,0.750000,0.221393,0.241260,2.340604
divc,31,rice_dataset_cammeo_and_osmancik.npz,tabular,0.914436,0.590625,0.686925,85.509023
divc,32,ph_recognition.npz,tabular,0.615926,0.634235,0.440085,16.238922
divc,33,banknote_authentication.npz,tabular,0.709913,0.157170,0.175358,34.705347
divc,34,wine_quality.npz,tabular,0.391545,0.034912,0.030159,114.080543
divc,35,cardiovascular_study.npz,tabular,0.604100,0.016918,0.023675,70.679529
divc,36,statlog_german_credit.npz,tabular,0.576000,0.028949,0.021721,23.171111
divc,37,boston.npz,tabular,0.850649,0.654173,0.639451,4.747184
divc,38,seismic_bumps.npz,tabular,0.559443,0.012089,0.007322,17.840568
divc,39,dry_bean.npz,tabular,0.651996,0.617264,0.504115,217.477628
divc,40,credit_risk_classification.npz,tabular,0.576844,0.005041,0.006195,23.096672
divc,41,epileptic_seizure_recognition.npz,tabular,0.295478,0.071993,0.054169,126.509495
divc,42,website_phishing.npz,tabular,0.597044,0.223857,0.268646,33.305429
divc,43,optical_recognition_of_handwritten_digits.npz,tabular,0.661784,0.623722,0.524077,88.145307
divc,44,siberian_weather_stats.npz,tabular,0.254442,0.086207,0.022243,34.056524
divc,45,orbit_classification_for_prediction_nasa.npz,tabular,0.583972,0.067945,0.030492,44.937066
divc,46,magic_gamma_telescope.npz,tabular,0.639364,0.062114,0.088462,230.219398
divc,47,raisin.npz,tabular,0.866667,0.437985,0.537265,19.900341
divc,48,patient_treatment_classification.npz,tabular,0.608930,0.040214,0.052772,108.025195
divc,49,fetal_health_classification.npz,tabular,0.636218,0.066249,0.056792,52.457509
divc,50,dermatology.npz,tabular,0.689944,0.840811,0.687454,9.416827
divc,51,secom.npz,tabular,0.591321,0.004357,0.002628,37.927236
divc,52,paris_housing_classification.npz,tabular,0.722960,0.021385,0.017086,238.761590
divc,53,seeds.npz,tabular,0.919048,0.733455,0.776905,7.494398
divc,54,wine_customer.npz,tabular,0.966292,0.898543,0.903367,5.287490
divc,55,crowdsourced_mapping.npz,tabular,0.454236,0.257254,0.154625,220.230196
divc,56,durum_wheat_features.npz,tabular,0.913000,0.701160,0.759974,198.053349
divc,57,classification_in_asteroseismology.npz,tabular,0.904096,0.581500,0.648989,24.427048
divc,58,birds_bones_and_living_habits.npz,tabular,0.458596,0.268718,0.242411,11.578716
divc,59,microbes.npz,tabular,0.198099,0.084111,0.034006,219.126766
divc,60,image_segmentation.npz,tabular,0.656190,0.603754,0.482136,7.641774
divc,61,water_quality.npz,tabular,0.560219,0.001923,0.007836,52.763649
divc,62,insurance_company_benchmark.npz,tabular,0.767468,0.005419,0.009347,144.206471
divc,63,harbermans_survival.npz,tabular,0.606536,0.006930,0.007760,9.711017
divc,64,yeast.npz,tabular,0.366415,0.223669,0.124290,36.235483
divc,65,heart_disease.npz,tabular,0.358249,0.208927,0.138317,7.353057
divc,66,ecoli.npz,tabular,0.620183,0.570400,0.470273,9.816903
divc,67,extyaleb.npz,tabular,0.481505,0.281318,0.200366,9.760993
divc,68,breast_cancer_coimbra.npz,tabular,0.579310,0.022702,0.018860,4.992071
divc,69,student_grade.npz,tabular,0.721519,0.172997,0.194448,8.734592
divc,70,human_stress_detection.npz,tabular,0.929535,0.827460,0.817247,45.345550
divc,71,fraud_detection_bank.npz,tabular,0.649285,0.071825,0.096930,234.807580
divc,72,pen_based_recognition_of_handwritten_digits.npz,tabular,0.725113,0.704124,0.591903,167.456797
divc,73,diabetic_retinopathy_debrecen.npz,tabular,0.599479,0.027105,0.038696,27.933939
divc,74,pistachio.npz,tabular,0.832868,0.363174,0.442950,48.936333
divc,75,turkish_music_emotion.npz,tabular,0.530000,0.265683,0.221629,8.580639
divc,76,parkinsons.npz,tabular,0.693333,0.218727,0.145672,4.692694
divc,77,weather.npz,tabular,1.000000,1.000000,1.000000,9.150120
divc,78,blood_transfusion_service_center.npz,tabular,0.585561,0.034519,0.033040,18.149402
divc,79,mfeat-karhunen.npz,tabular,0.608500,0.529629,0.396597,44.915021
divc,80,mfeat-factors.npz,tabular,0.691000,0.618263,0.514996,46.485734
divc,81,wall-robot-navigation.npz,tabular,0.423204,0.123068,0.066177,119.399821
divc,82,Waveform.npz,tabular,0.689760,0.366494,0.343775,122.486673
divc,83,gas-drift.npz,tabular,0.525000,0.336028,0.278068,217.552255
divc,84,mfeat-morphological.npz,tabular,0.638000,0.663583,0.528877,43.841015
divc,85,JapaneseVowels.npz,tabular,0.388816,0.346537,0.228743,231.592769
divc,86,rmftsa_sleepdata.npz,tabular,0.373633,0.040189,0.031900,24.611808
divc,87,first-order-theorem-proving.npz,tabular,0.417457,0.000000,0.000000,131.656232
divc,88,gina_prior2.npz,tabular,0.429931,0.391395,0.253568,80.243132
divc,89,fabert.npz,tabular,0.214277,0.046443,0.029467,178.878482
divc,90,dilbert.npz,tabular,0.374500,0.187727,0.139017,237.497152
divc,91,synthetic_control.npz,tabular,0.938333,0.879957,0.860408,12.852087
divc,92,Drug Consumption.npz,tabular,0.357347,0.002836,0.002085,38.473134
divc,93,shuttle.npz,tabular,0.695700,0.208956,0.150124,221.096881
divc,94,tr45.wc.npz,tabular,0.337278,0.242807,0.157809,18.564034
divc,95,steel-plates-fault.npz,tabular,0.601030,0.033686,0.040310,44.227898
divc,96,fbis.wc.npz,tabular,0.303279,0.276718,0.156373,54.211610
divc,97,mfeat-fourier.npz,tabular,0.516000,0.447789,0.342618,44.857918
divc,98,vehicle.npz,tabular,0.401891,0.159112,0.113110,20.168714
divc,99,micro-mass.npz,tabular,0.591667,0.690209,0.471239,9.449382
divc,100,ISOLET.npz,tabular,0.418110,0.535741,0.290702,173.175853
divc,101,poker-hand.npz,tabular,0.514360,0.000167,0.000329,217.934702
divc,102,tamilnadu-electricity.npz,tabular,0.068940,0.006589,0.000085,213.123733
divc,103,mnist64.npz,image,0.881701,0.776739,0.751259,25.959324
divc,104,MNIST_CLIP.npz,image,0.530912,0.438177,0.352537,221.727642
divc,105,fashion_mnist.npz,image,0.486333,0.457855,0.302520,69.576427
divc,106,FashionMNIST_CLIP.npz,image,0.683200,0.643808,0.547529,223.065486
divc,107,cifar10.npz,image,0.204615,0.064871,0.032375,75.923584
divc,108,CIFAR10_CLIP.npz,image,0.708100,0.627980,0.556900,221.360678
divc,109,coil20.npz,image,0.646806,0.726110,0.551282,33.639443
divc,110,COIL20_CLIP.npz,image,0.868750,0.907746,0.808280,34.694386
divc,111,labeled_faces_in_the_wild.npz,image,0.519091,0.001052,0.001004,57.204452
divc,112,flickr_material_database.npz,image,0.325777,0.243729,0.131222,23.025190
divc,113,street_view_house_numbers.npz,image,0.164481,0.037852,0.006275,18.077004
divc,114,har.npz,image,0.513469,0.464738,0.306035,18.115871
divc,115,Indian_pines.npz,image,0.440393,0.377099,0.226121,198.330137
divc,116,satellite_image.npz,image,0.736286,0.617098,0.551010,145.487735
divc,117,olivetti_faces.npz,image,0.480500,0.691462,0.320087,9.821586
divc,118,PCam.npz,image,0.329444,0.220576,0.135051,25.036707
divc,119,cnae9.npz,text,0.600923,0.029592,0.040447,74.179384
divc,120,imdb.npz,text,0.653337,0.010023,0.009885,73.287546
divc,121,hate_speech.npz,text,0.525837,0.004765,0.002478,61.283756
divc,122,sentiment_labeld_sentences.npz,text,0.663473,0.142477,0.101413,19.978215
divc,123,sms_spam_collection.npz,text,0.413324,0.293627,0.200626,231.881271
divc,124,wos.npz,text,0.973797,0.850619,0.897926,246.196220
divc,125,enron.npz,text,0.751673,0.371353,0.401914,158.988711
divc,126,reuters.npz,text,0.135122,0.112350,0.035162,240.547506
divc,127,20newsgroups.npz,text,0.417026,0.393156,0.190316,208.891948
divc,128,Mouse_retina.npz,bioinfo,0.188532,0.306436,0.137705,413.759845
divc,129,Campbell.npz,bioinfo,0.535250,0.003718,0.004722,150.682907
divc,130,Baron Human.npz,bioinfo,0.349308,0.324617,0.166983,306.684907
dmicc,0,echocardiogram.npz,tabular,0.865574,0.414807,0.520537,4.610665
dmicc,1,skillcraft1_master_table_dataset.npz,tabular,0.320194,0.160761,0.103680,137.717276
dmicc,2,breast_cancer_wisconsin_original.npz,tabular,0.970132,0.804378,0.883195,24.462388
dmicc,3,smoker_condition.npz,tabular,0.974308,0.838324,0.900260,38.400443
dmicc,4,glass_identification.npz,tabular,0.464486,0.347100,0.213441,11.328240
dmicc,5,statlog_image_segmentation.npz,tabular,0.608658,0.565075,0.459431,85.428938
dmicc,6,planning_relax.npz,tabular,0.575824,0.004152,0.001534,8.304933
dmicc,7,customer_classification.npz,tabular,0.331200,0.031025,0.026193,43.075521
dmicc,8,pima_indians_diabetes_database.npz,tabular,0.691406,0.096368,0.141255,32.969358
dmicc,9,mobile_price_classification.npz,tabular,0.340200,0.041397,0.036039,74.649777
dmicc,10,spambase.npz,tabular,0.698631,0.132701,0.179145,194.838935
dmicc,11,rice_seed_gonen_jasmine.npz,tabular,0.966697,0.800765,0.871681,385.827785
dmicc,12,heart_attack_analysis_prediction_dataset.npz,tabular,0.790759,0.259822,0.336571,15.872026
dmicc,13,user_knowledge_modeling.npz,tabular,0.479845,0.214949,0.167337,11.642874
dmicc,14,world12d.npz,tabular,0.817333,0.750656,0.746455,11.669361
dmicc,15,pumpkin_seeds.npz,tabular,0.801680,0.289024,0.368051,82.549299
dmicc,16,iris.npz,tabular,0.844000,0.717747,0.682994,8.119334
dmicc,17,wine.npz,tabular,0.893258,0.723825,0.718594,8.164876
dmicc,18,letter_recognition.npz,tabular,0.205604,0.263870,0.093367,376.376673
dmicc,19,mammographic_mass.npz,tabular,0.801928,0.295921,0.364089,32.531941
dmicc,20,breast_tissue.npz,tabular,0.615094,0.546464,0.424194,8.069778
dmicc,21,hepatitis.npz,tabular,0.710000,0.148642,0.185466,4.914095
dmicc,22,predicting_pulsar_star.npz,tabular,0.824178,0.258427,0.366379,402.253591
dmicc,23,breast_cancer_wisconsin_prognostic.npz,tabular,0.915290,0.573356,0.690002,22.622971
dmicc,24,wireless_indoor_localization.npz,tabular,0.905700,0.766538,0.783908,83.603823
dmicc,25,date_fruit.npz,tabular,0.709577,0.640490,0.646576,35.031183
dmicc,26,zoo.npz,tabular,0.813861,0.824505,0.761324,8.359332
dmicc,27,htru2.npz,tabular,0.845725,0.266272,0.395451,389.778259
dmicc,28,ionosphere.npz,tabular,0.719658,0.159558,0.191848,15.393464
dmicc,29,music_genre_classification.npz,tabular,0.355600,0.277077,0.174506,41.011265
dmicc,30,spectf_heart.npz,tabular,0.747500,0.224975,0.259681,4.641546
dmicc,31,rice_dataset_cammeo_and_osmancik.npz,tabular,0.899843,0.531327,0.639500,150.039126
dmicc,32,ph_recognition.npz,tabular,0.573047,0.612522,0.407443,28.630092
dmicc,33,banknote_authentication.npz,tabular,0.675364,0.120480,0.161298,52.768653
