dataset,variant,seed,n_samples,n_features,n_clusters,k_protocol,labels_used_during_fit,source_sha256,head_ari,kmeans_ari,nmi,silhouette,final_gate,final_target_gate,mean_gate,mean_target_gate,mean_graph_loss,final_graph_loss,mean_tda_prior,final_tda_prior,h0_merge_count,tda_scale,tda_nonzero_fraction,graph_edge_change_fraction,train_seconds,summary_path
banknote,V11_nomix,123,1372,4,2,benchmark_oracle_from_y,False,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.01060411579613316,0.016481916852904708,0.007902412277369136,0.3079913854598999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,8.400468587875366,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/banknote__V11_nomix__seed123/summary.json
banknote,V11_tda_h0_mst,7,1372,4,2,benchmark_oracle_from_y,False,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.004567009714957981,0.006167492635148218,0.004529051524761407,0.31973543763160706,0.017150697608788807,0.016449295915663242,0.014230402023531496,0.010660043750734378,0.02451971760795762,0.03371253485480944,0.08665997146939237,0.11381808916727702,1371.0,0.05904867354344464,0.24316306665430612,0.046793002915451895,40.17137360572815,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/banknote__V11_tda_h0_mst__seed7/summary.json
banknote,V11_tda_h0_mst,42,1372,4,2,benchmark_oracle_from_y,False,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.007989072472802878,0.008528028582659416,0.006350272589561095,0.3133578598499298,0.0151958999534448,0.015869591074685257,0.016316027892753483,0.010704974836941498,0.026132668463590865,0.03047724658002456,0.08683452964760363,0.11560176561276118,1371.0,0.05904867354344464,0.24482372691662002,0.058673469387755105,40.159024238586426,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/banknote__V11_tda_h0_mst__seed42/summary.json
banknote,V11_tda_h0_mst,123,1372,4,2,benchmark_oracle_from_y,False,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.01188293619764573,0.016870951684434293,0.008920430718347177,0.31139180064201355,0.017707304718593758,0.017237017552057903,0.01657830984137642,0.011472303970367647,0.02664424170119067,0.03697492368519306,0.086434209983175,0.1160544715821743,1371.0,0.05904867354344464,0.24404761904761904,0.05036443148688047,39.975996255874634,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/banknote__V11_tda_h0_mst__seed123/summary.json
banknote,V11_tda_fixed_filtration,7,1372,4,2,benchmark_oracle_from_y,False,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.004567009714957981,0.006413436271435762,0.004529051524761407,0.3196004033088684,0.01769935805350542,0.01713416709875067,0.0140348090188733,0.010960700219341864,0.02129148518239769,0.03008538919190566,0.2127354703222712,0.28282522161801654,1371.0,0.05904867354344464,0.6727205337286879,0.05167638483965015,40.62142896652222,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/banknote__V11_tda_fixed_filtration__seed7/summary.json
banknote,V11_tda_fixed_filtration,42,1372,4,2,benchmark_oracle_from_y,False,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.008263463702580295,0.008528028582659416,0.006573826447229081,0.3135641813278198,0.01566578649605314,0.016450822508583467,0.016417912587833903,0.010925152827015457,0.023037077699943134,0.02659256352732579,0.21342793429891269,0.28432925045490265,1371.0,0.05904867354344464,0.676739414288379,0.05947521865889213,40.90725922584534,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/banknote__V11_tda_fixed_filtration__seed42/summary.json
banknote,V11_tda_fixed_filtration,123,1372,4,2,benchmark_oracle_from_y,False,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.011236478438872424,0.015361696973822366,0.008453562532602512,0.31233322620391846,0.01825330002854268,0.017763207977016766,0.016597454199412217,0.011696356329290817,0.023191280488390476,0.030996400242050488,0.21230876209835212,0.28208572665850323,1371.0,0.05904867354344464,0.6756229081442916,0.056341107871720114,39.78117799758911,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/banknote__V11_tda_fixed_filtration__seed123/summary.json
banknote,V11_tda_random,7,1372,4,2,benchmark_oracle_from_y,False,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.004358119477608214,0.006167492635148218,0.0043426790290681085,0.32049739360809326,0.014298074102650086,0.01326020589719216,0.0125067488833641,0.009291506803128869,0.020625283745660757,0.027045976370573044,0.37179447573920094,0.49607327580451965,nan,nan,1.0,0.05262390670553936,40.721582651138306,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/banknote__V11_tda_random__seed7/summary.json
banknote,V11_tda_random,42,1372,4,2,benchmark_oracle_from_y,False,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.008263463702580295,0.013883680091223781,0.006573826447229081,0.31473931670188904,0.013440514293809732,0.013970800830672184,0.015156475603968525,0.009644405478805613,0.0229125788998014,0.026118904041747253,0.378091948851943,0.5026854624350866,nan,nan,1.0,0.05787172011661808,40.22089910507202,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/banknote__V11_tda_random__seed42/summary.json
banknote,V11_tda_random,123,1372,4,2,benchmark_oracle_from_y,False,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.01188293619764573,0.0164847198432341,0.008920430718347177,0.31224608421325684,0.015007013455033302,0.014095449975381294,0.015169439845097561,0.010160512909836446,0.022902932951304442,0.028423240097860496,0.36883237498501936,0.4920249978701274,nan,nan,1.0,0.05313411078717201,40.32032561302185,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/banknote__V11_tda_random__seed123/summary.json
