scope,left,right,metric,n,mean_delta,median_delta,std_delta,wins,ties,losses,wilcoxon_p,paired_t_p
flame,V11_tda_h0_mst,V11_full,mean_gate,3,-0.0019563365572442585,-0.004403178952634326,0.005174498729345522,1,0,2,0.5,0.5798169482089552
flame,V11_tda_h0_mst,V11_full,mean_graph_loss,3,0.0004003545269370042,-0.0029703586362302414,0.0058960510789726,1,0,2,1.0,0.9171232897574968
vehicle,V11_tda_h0_mst,V11_full,head_ari,3,-2.063520701469738e-05,0.0,0.00022822463892178296,1,1,1,1.0,0.8899359910333055
vehicle,V11_tda_h0_mst,V11_full,kmeans_ari,3,-4.9503245723882726e-05,0.0,8.574213673333164e-05,0,2,1,1.0,0.42264973081037416
vehicle,V11_tda_h0_mst,V11_full,nmi,3,-1.8749358629161866e-05,0.0,0.00025326674984321615,1,1,1,1.0,0.909702428998818
vehicle,V11_tda_h0_mst,V11_full,silhouette,3,0.00031186143557230633,0.00014013051986694336,0.00042163835149752147,3,0,0,0.25,0.3286341009179419
vehicle,V11_tda_h0_mst,V11_full,final_gate,3,-6.51503602663676e-05,-4.090741276741028e-05,4.431819805209112e-05,0,0,3,0.25,0.1257915323397217
vehicle,V11_tda_h0_mst,V11_full,mean_gate,3,0.0005976323765935378,0.0022607018676353632,0.003141122683671057,2,0,1,1.0,0.7730589784816542
vehicle,V11_tda_h0_mst,V11_full,mean_graph_loss,3,0.004878024947538508,0.006440543239295948,0.002979281299010062,3,0,0,0.25,0.10510076580464918
ALL,V11_tda_fixed_filtration,V11_full,head_ari,15,2.2263201357723116e-06,0.0,0.000202731201254346,3,11,1,0.7150006546880893,0.9666754922492888
ALL,V11_tda_fixed_filtration,V11_full,kmeans_ari,15,-0.0006653639581356881,0.0,0.0015003426383543238,1,10,4,0.07961580146011343,0.10790342132658458
ALL,V11_tda_fixed_filtration,V11_full,nmi,15,1.1178655822038572e-05,0.0,0.00015839764532092155,3,11,1,0.7150006546880893,0.7885907793810485
ALL,V11_tda_fixed_filtration,V11_full,silhouette,15,-9.00814930597941e-05,2.886354923248291e-05,0.00042992587537134567,8,0,7,0.638671875,0.4306609441977448
ALL,V11_tda_fixed_filtration,V11_full,final_gate,15,0.0018037142594241435,0.001483590342104435,0.0017888546555243766,13,0,2,0.00042724609375,0.0015855855902310824
ALL,V11_tda_fixed_filtration,V11_full,mean_gate,15,0.001635983847987114,0.0022403402583828814,0.0029687353163081994,12,0,3,0.063720703125,0.05098591067649047
ALL,V11_tda_fixed_filtration,V11_full,mean_graph_loss,15,0.003948150113994618,0.005398942326428371,0.003190080412404788,13,0,2,0.00152587890625,0.0002861277642322324
balance_scale,V11_tda_fixed_filtration,V11_full,head_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
balance_scale,V11_tda_fixed_filtration,V11_full,kmeans_ari,3,-0.0012794964434896712,0.0,0.0022161528482277917,0,2,1,1.0,0.4226497308103743
balance_scale,V11_tda_fixed_filtration,V11_full,nmi,3,0.0,0.0,0.0,0,3,0,1.0,nan
balance_scale,V11_tda_fixed_filtration,V11_full,silhouette,3,-0.0002034554878870646,-0.0001786351203918457,0.0002456713852449935,1,0,2,0.5,0.2878960608294945
balance_scale,V11_tda_fixed_filtration,V11_full,final_gate,3,0.00034886122577720244,0.00034255588737626885,2.9228187207384183e-05,3,0,0,0.25,0.002331611147561537
balance_scale,V11_tda_fixed_filtration,V11_full,mean_gate,3,0.003237274567881185,0.0032567858637776205,0.0006420341782834592,3,0,0,0.25,0.0128586650657147
balance_scale,V11_tda_fixed_filtration,V11_full,mean_graph_loss,3,0.004711807687352929,0.004567378956320074,0.0006275122999549195,3,0,0,0.25,0.005860266827531543
spect_heart,V11_tda_fixed_filtration,V11_full,head_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
spect_heart,V11_tda_fixed_filtration,V11_full,kmeans_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
spect_heart,V11_tda_fixed_filtration,V11_full,nmi,3,0.0,0.0,0.0,0,3,0,1.0,nan
spect_heart,V11_tda_fixed_filtration,V11_full,silhouette,3,0.0001859466234842936,3.883242607116699e-05,0.0004308812642133352,2,0,1,0.75,0.5327156918872685
spect_heart,V11_tda_fixed_filtration,V11_full,final_gate,3,0.0022117504850029945,0.002557434607297182,0.0006308734470754454,3,0,0,0.25,0.02606444303368285
spect_heart,V11_tda_fixed_filtration,V11_full,mean_gate,3,0.004703401970133807,0.00426650200388394,0.0009733030385746204,3,0,0,0.25,0.013975631131726332
