dataset,variant,n,n_clusters,k_protocol,source_sha256,head_ari_mean,head_ari_std,kmeans_ari_mean,kmeans_ari_std,nmi_mean,nmi_std,silhouette_mean,silhouette_std,final_gate_mean,final_gate_std,final_target_gate_mean,final_target_gate_std,mean_gate_mean,mean_gate_std,mean_target_gate_mean,mean_target_gate_std,mean_graph_loss_mean,mean_graph_loss_std,final_graph_loss_mean,final_graph_loss_std,mean_tda_prior_mean,mean_tda_prior_std,final_tda_prior_mean,final_tda_prior_std,h0_merge_count_mean,h0_merge_count_std,tda_scale_mean,tda_scale_std,tda_nonzero_fraction_mean,tda_nonzero_fraction_std,graph_edge_change_fraction_mean,graph_edge_change_fraction_std,train_seconds_mean,train_seconds_std
banknote,V11_full,3,2,benchmark_oracle_from_y,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.008076709382685607,0.0037631737720333065,0.011947481026098512,0.005269688244405866,0.00653779411232546,0.002294629790031333,0.3157009979089101,0.0043766613258006,0.014234670644832982,0.0010378772712094392,0.01382470079180267,0.00040550914631373855,0.01359932775893766,0.0015653004108317884,0.009625097822734258,0.0003774642514948425,0.016139878052571374,0.0011575856359818742,0.019631027502732143,0.001569158134059443,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,0.05315840621963071,0.003588740493386349,40.73698568344116,1.4000074383873642
banknote,V11_nomix,3,2,benchmark_oracle_from_y,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.007604495899392382,0.003377289832797906,0.013716572063223503,0.007290247167596865,0.006147399537114302,0.0019453535656952607,0.317359854777654,0.008726052947386771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,8.53837283452352,0.2936298558059597
banknote,V11_tda_h0_mst,3,2,benchmark_oracle_from_y,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.008146339461802196,0.0036604978834025663,0.010522157634080643,0.005623470628555606,0.00659991827755656,0.0022063080094618585,0.31482836604118347,0.0043618643831984,0.01668463409360912,0.001318976828355774,0.0165186348474688,0.0006863451816344987,0.015708246585887133,0.0012865521240923174,0.010945774186014508,0.00045654124784641356,0.025765542590913054,0.0011088222177039976,0.03372156837334235,0.0032488479718356393,0.086642903700057,0.00020070485792483332,0.11515810878740416,0.0011823599749779439,1371.0,0.0,0.05904867354344464,0.0,0.24401147087284838,0.0008309200590980793,0.05194363459669582,0.006095636369274174,40.102131366729736,0.10941058614239312
banknote,V11_tda_fixed_filtration,3,2,benchmark_oracle_from_y,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.008022317285470234,0.0033412672686694792,0.01010105394263918,0.0046769273018536115,0.006518813501531,0.0019628337883815547,0.3151659369468689,0.003889367759166475,0.017206148192700412,0.0013624421254866547,0.0171160658614503,0.0006563799551575103,0.015683391935373138,0.0014305341736579992,0.011194069791882713,0.00043535586423220366,0.022506614456910434,0.001055153538744307,0.029224784320427313,0.0023246343822413236,0.21282405557317866,0.0005648204260078171,0.2830800662438075,0.0011432668514933433,1371.0,0.0,0.05904867354344464,0.0,0.6750276187204528,0.002074518585567874,0.05583090379008746,0.00392437044488974,40.436622063318886,0.5853459889342932
banknote,V11_tda_random,3,2,benchmark_oracle_from_y,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.008168173125944747,0.003763313285927135,0.012178630856535366,0.005365788757056185,0.006612312064881456,0.002289118496113494,0.315827598174413,0.0042319373937841085,0.014248533950497707,0.0007844237219354076,0.013775485567748547,0.00045057652678063653,0.014277554777476728,0.0015335765888455106,0.009698808397256975,0.00043704995312410737,0.022146931865588866,0.001317794753268188,0.027196040170060266,0.0011594742441353707,0.3729062665253878,0.004728846171471576,0.4969279120365779,0.005381373291460818,nan,0.0,nan,0.0,1.0,0.0,0.054543245869776484,0.002893809368314444,40.42093578974406,0.2650713282692656
flame,V11_full,3,2,benchmark_oracle_from_y,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.3943187463058344,0.0791125918044872,0.4219262444576335,0.06760297677816725,0.36844112420429354,0.07914640974615172,0.40699299176534015,0.053123293813854375,0.042985718697309494,0.013244551785893224,0.005122178544600804,0.00033634841005683206,0.11474910395530363,0.024976316800258306,0.004034552975402524,0.00044256927270870173,0.1183859057802086,0.030641095015011548,0.03568475445111593,0.013246656010833508,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,0.025416666666666667,0.012104865871944958,6.797694683074951,0.0695450594573468
flame,V11_nomix,3,2,benchmark_oracle_from_y,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.3943187463058344,0.0791125918044872,0.41452809928903694,0.06362578253677016,0.36844112420429354,0.07914640974615172,0.4127378265062968,0.05647471864980119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,1.4463285605112712,0.007311928376928362
flame,V11_tda_h0_mst,3,2,benchmark_oracle_from_y,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.3943187463058344,0.0791125918044872,0.4219262444576335,0.06760297677816725,0.36844112420429354,0.07914640974615172,0.40714381138483685,0.053210066992139586,0.04695412268241247,0.01581744672069549,0.005161855680247148,0.00034805652203440736,0.11279276739805937,0.028876897361659163,0.0040531970676966015,0.0004451909562523286,0.1187862603071456,0.03464645294810545,0.043282595152656235,0.015225741763834285,0.07005501991758745,0.0006003957387934087,0.09244608134031296,0.0005765669198388411,239.0,0.0,0.04206604830105873,0.0,0.23958076722512756,0.0014942229955594891,0.02513888888888889,0.010625680806075092,6.9033412138621015,0.08735060813697303
flame,V11_tda_fixed_filtration,3,2,benchmark_oracle_from_y,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.3943187463058344,0.0791125918044872,0.4219262444576335,0.06760297677816725,0.36844112420429354,0.07914640974615172,0.4071330924828847,0.05322594138512667,0.04651429255803426,0.015779034103469074,0.005180237038681905,0.0003489937838485173,0.11281427561771125,0.028358951465239462,0.004061461089683386,0.0004507912862128192,0.11891370886781563,0.03399172007060702,0.042994165793061256,0.015495303465316284,0.21480596326291562,0.002000620928420218,0.28335954745610553,0.0019352597074311837,239.0,0.0,0.04206604830105873,0.0,0.6362889641549401,0.0043413502804908796,0.024583333333333332,0.01044163673845139,6.820418278376262,0.022359909068878886
flame,V11_tda_random,3,2,benchmark_oracle_from_y,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.3943187463058344,0.0791125918044872,0.4219262444576335,0.06760297677816725,0.36844112420429354,0.07914640974615172,0.4070334235827128,0.05315583483252419,0.04655513601998488,0.015403227081547658,0.005111399882783492,0.0003422640924799835,0.11450973098787169,0.02757142160815917,0.004029535328542503,0.0004422352917980012,0.12049562104512006,0.033532765625573106,0.0425034761428833,0.015452726294034796,0.3740291909625133,0.004277237949171443,0.49957791964213055,0.004340677584571583,nan,0.0,nan,0.0,1.0,0.0,0.025555555555555554,0.011489226032018641,6.852563460667928,0.04949105587905661
