dataset,variant,seed,n_clusters,acc,nmi,ari,f1_macro,silhouette,elapsed,error
spect_heart,V11_tda_fixed_filtration,123,2,0.6704119850187266,0.12502606771359992,0.11274392257664309,0.6312617702448211,0.3542502820491791,8.982998847961426,
spect_heart,V11_tda_fixed_filtration,7,2,0.6704119850187266,0.12502606771359995,0.11274392257664309,0.6312617702448211,0.3466172218322754,9.002321720123291,
spect_heart,V11_tda_random,42,2,0.7228464419475655,0.14742789443294196,0.1856229680842075,0.672142572680207,0.3348528742790222,9.016763925552368,
spect_heart,V11_tda_random,123,2,0.6704119850187266,0.12502606771359992,0.11274392257664309,0.6312617702448211,0.3544456660747528,8.951781988143921,
spect_heart,V11_tda_random,7,2,0.6704119850187266,0.12502606771359995,0.11274392257664309,0.6312617702448211,0.3466564416885376,9.147250175476074,
banknote,V11_full,42,2,0.5466472303206997,0.006350272589561095,0.007989072472802878,0.5451772104674093,0.31450673937797546,42.34594774246216,
banknote,V11_full,123,2,0.5561224489795918,0.008920430718347177,0.01188293619764573,0.5542467362652663,0.3120454251766205,40.06834149360657,
banknote,V11_full,7,2,0.5357142857142857,0.0043426790290681085,0.004358119477608214,0.5352577856833295,0.3205508291721344,39.79666781425476,
banknote,V11_nomix,42,2,0.5473760932944607,0.006484120578438579,0.008262878938460266,0.5457929666071906,0.3188319504261017,8.339080095291138,
banknote,V11_nomix,123,2,0.5532069970845481,0.007902412277369136,0.01060411579613316,0.551144638916389,0.3079913854598999,8.400468587875366,
banknote,V11_nomix,7,2,0.5342565597667639,0.004055665755535192,0.003946492963583719,0.5338402714304172,0.32525622844696045,8.875569820404053,
banknote,V11_tda_h0_mst,42,2,0.5466472303206997,0.006350272589561095,0.007989072472802878,0.5451772104674093,0.3133578598499298,40.159024238586426,
banknote,V11_tda_h0_mst,123,2,0.5561224489795918,0.008920430718347177,0.01188293619764573,0.5542467362652663,0.31139180064201355,39.975996255874634,
banknote,V11_tda_h0_mst,7,2,0.5364431486880467,0.004529051524761407,0.004567009714957981,0.5360083376758729,0.31973543763160706,40.17137360572815,
banknote,V11_tda_fixed_filtration,42,2,0.5473760932944607,0.006573826447229081,0.008263463702580295,0.5459459459459459,0.3135641813278198,40.90725922584534,
banknote,V11_tda_fixed_filtration,123,2,0.5546647230320699,0.008453562532602512,0.011236478438872424,0.5527828503416712,0.31233322620391846,39.78117799758911,
banknote,V11_tda_fixed_filtration,7,2,0.5364431486880467,0.004529051524761407,0.004567009714957981,0.5360083376758729,0.3196004033088684,40.62142896652222,
banknote,V11_tda_random,42,2,0.5473760932944607,0.006573826447229081,0.008263463702580295,0.5459459459459459,0.31473931670188904,40.22089910507202,
banknote,V11_tda_random,123,2,0.5561224489795918,0.008920430718347177,0.01188293619764573,0.5542467362652663,0.31224608421325684,40.32032561302185,
banknote,V11_tda_random,7,2,0.5357142857142857,0.0043426790290681085,0.004358119477608214,0.5352577856833295,0.32049739360809326,40.721582651138306,
flame,V11_full,42,2,0.7833333333333333,0.2806399882657479,0.3184717833855562,0.7788958968180852,0.37839755415916443,6.87459659576416,
flame,V11_full,123,2,0.8125,0.3903786647950032,0.3881487946511562,0.8100965342617503,0.3742927312850952,6.779270887374878,
flame,V11_full,7,2,0.8458333333333333,0.43430471955212946,0.4763356608807909,0.8420799914637833,0.46828868985176086,6.739216566085815,
flame,V11_nomix,42,2,0.7833333333333333,0.2806399882657479,0.3184717833855562,0.7788958968180852,0.39136067032814026,1.4383995532989502,
flame,V11_nomix,123,2,0.8125,0.3903786647950032,0.3881487946511562,0.8100965342617503,0.3700723350048065,1.4477806091308594,
flame,V11_nomix,7,2,0.8458333333333333,0.43430471955212946,0.4763356608807909,0.8420799914637833,0.4767804741859436,1.452805519104004,
flame,V11_tda_h0_mst,42,2,0.7833333333333333,0.2806399882657479,0.3184717833855562,0.7788958968180852,0.3785031735897064,6.819585800170898,
flame,V11_tda_h0_mst,123,2,0.8125,0.3903786647950032,0.3881487946511562,0.8100965342617503,0.3743886947631836,6.896547555923462,
flame,V11_tda_h0_mst,7,2,0.8458333333333333,0.43430471955212946,0.4763356608807909,0.8420799914637833,0.4685395658016205,6.993890285491943,
flame,V11_tda_fixed_filtration,42,2,0.7833333333333333,0.2806399882657479,0.3184717833855562,0.7788958968180852,0.3785136640071869,6.815502166748047,
flame,V11_tda_fixed_filtration,123,2,0.8125,0.3903786647950032,0.3881487946511562,0.8100965342617503,0.374339759349823,6.8009254932403564,
flame,V11_tda_fixed_filtration,7,2,0.8458333333333333,0.43430471955212946,0.4763356608807909,0.8420799914637833,0.4685458540916443,6.844827175140381,
flame,V11_tda_random,42,2,0.7833333333333333,0.2806399882657479,0.3184717833855562,0.7788958968180852,0.37834158539772034,6.828174352645874,
flame,V11_tda_random,123,2,0.8125,0.3903786647950032,0.3881487946511562,0.8100965342617503,0.3743886351585388,6.909515619277954,
flame,V11_tda_random,7,2,0.8458333333333333,0.43430471955212946,0.4763356608807909,0.8420799914637833,0.4683700501918793,6.820000410079956,
vehicle,V11_full,42,4,0.367612293144208,0.10430068730263733,0.07321887261486049,0.35814481351127236,0.328926146030426,25.71876096725464,
vehicle,V11_full,123,4,0.36879432624113473,0.10403924337264532,0.08030292294974258,0.3553007594442349,0.34536367654800415,25.67593026161194,
vehicle,V11_full,7,4,0.38652482269503546,0.11441991076643433,0.09346837802057681,0.3763792723492704,0.33592408895492554,25.66213321685791,
vehicle,V11_nomix,42,4,0.3723404255319149,0.10535252103971285,0.07417685556490941,0.36203015764061863,0.3352814316749573,5.475632190704346,
vehicle,V11_nomix,123,4,0.367612293144208,0.10421238451496022,0.08046088779682985,0.3549810244463617,0.3484080731868744,5.462711572647095,
vehicle,V11_nomix,7,4,0.3877068557919622,0.11119932887474376,0.09293772091217505,0.3775575479732626,0.33373206853866577,5.429931640625,
vehicle,V11_tda_h0_mst,42,4,0.367612293144208,0.10430068730263733,0.07321887261486049,0.35814481351127236,0.32906627655029297,25.889594554901123,
vehicle,V11_tda_h0_mst,123,4,0.36879432624113473,0.10375837362704388,0.08004444623501578,0.3552096956840729,0.34536686539649963,25.804681301116943,
vehicle,V11_tda_h0_mst,7,4,0.38652482269503546,0.11464453243614829,0.09366494911425952,0.37648444879887566,0.33671635389328003,25.718478441238403,
vehicle,V11_tda_fixed_filtration,42,4,0.367612293144208,0.10430068730263733,0.07321887261486049,0.35814481351127236,0.32883113622665405,25.938581466674805,
vehicle,V11_tda_fixed_filtration,123,4,0.36879432624113473,0.10403924337264532,0.08030292294974258,0.3553007594442349,0.3454636037349701,25.912633895874023,
vehicle,V11_tda_fixed_filtration,7,4,0.38652482269503546,0.11464453243614829,0.09366494911425952,0.37648444879887566,0.33580535650253296,25.696235418319702,
vehicle,V11_tda_random,42,4,0.367612293144208,0.10430068730263733,0.07321887261486049,0.35814481351127236,0.32882702350616455,25.984550952911377,
vehicle,V11_tda_random,123,4,0.36879432624113473,0.10403924337264532,0.08030292294974258,0.3553007594442349,0.3452778160572052,25.85591411590576,
vehicle,V11_tda_random,7,4,0.38652482269503546,0.11441991076643433,0.09346837802057681,0.3763792723492704,0.33608952164649963,25.992475748062134,
