bootstrap_ci_high,bootstrap_ci_low,dataset_id,exact_signflip_pvalue,full_minus_variant_mean,full_minus_variant_std,metric,n_paired,paired_seeds,variant
2.3946360153281886e-05,-0.0008381226053640001,Mouse_retina,0.25,-0.0003831417624520883,0.0005577497461136265,ACC,5,"42,123,7,2025,3407",T_random_neighbor
-0.0006312785039049196,-0.0019394450537332907,Mouse_retina,0.0625,-0.0013256760019582313,0.0008134487997934125,ARI,5,"42,123,7,2025,3407",T_shuffled_gate
-0.0011463578661780939,-0.0028588633342884417,Mouse_retina,0.0625,-0.002044253270993024,0.0011257170278019318,NMI,5,"42,123,7,2025,3407",T_shuffled_gate
-0.00021551724137931495,-0.0005028735632183646,Mouse_retina,0.0625,-0.0003591954022988286,0.00018931259938744568,ACC,5,"42,123,7,2025,3407",T_shuffled_gate
-0.0007335340835791238,-0.0022997594177415204,Mouse_retina,0.0625,-0.0015980395610740272,0.0009999812086623735,ARI,5,"42,123,7,2025,3407",T_uniform_pseudo_loss
-0.0016094283739374494,-0.003451597465471523,Mouse_retina,0.0625,-0.002533364576516073,0.001203201517092064,NMI,5,"42,123,7,2025,3407",T_uniform_pseudo_loss
-0.0002634099616858121,-0.0006226053639846407,Mouse_retina,0.0625,-0.00045498084291184515,0.00023030871721348614,ACC,5,"42,123,7,2025,3407",T_uniform_pseudo_loss
0.002163500103478211,-0.0011518677708609814,Pollen,0.6875,0.00046912355101309534,0.0021284110915468796,ARI,5,"42,123,7,2025,3407",F_matched_total_mix
0.0030647043589723476,-0.0022683202329288666,Pollen,0.875,0.0003981920630217406,0.003503096425503566,NMI,5,"42,123,7,2025,3407",F_matched_total_mix
0.001993355481727588,-0.003986710963455109,Pollen,1.0,-0.0006644518272425071,0.0036393525415625437,ACC,5,"42,123,7,2025,3407",F_matched_total_mix
0.0017990964461828795,0.0,Pollen,0.5,0.0006027068626914378,0.0013351176333680638,ARI,5,"42,123,7,2025,3407",T_beta_no_mutual
0.005542551878375624,0.0,Pollen,0.5,0.002248679115588348,0.0035909453921786536,NMI,5,"42,123,7,2025,3407",T_beta_no_mutual
0.001993355481727588,0.0,Pollen,1.0,0.0006644518272425293,0.0014857594534882419,ACC,5,"42,123,7,2025,3407",T_beta_no_mutual
0.0023715976958001094,-0.0012130979742305038,Pollen,0.75,0.0005785043473775176,0.002474751639148432,ARI,5,"42,123,7,2025,3407",T_beta_no_perturb
0.0065774212036371574,-0.0031310204821562325,Pollen,0.5,0.001718038199771721,0.006732101149186627,NMI,5,"42,123,7,2025,3407",T_beta_no_perturb
0.002657807308970117,0.0,Pollen,0.5,0.0013289036544850586,0.0018196762707812948,ACC,5,"42,123,7,2025,3407",T_beta_no_perturb
0.0011978806103060124,-0.003587435773352632,Pollen,0.75,-0.0009954196426592565,0.003071594884855315,ARI,5,"42,123,7,2025,3407",T_beta_no_snn
0.00404733499531853,-0.005139406836527605,Pollen,1.0,-0.0008120480085468173,0.006036158453606215,NMI,5,"42,123,7,2025,3407",T_beta_no_snn
0.001993355481727588,-0.001993355481727588,Pollen,1.0,0.0,0.002349191964074924,ACC,5,"42,123,7,2025,3407",T_beta_no_snn
0.0,0.0,Pollen,1.0,0.0,0.0,ARI,5,"42,123,7,2025,3407",T_edge_none
0.0,-1.3322676295501878e-16,Pollen,1.0,-4.4408920985006264e-17,9.930136612989094e-17,NMI,5,"42,123,7,2025,3407",T_edge_none
0.0,0.0,Pollen,1.0,0.0,0.0,ACC,5,"42,123,7,2025,3407",T_edge_none
0.0,0.0,Pollen,1.0,0.0,0.0,ARI,5,"42,123,7,2025,3407",T_edge_sim
0.0,-1.3322676295501878e-16,Pollen,1.0,-4.4408920985006264e-17,9.930136612989094e-17,NMI,5,"42,123,7,2025,3407",T_edge_sim
0.0,0.0,Pollen,1.0,0.0,0.0,ACC,5,"42,123,7,2025,3407",T_edge_sim
0.0,0.0,Pollen,1.0,0.0,0.0,ARI,5,"42,123,7,2025,3407",T_edge_sim_mutual
0.0,-1.3322676295501878e-16,Pollen,1.0,-4.4408920985006264e-17,9.930136612989094e-17,NMI,5,"42,123,7,2025,3407",T_edge_sim_mutual
0.0,0.0,Pollen,1.0,0.0,0.0,ACC,5,"42,123,7,2025,3407",T_edge_sim_mutual
0.0,0.0,Pollen,1.0,0.0,0.0,ARI,5,"42,123,7,2025,3407",T_edge_sim_mutual_snn
0.0,-1.3322676295501878e-16,Pollen,1.0,-4.4408920985006264e-17,9.930136612989094e-17,NMI,5,"42,123,7,2025,3407",T_edge_sim_mutual_snn
0.0,0.0,Pollen,1.0,0.0,0.0,ACC,5,"42,123,7,2025,3407",T_edge_sim_mutual_snn
0.0,0.0,Pollen,1.0,0.0,0.0,ARI,5,"42,123,7,2025,3407",T_edge_sim_mutual_snn_distance
0.0,0.0,Pollen,1.0,0.0,0.0,NMI,5,"42,123,7,2025,3407",T_edge_sim_mutual_snn_distance
0.0,0.0,Pollen,1.0,0.0,0.0,ACC,5,"42,123,7,2025,3407",T_edge_sim_mutual_snn_distance
0.002662468991799516,0.0003914783901096008,Pollen,0.1875,0.0015269736909545584,0.0014432710075260454,ARI,5,"42,123,7,2025,3407",T_fixed_mean_gate
0.004554165259835941,-0.0004574331434769929,Pollen,0.25,0.002066860069511356,0.0032858237067308945,NMI,5,"42,123,7,2025,3407",T_fixed_mean_gate
0.001993355481727588,0.0,Pollen,1.0,0.0006644518272425293,0.0014857594534882419,ACC,5,"42,123,7,2025,3407",T_fixed_mean_gate
0.0021501232905479116,-0.0014369361291646898,Pollen,0.75,0.0003554541090039942,0.0022559627113889727,ARI,5,"42,123,7,2025,3407",T_no_vicinal
