dataset_id,seed,K_registry,K_offset,K_readout,labels_read_after_fit,ARI,NMI,ACC
breast_cancer_wisconsin_original,2025,2,0,2,True,0.896578305601169,0.8245555329503326,0.9736456808199122
breast_cancer_wisconsin_original,2025,2,1,3,True,0.6504219009502323,0.6349770721445137,0.8374816983894583
breast_cancer_wisconsin_original,3407,2,0,2,True,0.8854326092123226,0.807654819228576,0.9707174231332357
breast_cancer_wisconsin_original,3407,2,1,3,True,0.7200995847416156,0.6539623686299174,0.8711566617862372
spambase,42,2,0,2,True,0.5985660042371236,0.4886219130591957,0.8869810910671593
spambase,42,2,1,3,True,0.3885505411537953,0.4044461381182721,0.6513801347533145
spambase,123,2,0,2,True,0.595099278785862,0.4812569517154195,0.8858943707889589
spambase,123,2,1,3,True,0.37552536644521434,0.3959188756680317,0.6292110410780265
spambase,7,2,0,2,True,0.6654303492957604,0.5471615613668102,0.9080634644642469
spambase,7,2,1,3,True,0.3816917193094076,0.39995366353521267,0.650076070419474
spambase,2025,2,0,2,True,0.5892379133928849,0.48263126854018956,0.8839382742881983
spambase,2025,2,1,3,True,0.3532543711056817,0.37136779073943244,0.6107367963486199
spambase,3407,2,0,2,True,0.6005728272411339,0.4899074664897743,0.8876331232340795
spambase,3407,2,1,3,True,0.38065509770530737,0.39144129100455244,0.6292110410780265
sms_spam_collection,42,2,0,2,True,0.8211431680310186,0.6679302560424474,0.9676646706586827
sms_spam_collection,42,2,1,3,True,0.27452394663450325,0.36847199481555004,0.6335329341317365
sms_spam_collection,123,2,0,2,True,0.8160200779410619,0.6736934517665273,0.9676646706586827
sms_spam_collection,123,2,1,3,True,0.31426380445595253,0.38650883363920024,0.6910179640718563
sms_spam_collection,7,2,0,2,True,0.8425005030998933,0.7163746379095828,0.9724550898203593
sms_spam_collection,7,2,1,3,True,0.8304960027220208,0.636717238927894,0.9281437125748503
sms_spam_collection,2025,2,0,2,True,0.8231286867113877,0.6826075611867505,0.9688622754491018
sms_spam_collection,2025,2,1,3,True,0.31155579646220233,0.4047476727482922,0.6922155688622754
sms_spam_collection,3407,2,0,2,True,0.771419069104354,0.6255361271502126,0.9604790419161676
sms_spam_collection,3407,2,1,3,True,0.3056799816565489,0.3677275070929869,0.7077844311377246
ISOLET,42,26,-1,25,True,0.5319313474669949,0.7454370948534604,0.6008721303065282
ISOLET,42,26,0,26,True,0.5331532685691981,0.7441233024040483,0.6238296780813133
ISOLET,42,26,1,27,True,0.5086208136420655,0.7306031681631935,0.5693215339233039
ISOLET,123,26,-1,25,True,0.5019034779011822,0.7346709483492849,0.5627805566243427
ISOLET,123,26,0,26,True,0.5589429263183393,0.7607616806109527,0.6266512761318456
ISOLET,123,26,1,27,True,0.5068930037804421,0.7408892903754875,0.5841990509170194
ISOLET,7,26,-1,25,True,0.5475880016638766,0.7588733914621376,0.6208798255739387
ISOLET,7,26,0,26,True,0.5237673301979396,0.7477174996866616,0.6127997947928691
ISOLET,7,26,1,27,True,0.5373307619384078,0.7556292789812846,0.6171604463255098
ISOLET,2025,26,-1,25,True,0.5749411144853631,0.7734268647732042,0.633961780171861
ISOLET,2025,26,0,26,True,0.557876893311868,0.7664257488516063,0.5954854431191484
ISOLET,2025,26,1,27,True,0.5408988139323315,0.7546388141841631,0.628190329613954
ISOLET,3407,26,-1,25,True,0.5494028095620007,0.7527437816496685,0.6043350006412723
ISOLET,3407,26,0,26,True,0.5224950493179791,0.7339206519645219,0.5934333718096704
ISOLET,3407,26,1,27,True,0.5151040121040964,0.7329232920039617,0.565602154674875
reuters,42,3,-1,2,True,0.3103081746127038,0.43624769054806634,0.6446167883211679
reuters,42,3,0,3,True,0.19003710183986033,0.2886411799322449,0.5269160583941606
reuters,42,3,1,4,True,0.4115478770545665,0.4508246458220657,0.680352798053528
reuters,123,3,-1,2,True,0.11934539584012326,0.29342412110223076,0.5570255474452555
reuters,123,3,0,3,True,0.21027666038126544,0.30352836362747254,0.5295012165450121
reuters,123,3,1,4,True,0.46852167355848134,0.4897596530050206,0.7160888077858881
reuters,7,3,-1,2,True,0.32988252280186114,0.4161987688712237,0.649330900243309
reuters,7,3,0,3,True,0.2113070242242331,0.3072540868720645,0.5320863746958637
reuters,7,3,1,4,True,0.4166450340228088,0.4552452746876839,0.6893248175182481
reuters,2025,3,-1,2,True,0.2876859413823394,0.40419766367358345,0.635036496350365
reuters,2025,3,0,3,True,0.1975499259277589,0.28944318566761146,0.5361922141119222
reuters,2025,3,1,4,True,0.4114996024257743,0.48378340525677954,0.7101581508515815
reuters,3407,3,-1,2,True,0.3370793261776139,0.44626415028688227,0.6548053527980535
reuters,3407,3,0,3,True,0.20375052301554622,0.2992941547356316,0.5415145985401459
reuters,3407,3,1,4,True,0.45617426429302066,0.4962722290239335,0.7103102189781022
