ACC,ARI,K_registry,NMI,actual_batch_size,attempt,dataset_group,dataset_id,error,error_type,fit_seconds,gate_density_spearman,gate_distribution_preserved,gate_intrinsic_dimension_spearman,labels_read_after_fit,labels_used_during_fit,matched_total_mixing,mean_full_topology_gate,neighbor_label_purity_post_fit_mean,observed_K_after_fit,peak_cuda_allocated_bytes,seed,status,variant,wall_seconds
0.9368770764119602,0.9562580360493971,11,0.9536073581478525,256,1,biological,Pollen,,,3.7377752540633082,0.6623440628369014,False,-0.5453939407273768,True,False,False,0.1385393589735031,0.9512735605239868,11,227512320,3407,completed,T_random_neighbor,4.897635002620518
0.9335548172757475,0.9558967105481656,11,0.9514935928598272,256,1,biological,Pollen,,,2.510637058876455,,False,,True,False,False,0.13919377326965332,,11,202954240,42,completed,T_no_vicinal,4.500771887600422
0.9368770764119602,0.9610492343852464,11,0.9616351095230327,256,1,biological,Pollen,,,1.9350721193477511,,False,,True,False,False,0.13892419636249542,,11,202954240,123,completed,T_no_vicinal,2.858967970125377
0.9368770764119602,0.9610492343852464,11,0.9616351095230327,256,1,biological,Pollen,,,3.4494765270501375,,False,,True,False,False,0.13873456418514252,,11,202954240,7,completed,T_no_vicinal,6.653094503097236
0.9401993355481728,0.9610353898677569,11,0.959053474263883,256,1,biological,Pollen,,,2.570922741666436,,False,,True,False,False,0.13946494460105896,,11,202954240,2025,completed,T_no_vicinal,5.008045077323914
0.9335548172757475,0.9532631225078652,11,0.9453763410020664,256,1,biological,Pollen,,,3.2787962751463056,,False,,True,False,False,0.1385393589735031,,11,202954240,3407,completed,T_no_vicinal,5.580049734562635
0.9368770764119602,0.9586391508005138,11,0.9547338848487265,256,1,biological,Pollen,,,4.303356093354523,0.7053503773294318,False,-0.5093032056500407,True,False,False,0.13919377326965332,0.9501661062240601,11,227512320,42,completed,T_uniform_pseudo_loss,5.1305991522967815
0.9335548172757475,0.9579405496149892,11,0.9526870564041163,256,1,biological,Pollen,,,5.412187630310655,0.6920507799608371,False,-0.5486677960880949,True,False,False,0.13892419636249542,0.9457364082336426,11,227512320,123,completed,T_uniform_pseudo_loss,7.640907405875623
0.9368770764119602,0.9610492343852464,11,0.9616351095230327,256,1,biological,Pollen,,,4.557764649391174,0.6853424567116236,False,-0.5491109106510308,True,False,False,0.13873456418514252,0.9523810148239136,11,227512320,7,completed,T_uniform_pseudo_loss,6.660614783875644
0.9401993355481728,0.9610353898677569,11,0.959053474263883,256,1,biological,Pollen,,,6.063448294065893,0.6805069195397242,False,-0.5101454313436449,True,False,False,0.13946494460105896,0.9479511976242065,11,227512320,2025,completed,T_uniform_pseudo_loss,8.274949567392468
