acc,ari,dataset,elapsed,error,fmi,n_clusters,n_features,n_samples,nmi,seed,source_sha256,status,variant
0.4078014184397163,0.07830819688071265,vehicle,1.289781093597412,,0.3231033761447635,4,18,846,0.1152926993347077,123,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,completed,v9_nomix
0.36997635933806144,0.06381219002049505,vehicle,1.2560856342315674,,0.3111806007073579,4,18,846,0.10283918842114362,7,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,completed,v9_nomix
0.408983451536643,0.08000646726648573,vehicle,3.5495412349700928,,0.3254347606760422,4,18,846,0.1165025247777114,42,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,completed,v9_static
0.41725768321513,0.08587530986831356,vehicle,2.9900295734405518,,0.33107218920050707,4,18,846,0.12207121673416743,123,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,completed,v9_static
0.4160756501182033,0.08509233748717503,vehicle,3.5366392135620117,,0.3293684078330915,4,18,846,0.12023020230969511,7,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,completed,v9_static
0.4101654846335697,0.08116637160521907,vehicle,2.5691537857055664,,0.3260359570882088,4,18,846,0.11786458207995885,42,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,completed,v9_random
0.4101654846335697,0.08042219821751996,vehicle,2.9314348697662354,,0.32565325270045714,4,18,846,0.11706292627740396,123,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,completed,v9_random
0.36524822695035464,0.06340035746727332,vehicle,2.64105486869812,,0.31093210261787413,4,18,846,0.1033114841819929,7,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,completed,v9_random
0.7451612903225806,0.23801090400896574,vertebral_column,1.4394340515136719,,0.6420630339916245,2,6,310,0.20622883619307358,42,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,completed,v9_full
0.7387096774193549,0.2257231235805856,vertebral_column,1.1183335781097412,,0.6357658136322237,2,6,310,0.22057441974515493,123,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,completed,v9_full
0.7451612903225806,0.23826145101972585,vertebral_column,1.1141939163208008,,0.6416602488865725,2,6,310,0.22787379839283456,7,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,completed,v9_full
0.7451612903225806,0.23801090400896574,vertebral_column,0.4387478828430176,,0.6420630339916245,2,6,310,0.20622883619307358,42,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,completed,v9_nomix
0.7516129032258064,0.25110240768555103,vertebral_column,0.5026605129241943,,0.6477628842308703,2,6,310,0.2353779209828922,123,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,completed,v9_nomix
0.7580645161290323,0.26406609584952717,vertebral_column,0.6549112796783447,,0.6543603738691804,2,6,310,0.2316855510239429,7,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,completed,v9_nomix
0.7451612903225806,0.23801090400896574,vertebral_column,1.2398490905761719,,0.6420630339916245,2,6,310,0.20622883619307358,42,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,completed,v9_static
0.7451612903225806,0.23824579665869355,vertebral_column,1.054602861404419,,0.6416854208355032,2,6,310,0.22201746215751222,123,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,completed,v9_static
0.7516129032258064,0.25110240768555103,vertebral_column,1.0522346496582031,,0.6477628842308703,2,6,310,0.2353779209828922,7,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,completed,v9_static
0.7451612903225806,0.23801090400896574,vertebral_column,0.9595072269439697,,0.6420630339916245,2,6,310,0.20622883619307358,42,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,completed,v9_random
0.7387096774193549,0.2257231235805856,vertebral_column,1.2201790809631348,,0.6357658136322237,2,6,310,0.22057441974515488,123,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,completed,v9_random
0.7451612903225806,0.23826145101972585,vertebral_column,1.1678845882415771,,0.6416602488865725,2,6,310,0.22787379839283456,7,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,completed,v9_random
0.46190476190476193,0.2277437353009914,image_segment,0.7195470333099365,,0.34146739674528587,7,19,210,0.3614321581591817,42,ef764bd1d712b44a6d4886f6b5662e8f4b700d4b858c8515a3fe648df0f29ff9,completed,v9_full
0.5142857142857142,0.3036848591827872,image_segment,0.7163784503936768,,0.4048380014416598,7,19,210,0.39165594498893713,123,ef764bd1d712b44a6d4886f6b5662e8f4b700d4b858c8515a3fe648df0f29ff9,completed,v9_full
